SwitchboardID,ItemNumber,ItemText,Command,Argument
1,0,"Main Switchboard",,"Default"
1,1,"View Individual Town Pages, Statewide Reports, Form of Govt. and Housing Data",1,"2"
1,2,"View Bond Ratings, Pension and OPEB  reports",1,"3"
1,3,"View Population, Area and Education Expenditures reports",1,"4"
1,4,"View Unemployment, Income and TANF reports",1,"5"
1,5,"View Debt and Property Tax reports",1,"6"
1,6,"View Grand List and Mill Rate reports",1,"7"
1,7,"View underlying data such as Tables, Queries, Report design",7,"Select and Minimize Switchboard"
1,8,"Exit the Database and Application",6,
2,0,"Individual Towns, Statewide Data, Form of Govt.  and Housing Switchboard",0,
2,1,"View Individual Town Pages",4,"Fiscal Indicators 2004-2008 Individual Town Pages"
2,2,"View On-Behalf Payment Information",4,"OBP Report v8"
2,3,"View CT Totals",4,"Totals: 2004-2008 Main Report"
2,4,"View CT Averages",4,"2008 Municipal Averages"
2,5,"View Housing Permit Data",4,"Net Gain In Housing Permits 2008 report"
2,6,"View Form of Government",4,"Form of Govt by Types - Main Report"
2,7,"Go Back to Main Switchboard",1,"1"
3,0,"Bond Ratings, Pensions and OPEB Switchboard",0,
3,1,"View Bond Ratings from Moody's, S&&P and Fitch",4,"Ratings for Municipalities and RSDs"
3,2,"View Moody's Bond Ratings by Rating Categories",4,"Moody's Bond by type - Main Report"
3,3,"View Types of Pension Plans",4,"pension types - 2008 with gridlines"
3,4,"View NPO of DB Pension Plans",4,"Pension NPO Report 2008 - Alpha order with 07 comparison"
3,5,"View NPO of DB Pension Plans -  End Notes",4,"Pension NPO end notes"
3,6,"View GASB 45 (OPEB Reporting) Implementation Dates",4,"GASB45 Dates"
3,7,"View Funding Status of OPEB Plans",4,"OPEB Status 2008"
3,8,"Go Back to Main Switchboard",1,"1"
4,0,"Population, Area and Education Expenditures Switchboard",0,
4,1,"View Population as of July 1, 2008",4,"Population - July 2008 by Town"
4,2,"View July 1, 2008 Population Rankings with comparative data",4,"Population - July 1, 2008 Rankings with 2004 Comparison %Change"
4,3,"View Population Density",4,"Population: 2008 Density by Town"
4,4,"View Population Density Rankings",4,"Population: 2008 Density Ranking"
4,5,"View Area in Square Miles",4,"Area In Square Miles by county with Total"
4,6,"View Education Expenditures per Pupil, 2006-2008",4,"NCE per Pupil: FY 2006-08 by Town"
4,7,"View Education Expenditures per Pupil Ranking",4,"NCE per Pupil: 2008 Ranking"
4,8,"Go Back to Main Switchboard",1,"1"
5,0,"Unemployment, Income and TANF Switchboard",0,
5,1,"View September 2009 vs 2008 Unemployment Rates",4,"Unemployment Rates: Months of September 2009 and 2008"
5,2,"View 2008 Unemployment Rankings",4,"Unemployment Rates: 2008 Ranking"
5,3,"View Per Capita Income",4,"Per Capita Income by Town - 2000 Census"
5,4,"View Per Capita Income Rankings",4,"Per Capita Income Sorted - 2000 Census"
5,5,"View Median Household Income",4,"Median Household Income by Town - 2000 Census"
5,6,"View Median Household Income Rankings",4,"Median Household Income Sort - 2000 Census"
5,7,"View TANF Recipients as a % of Population by Rank",4,"TANF Recipients 2009% Sort - 2009 and 2008 Data"
5,8,"Go Back to Main Switchboard",1,"1"
6,0,"Debt and  Property Tax Switchboard",0,
6,1,"View Debt per Capita",4,"Debt: 2008 Per Capita by Town"
6,2,"View Debt per Capita Rankings",4,"Debt: 2008 Per Capita Rank"
6,3,"View Debt to Grand List Ratios",4,"Debt to Grand Lists Ratios FYE2008"
6,4,"View Tax Collection Report",4,"Taxes: 2008 Collection % Data Report"
6,5,"View Current Year Tax Collection Rates by Rankings",4,"Tax Collection: 2008 Current Year Rates by Rank"
6,6,"View Tax Levy per Capita by Rank",4,"Taxes: 2008 Adjusted Levy per Capita Ranking"
6,7,"View Property Tax Revenue as a % Total Revenue by Rankings",4,"Tax Rev as % of Total Rev - 2008"
6,8,"Go Back to Main Switchboard",1,"1"
7,0,"Grand List and Mill Rate Switchboard",0,
7,1,"View Net Grand Lists - 2007 and 2006 Grand List Years",4,"GL Data: Net Grand List for 2007 and 2006 List Years"
7,2,"View Grand List Components",4,"GL Data: grlst2007 component report"
7,3,"View Equalized Net Grand Lists - 2006 and 2007 Grand List Years",4,"GL Data: ENGL for 2007 and 2006 List Years"
7,4,"View Equalized Net Grand List per Capita Rankings",4,"GL Data: ENGL per Capita by Rank for FYE 2008"
7,5,"View Revaluation Dates",4,"Revaluation Dates by Town - 2008 GL Year"
7,6,"View Equalized Mill Rates by Rank",4,"GL Data: Equalized Mill Rates for 2008 - Rank"
7,7,"View Latest Mill Rates",4,"GL Data: ACMR FYE 2010 and 2009"
7,8,"Go Back to Main Switchboard",1,"1"
