Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,REAL_EXEMPTIONS,TOTAL_NET_REAL,TOTAL_GROSS_MOTOR,MOTOR_EXEMPTIONS,TOTAL_NET_MOTOR,TOTAL_PERS_PROP,PERS_PROP_EXEMPTIONS,TOTAL_NET_PERS_PROP,TOTAL_GROSS_GL,TOTAL_NET_GL,OTHER
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,8.1036918000000000e+08,4.0130860000000000e+07,3.9198600000000000e+06,5.4481000000000000e+05,4.4274300000000000e+06,9.4896270000000000e+08,1.3047500000000000e+06,9.4765795000000000e+08,8.0924460000000000e+07,1.3074000000000000e+06,7.9617060000000000e+07,1.9365600000000000e+07,2.0261200000000000e+06,1.7339480000000000e+07,1.0492527600000000e+09,1.0446144900000000e+09,8.9570560000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.7066199580000000e+10,4.2414872500000000e+09,9.3304820000000000e+07,3.1397450000000000e+07,3.5466620000000000e+08,3.2553296650000000e+10,2.6319000000000000e+07,3.2526977650000000e+10,7.2225505000000000e+08,4.6245900000000000e+06,7.1763046000000000e+08,6.0681038700000000e+08,2.4295010000000000e+06,6.0438088600000000e+08,3.3882362087000000e+10,3.3848988996000000e+10,7.6624135000000000e+08
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,6.4567083000000000e+08,3.6166552000000000e+07,6.1607700000000000e+06,1.6015300000000000e+06,9.9189640000000000e+06,7.2557049600000000e+08,6.0459520000000000e+06,7.1952454400000000e+08,7.0672678000000000e+07,1.2769930000000000e+06,6.9395685000000000e+07,2.2534797000000000e+07,5.3626390000000000e+06,1.7172158000000000e+07,8.1877797100000000e+08,8.0609238700000000e+08,2.6051850000000000e+07
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,2.3405370900000000e+09,4.2694316000000000e+08,5.7877267000000000e+08,0.0000000000000000e+00,1.7006836000000000e+08,3.5962689600000000e+09,4.7375561300000000e+08,3.1225133470000000e+09,2.0449666800000000e+08,1.3657599000000000e+07,1.9083906900000000e+08,5.6595030900000000e+08,1.6917054200000000e+08,3.9677976700000000e+08,4.3667159370000000e+09,3.7101321830000000e+09,7.9947680000000000e+07
"GROTON (City of)",6.0000000000000000e+01,,,,,,,,,,,,,,,,,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2.9576930110000000e+09,2.5562775000000000e+08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2347364810000000e+09,9.3202600000000000e+06,3.2254162210000000e+09,1.7033144000000000e+08,9.5636000000000000e+05,1.6937508000000000e+08,7.2992482000000000e+07,1.2437440000000000e+07,6.0555042000000000e+07,3.4780604030000000e+09,3.4553463430000000e+09,2.1415720000000000e+07
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,6.7319991000000000e+08,2.3206770000000000e+07,6.4288900000000000e+06,1.9901060000000000e+07,8.0469800000000000e+06,7.7254874000000000e+08,1.6440000000000000e+06,7.7090474000000000e+08,6.0385315000000000e+07,2.2170000000000000e+05,6.0163615000000000e+07,5.4803890000000000e+07,1.5658100000000000e+05,5.4647309000000000e+07,8.8773794500000000e+08,8.8571566400000000e+08,4.1765130000000000e+07
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,3.1691881220000000e+09,4.2010400000000000e+08,7.0863060000000000e+07,3.7867900000000000e+06,2.3724012000000000e+08,3.9081319720000000e+09,2.6068736000000000e+07,3.8820632360000000e+09,3.0267506500000000e+08,4.1612700000000000e+06,2.9851379500000000e+08,1.4113641000000000e+08,1.1410070000000000e+07,1.2972634000000000e+08,4.3519434470000000e+09,4.3103033710000000e+09,6.9498800000000000e+06
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,1.0045660000000000e+08,1.7831210000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0742274100000000e+08,6.8842000000000000e+05,1.0673432100000000e+08,1.4147630000000000e+07,1.2570400000000000e+06,1.2890590000000000e+07,2.6819280000000000e+06,1.7042500000000000e+05,2.5115030000000000e+06,1.2425229900000000e+08,1.2213641400000000e+08,5.1830200000000000e+06
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,1.0461645900000000e+09,1.4820606390000000e+09,9.3028569000000000e+07,2.5719250000000000e+07,4.7746140700000000e+08,3.2186783830000000e+09,7.0974957400000000e+08,2.5089288090000000e+09,2.8215630900000000e+08,7.0346770000000000e+06,2.7512163200000000e+08,6.8774440000000000e+08,2.0356400000000000e+07,6.6738800000000000e+08,4.1885790920000000e+09,3.4514384410000000e+09,9.4243928000000000e+07
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,1.4935371000000000e+08,6.3872000000000000e+05,0.0000000000000000e+00,1.7532480000000000e+07,0.0000000000000000e+00,1.7469949000000000e+08,4.2150000000000000e+05,1.7427799000000000e+08,1.5379750000000000e+07,3.0393000000000000e+05,1.5075820000000000e+07,4.6350700000000000e+06,3.4900000000000000e+03,4.6315800000000000e+06,1.9471431000000000e+08,1.9398539000000000e+08,7.1745800000000000e+06
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,3.8096970000000000e+08,9.1137200000000000e+06,2.5848300000000000e+06,0.0000000000000000e+00,4.9512000000000000e+05,4.1904207000000000e+08,6.8925000000000000e+05,4.1835282000000000e+08,4.8015640000000000e+07,5.3992000000000000e+05,4.7475720000000000e+07,1.5924968000000000e+07,7.7203800000000000e+05,1.5152930000000000e+07,4.8298267800000000e+08,4.8098147000000000e+08,2.5878700000000000e+07
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,7.3682544000000000e+08,2.2458690000000000e+07,8.0052000000000000e+05,0.0000000000000000e+00,2.9984500000000000e+06,7.7949076000000000e+08,1.7608500000000000e+06,7.7772991000000000e+08,6.6344246000000000e+07,3.8911600000000000e+05,6.5955130000000000e+07,1.2973868000000000e+07,3.3326100000000000e+05,1.2640607000000000e+07,8.5880887400000000e+08,8.5632564700000000e+08,1.6407660000000000e+07
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,3.7140230000000000e+08,3.4588500000000000e+07,0.0000000000000000e+00,1.9614000000000000e+06,0.0000000000000000e+00,4.4461780000000000e+08,4.4281000000000000e+05,4.4417499000000000e+08,2.5300470000000000e+07,5.4020000000000000e+04,2.5246450000000000e+07,1.2042335000000000e+07,2.4282000000000000e+05,1.1799515000000000e+07,4.8196060500000000e+08,4.8122095500000000e+08,3.6665600000000000e+07
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,7.7528222100000000e+08,1.0610004000000000e+08,8.1158700000000000e+07,1.3866237000000000e+08,3.4880865000000000e+07,1.1963565550000000e+09,1.3979007000000000e+08,1.0565664850000000e+09,1.0064508100000000e+08,4.0466000000000000e+06,9.6598481000000000e+07,3.6862171000000000e+08,2.6478265900000000e+08,1.0383905100000000e+08,1.6656233460000000e+09,1.2570040170000000e+09,6.0272359000000000e+07
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,7.1271107000000000e+08,2.0627260000000000e+07,1.7129500000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.4824025000000000e+08,3.9979900000000000e+06,7.4424226000000000e+08,5.3507367000000000e+07,7.8814000000000000e+05,5.2719227000000000e+07,9.4185700000000000e+06,1.4037680000000000e+06,8.0148020000000000e+06,8.1116618700000000e+08,8.0497628900000000e+08,1.3188970000000000e+07
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,3.9141495000000000e+08,1.2358560000000000e+07,2.7431300000000000e+06,1.2063000000000000e+06,1.0847800000000000e+06,4.2757681000000000e+08,3.0571900000000000e+06,4.2451962000000000e+08,5.3104910000000000e+07,3.8242000000000000e+05,5.2722490000000000e+07,2.3273660000000000e+07,4.6862170000000000e+06,1.8587443000000000e+07,5.0395538000000000e+08,4.9582955300000000e+08,1.8769090000000000e+07
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,9.3022537700000000e+08,5.1562956000000000e+07,9.7536600000000000e+06,5.6553000000000000e+05,8.9723900000000000e+06,1.0347181030000000e+09,3.2168550000000000e+06,1.0315012480000000e+09,1.0556575600000000e+08,1.0566310000000000e+07,9.4999446000000000e+07,6.3670239000000000e+07,1.1370408000000000e+07,5.2299831000000000e+07,1.2039540980000000e+09,1.1788005250000000e+09,3.3638190000000000e+07
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,2.6083463000000000e+08,6.3994010000000000e+07,2.3197500000000000e+06,0.0000000000000000e+00,7.6639000000000000e+05,3.4372993000000000e+08,1.2870000000000000e+06,3.4244293000000000e+08,2.9914420000000000e+07,5.6357000000000000e+05,2.9350850000000000e+07,3.2190513000000000e+07,1.9255760000000000e+07,1.2934753000000000e+07,4.0583486300000000e+08,3.8472853300000000e+08,1.5815150000000000e+07
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,7.1278404300000000e+08,8.0309790000000000e+07,3.8339300000000000e+06,1.2826000000000000e+05,1.5561300000000000e+06,8.0814277500000000e+08,2.1025000000000000e+06,8.0604027500000000e+08,7.1457581000000000e+07,3.5307000000000000e+05,7.1104511000000000e+07,2.4593239000000000e+07,8.0351400000000000e+05,2.3789725000000000e+07,9.0419359500000000e+08,9.0093451100000000e+08,9.5306220000000000e+06
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,4.6769376800000000e+08,3.6788000000000000e+06,0.0000000000000000e+00,2.7480000000000000e+05,0.0000000000000000e+00,4.9445241500000000e+08,1.0597930000000000e+06,4.9339262200000000e+08,1.9916995000000000e+07,5.3880000000000000e+04,1.9863115000000000e+07,4.9639010000000000e+06,1.4588000000000000e+05,4.8180210000000000e+06,5.1933331100000000e+08,5.1807375800000000e+08,2.2805047000000000e+07
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,3.0348757000000000e+09,1.6447800000000000e+08,3.1713000000000000e+06,1.4536000000000000e+06,1.3917000000000000e+06,3.2289094000000000e+09,9.6150000000000000e+06,3.2192944000000000e+09,1.4828660000000000e+08,1.1405800000000000e+06,1.4714602000000000e+08,4.6893269000000000e+07,4.8147800000000000e+05,4.6411791000000000e+07,3.4240892690000000e+09,3.4128522110000000e+09,2.3539100000000000e+07
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,2.4457309200000000e+09,8.0423237200000000e+08,2.0931122600000000e+08,5.3461000000000000e+06,2.5458050000000000e+08,3.7196809980000000e+09,4.5143810000000000e+08,3.2682428980000000e+09,3.1705819200000000e+08,5.0211500000000000e+06,3.1203704200000000e+08,3.2602254000000000e+08,4.6222522000000000e+07,2.7980001800000000e+08,4.3627617300000000e+09,3.8600799580000000e+09,4.7988000000000000e+05
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,7.0481245000000000e+08,7.2911470000000000e+07,1.2880700000000000e+06,1.0056200000000000e+06,3.3488980000000000e+07,8.2039589000000000e+08,2.5400000000000000e+06,8.1785589000000000e+08,7.1062623000000000e+07,2.5348370000000000e+06,6.8527786000000000e+07,3.6401718000000000e+07,2.2916201000000000e+07,1.3485517000000000e+07,9.2786023100000000e+08,8.9986919300000000e+08,6.8893000000000000e+06
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,5.3307572000000000e+08,2.9359890000000000e+07,2.4106600000000000e+06,0.0000000000000000e+00,2.6341000000000000e+05,5.6614202000000000e+08,1.0255000000000000e+06,5.6511652000000000e+08,4.7225795000000000e+07,5.0794100000000000e+05,4.6717854000000000e+07,9.4529540000000000e+06,1.4930340000000000e+06,7.9599200000000000e+06,6.2282076900000000e+08,6.1979429400000000e+08,1.0323400000000000e+06
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,2.3955130200000000e+09,5.6095672000000000e+08,1.6296014000000000e+08,4.2496100000000000e+06,1.2306249000000000e+08,3.2632867200000000e+09,1.2273990000000000e+08,3.1405468200000000e+09,2.7957090800000000e+08,3.7694700000000000e+06,2.7580143800000000e+08,3.3662056300000000e+08,9.3764365000000000e+07,2.4285619800000000e+08,3.8794781910000000e+09,3.6592044560000000e+09,1.6544740000000000e+07
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,7.9705010000000000e+08,1.0905109700000000e+08,9.2128000000000000e+06,1.4660000000000000e+06,0.0000000000000000e+00,9.6537825700000000e+08,1.9285000000000000e+06,9.6344975700000000e+08,6.0988170000000000e+07,2.2263000000000000e+05,6.0765540000000000e+07,4.0484925000000000e+07,3.6233640000000000e+06,3.6861561000000000e+07,1.0668513520000000e+09,1.0610768580000000e+09,4.8598260000000000e+07
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,3.5762260000000000e+08,1.7957200000000000e+07,1.5997100000000000e+07,1.8060000000000000e+06,1.5287000000000000e+06,3.9661480000000000e+08,2.8473900000000000e+06,3.9376741000000000e+08,3.1313640000000000e+07,2.5896000000000000e+05,3.1054680000000000e+07,3.4815360000000000e+07,1.0663052000000000e+07,2.4152308000000000e+07,4.6274380000000000e+08,4.4897439800000000e+08,1.7032000000000000e+06
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,2.0254358300000000e+09,3.8202733000000000e+08,1.1123813000000000e+08,2.3765850000000000e+07,2.6651344000000000e+08,2.8914379500000000e+09,2.4133997000000000e+07,2.8673039530000000e+09,2.5963368400000000e+08,5.0936460000000000e+06,2.5454003800000000e+08,4.2732447600000000e+08,7.4267204000000000e+07,3.5305727200000000e+08,3.5783961100000000e+09,3.4749012630000000e+09,8.2457370000000000e+07
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,5.1806881010000000e+09,1.0273175400000000e+09,2.4970793000000000e+08,1.0251320000000000e+07,1.0154945000000000e+08,6.7248328540000000e+09,2.0501752100000000e+09,4.6746576440000000e+09,3.4879891700000000e+08,3.4709400000000000e+06,3.4532797700000000e+08,2.9418270900000000e+08,6.2346880000000000e+07,2.3183582900000000e+08,7.3678144800000000e+09,5.2518214500000000e+09,1.5531851300000000e+08
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,1.6719240350000000e+09,1.2469100000000000e+08,4.4495080000000000e+07,8.3238000000000000e+05,6.9215000000000000e+05,1.9012319690000000e+09,1.0258931000000000e+07,1.8909730380000000e+09,1.5703128200000000e+08,1.3818680000000000e+06,1.5564941400000000e+08,7.9313888000000000e+07,1.0398966000000000e+07,6.8914922000000000e+07,2.1375771390000000e+09,2.1155373740000000e+09,5.8597324000000000e+07
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1.0476939540000000e+09,1.2123187000000000e+08,3.0768180000000000e+07,2.3318350000000000e+07,1.1576590000000000e+07,1.2367524840000000e+09,3.3879100000000000e+06,1.2333645740000000e+09,1.1844617400000000e+08,5.4387800000000000e+06,1.1300739400000000e+08,1.5337874200000000e+08,1.6720178000000000e+07,1.3665856400000000e+08,1.5085774000000000e+09,1.4830305320000000e+09,2.1635400000000000e+06
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,2.8715158000000000e+08,1.1266970000000000e+07,1.5740000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.2497119000000000e+08,4.6750000000000000e+05,3.2450369000000000e+08,1.8011350000000000e+07,1.1403000000000000e+05,1.7897320000000000e+07,6.1495830000000000e+06,2.7950000000000000e+05,5.8700830000000000e+06,3.4913212300000000e+08,3.4827109300000000e+08,2.4978640000000000e+07
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1.4945903300000000e+09,1.3955231000000000e+08,6.7096670000000000e+07,8.1854900000000000e+06,5.2320940000000000e+07,1.7835394000000000e+09,9.0888600000000000e+06,1.7744505400000000e+09,1.6394068000000000e+08,1.9133500000000000e+06,1.6202733000000000e+08,1.0176348000000000e+08,2.4686690000000000e+07,7.7076790000000000e+07,2.0492435600000000e+09,2.0135546600000000e+09,2.1793660000000000e+07
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,1.8554913550000000e+09,3.3000181000000000e+08,9.2610290000000000e+07,8.8297300000000000e+06,2.6598691000000000e+08,2.5680487050000000e+09,2.2605087000000000e+07,2.5454436180000000e+09,2.5149406500000000e+08,1.1744235000000000e+07,2.3974983000000000e+08,1.9836131100000000e+08,4.0264296000000000e+07,1.5809701500000000e+08,3.0179040810000000e+09,2.9432904630000000e+09,1.5128610000000000e+07
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,6.3036591000000000e+09,3.3803605000000000e+08,4.8726000000000000e+06,4.7598000000000000e+06,0.0000000000000000e+00,6.7490492500000000e+09,2.0915000000000000e+06,6.7469577500000000e+09,2.4555983000000000e+08,1.1313000000000000e+05,2.4544670000000000e+08,5.6314002000000000e+07,2.4300000000000000e+04,5.6289702000000000e+07,7.0509230820000000e+09,7.0486941520000000e+09,9.7721700000000000e+07
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1.6747828400000000e+09,3.2693925000000000e+07,2.1600000000000000e+06,4.6828000000000000e+06,0.0000000000000000e+00,1.7146373650000000e+09,6.1110000000000000e+06,1.7085263650000000e+09,1.0815886700000000e+08,1.9089000000000000e+05,1.0796797700000000e+08,1.7894380000000000e+07,7.7153000000000000e+04,1.7817227000000000e+07,1.8406906120000000e+09,1.8343115690000000e+09,3.1780000000000000e+05
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,4.5423349000000000e+08,2.2384090000000000e+07,8.2068000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,5.0958675500000000e+08,1.8587500000000000e+06,5.0772800500000000e+08,5.0949579000000000e+07,4.3163000000000000e+05,5.0517949000000000e+07,2.4876823000000000e+07,5.9707790000000000e+06,1.8906044000000000e+07,5.8541315700000000e+08,5.7715199800000000e+08,2.4762375000000000e+07
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,3.4288503400000000e+09,1.9305620650000000e+09,2.7833057000000000e+08,4.0777660000000000e+07,0.0000000000000000e+00,5.7393654650000000e+09,1.5129302900000000e+09,4.2264351750000000e+09,3.2975127800000000e+08,7.7543050000000000e+06,3.2199697300000000e+08,4.4895115400000000e+08,5.2592274000000000e+07,3.9635888000000000e+08,6.5180678970000000e+09,4.9447910280000000e+09,6.0844830000000000e+07
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,7.1696807400000000e+08,3.6370260900000000e+08,1.0874416000000000e+08,1.4896000000000000e+05,3.8933700000000000e+06,1.2062093450000000e+09,1.0846091500000000e+08,1.0977484300000000e+09,9.9057147000000000e+07,3.3824400000000000e+06,9.5674707000000000e+07,9.4166286000000000e+07,1.5474763000000000e+07,7.8691523000000000e+07,1.3994327780000000e+09,1.2721146600000000e+09,1.2752172000000000e+07
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,2.2125823400000000e+09,2.5220263000000000e+08,1.0691933000000000e+08,1.2716830000000000e+07,1.9537630000000000e+07,2.7212699200000000e+09,4.5500000000000000e+06,2.7167199200000000e+09,2.0347109500000000e+08,1.8756100000000000e+06,2.0159548500000000e+08,1.3456484500000000e+08,2.5408640000000000e+07,1.0915620500000000e+08,3.0593058600000000e+09,3.0274716100000000e+09,1.1731116000000000e+08
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,1.7330940100000000e+09,3.8677743000000000e+08,9.0397370000000000e+07,3.3691900000000000e+06,5.6493740000000000e+07,2.3051079800000000e+09,9.7929450000000000e+06,2.2953150350000000e+09,2.0360786200000000e+08,1.8821000000000000e+06,2.0172576200000000e+08,1.7486904600000000e+08,3.8592954000000000e+07,1.3627609200000000e+08,2.6835848880000000e+09,2.6333168890000000e+09,3.4976240000000000e+07
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,3.2439045590000000e+09,2.4624739100000000e+08,4.8993072000000000e+07,4.8759430000000000e+06,2.6781260000000000e+06,3.6255551900000000e+09,1.5194969000000000e+07,3.6103602210000000e+09,2.2097818000000000e+08,1.7351430000000000e+06,2.1924303700000000e+08,9.8423750000000000e+07,1.5053025000000000e+07,8.3370725000000000e+07,3.9449571200000000e+09,3.9129739830000000e+09,7.8856099000000000e+07
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,1.5350768000000000e+08,9.2608100000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9630358000000000e+08,3.6550000000000000e+05,1.9593808000000000e+08,1.4170230000000000e+07,1.0753000000000000e+05,1.4062700000000000e+07,5.4282400000000000e+06,4.1330800000000000e+05,5.0149320000000000e+06,2.1590205000000000e+08,2.1501571200000000e+08,3.3535090000000000e+07
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,1.0003170020000000e+09,8.2333677000000000e+07,3.7898310000000000e+07,6.5905000000000000e+05,1.0563501000000000e+07,1.1494787700000000e+09,3.2195000000000000e+06,1.1462592700000000e+09,1.0522987000000000e+08,1.5887700000000000e+06,1.0364110000000000e+08,4.7768025000000000e+07,1.3393940000000000e+07,3.4374085000000000e+07,1.3024766650000000e+09,1.2842744550000000e+09,1.7707230000000000e+07
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,1.7642888000000000e+08,4.4187150000000000e+07,3.0034700000000000e+07,4.7534000000000000e+05,6.6235600000000000e+06,2.8754387000000000e+08,3.7100000000000000e+05,2.8717287000000000e+08,2.2265910000000000e+07,5.2109000000000000e+05,2.1744820000000000e+07,5.7457810000000000e+07,2.0655330000000000e+07,3.6802480000000000e+07,3.6726759000000000e+08,3.4572017000000000e+08,2.9794240000000000e+07
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,1.8916539840000000e+09,3.2559081700000000e+08,2.3370321000000000e+08,1.9426000000000000e+06,4.2823289000000000e+07,2.5331827200000000e+09,1.0660976000000000e+07,2.5225217440000000e+09,2.0172055700000000e+08,7.2990200000000000e+06,1.9442153700000000e+08,2.4509219300000000e+08,7.4151522000000000e+07,1.7094067100000000e+08,2.9799954700000000e+09,2.8878839520000000e+09,3.7468820000000000e+07
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,4.4618812000000000e+08,5.6227660000000000e+07,6.5517900000000000e+06,9.8714000000000000e+05,0.0000000000000000e+00,5.5644122000000000e+08,2.7604000000000000e+06,5.5368082000000000e+08,4.1242020000000000e+07,2.6209000000000000e+05,4.0979930000000000e+07,2.5441815000000000e+07,6.8724200000000000e+05,2.4754573000000000e+07,6.2312505500000000e+08,6.1941532300000000e+08,4.6486510000000000e+07
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,7.3051037320000000e+09,1.8624046380000000e+09,1.8426681000000000e+08,4.4927120000000000e+07,2.1805036100000000e+08,9.7079985480000000e+09,1.0127581800000000e+08,9.6067227300000000e+09,5.6054748300000000e+08,9.4599500000000000e+06,5.5108753300000000e+08,5.5536618300000000e+08,3.9288607000000000e+07,5.1607757600000000e+08,1.0823912214000000e+10,1.0673887839000000e+10,9.3245887000000000e+07
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1.0979752000000000e+09,2.8115600000000000e+08,5.8930000000000000e+07,4.4200000000000000e+06,8.6267000000000000e+07,1.5797563000000000e+09,8.9800100000000000e+06,1.5707762900000000e+09,1.8401317000000000e+08,4.9942400000000000e+06,1.7901893000000000e+08,1.1257476500000000e+08,1.0547560000000000e+07,1.0202720500000000e+08,1.8763442350000000e+09,1.8518224250000000e+09,5.1008100000000000e+07
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1.3046141850000000e+09,6.8097635000000000e+07,5.9150000000000000e+05,5.7840000000000000e+05,2.6099200000000000e+06,1.4085927500000000e+09,4.3023000000000000e+06,1.4042904500000000e+09,6.7863800000000000e+07,2.5700000000000000e+05,6.7606800000000000e+07,2.7852880000000000e+07,4.4171800000000000e+05,2.7411162000000000e+07,1.5043094300000000e+09,1.4993084120000000e+09,3.2101110000000000e+07
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,1.5554874000000000e+09,1.9508330000000000e+08,1.6955900000000000e+07,3.0125000000000000e+06,1.5305000000000000e+06,1.8086867000000000e+09,1.1150912000000000e+07,1.7975357880000000e+09,9.1683870000000000e+07,4.1010000000000000e+05,9.1273770000000000e+07,5.9943080000000000e+07,4.4836680000000000e+06,5.5459412000000000e+07,1.9603136500000000e+09,1.9442689700000000e+09,3.6617100000000000e+07
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.4775391000000000e+09,3.5527480000000000e+08,8.7010700000000000e+07,5.3210000000000000e+05,1.4523300000000000e+07,1.9642075000000000e+09,4.2414891600000000e+08,1.5400585840000000e+09,1.1968166800000000e+08,1.0464680000000000e+06,1.1863520000000000e+08,8.2799695000000000e+07,6.8687400000000000e+06,7.5930955000000000e+07,2.1666888630000000e+09,1.7346247390000000e+09,2.9327500000000000e+07
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1.1497091880000000e+09,3.5392290000000000e+07,3.1576300000000000e+07,0.0000000000000000e+00,1.5682000000000000e+05,1.2358134380000000e+09,4.1040000000000000e+06,1.2317094380000000e+09,9.9682126000000000e+07,6.4948600000000000e+05,9.9032640000000000e+07,3.9372193000000000e+07,3.7102660000000000e+06,3.5661927000000000e+07,1.3748677570000000e+09,1.3664040050000000e+09,1.8978840000000000e+07
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,6.4900689000000000e+08,1.0151200000000000e+08,7.2764970000000000e+07,2.3233000000000000e+06,2.7612970000000000e+07,9.1724391000000000e+08,4.2978720000000000e+07,8.7426519000000000e+08,8.5087132000000000e+07,2.1572800000000000e+06,8.2929852000000000e+07,7.9040485000000000e+07,2.9179290000000000e+07,4.9861195000000000e+07,1.0813715270000000e+09,1.0070562370000000e+09,6.4023780000000000e+07
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,8.7816154000000000e+08,1.8708930000000000e+08,7.6774060000000000e+07,1.1929600000000000e+06,2.2176900000000000e+07,1.1852703000000000e+09,6.9962500000000000e+06,1.1782740500000000e+09,1.3037800000000000e+08,5.9902900000000000e+06,1.2438771000000000e+08,1.1013395000000000e+08,2.9386090000000000e+07,8.0747860000000000e+07,1.4257822500000000e+09,1.3834096200000000e+09,1.9875540000000000e+07
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,6.0979499000000000e+08,3.2496430000000000e+07,2.7041090000000000e+07,0.0000000000000000e+00,2.7351000000000000e+05,7.1784102000000000e+08,2.7525000000000000e+06,7.1508852000000000e+08,7.7980728000000000e+07,7.1494200000000000e+05,7.7265786000000000e+07,2.9384399000000000e+07,5.5165720000000000e+06,2.3867827000000000e+07,8.2520614700000000e+08,8.1622213300000000e+08,4.8235000000000000e+07
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,2.7344923000000000e+08,1.1988790000000000e+07,9.4641000000000000e+06,5.5300000000000000e+04,1.8777500000000000e+06,3.0695650000000000e+08,1.5010000000000000e+06,3.0545550000000000e+08,3.0521120000000000e+07,1.0355300000000000e+06,2.9485590000000000e+07,1.2697262000000000e+07,2.9638700000000000e+06,9.7333920000000000e+06,3.5017488200000000e+08,3.4467448200000000e+08,1.0121330000000000e+07
