Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
2400,"STAFFORD",0,"Town of Stafford Water Pollution Control Authority",0,0,0,0,0,0,0,"WPCA",1,6,0,37504,37504,0,,,,"01/01/11 00:00:00",619917,382361,,0,-5864,
2401,"STAFFORD",0,"Town of Stafford Board of Education",0,0,0,0,0,0,1,,0,177,0,483105,483105,0,,,,"01/01/11 00:00:00",6559309,4836852,,0,-22650,
2402,"WINDHAM",0,"Town of Windham Retirement Income Plan-Fire",0,0,0,0,0,1,0,,0,57,0,467717,444479,0,,,,"07/01/09 00:00:00",9682542,7151615,,0,-92083,
2403,"WINDHAM",0,"Town of Windham Retirement Income Plan-Police",0,0,0,0,1,0,0,,0,70,0,745490,695142,0,,,,"07/01/09 00:00:00",13739936,10490417,,0,-55455,
2404,"WINDHAM",0,"Town of Windham Retirement Income Plan-Municipal",0,0,0,1,0,0,0,,0,168,0,312389,382548,0,,,,"01/01/11 00:00:00",8572796,9809076,,0,-221144,
2405,"WINDHAM",0,"Town of Windham Retirement Income Plan-Board of Education",0,0,0,0,0,0,1,,0,226,0,298906,298906,0,,,,"07/01/09 00:00:00",6482180,6626078,,0,-19599,
2406,"NORTH BRANFORD",0,"Retirement Plan For Employees of The Town of North Branford - Municipal Employees",0,1,0,1,0,0,0,,1,104,0,260134,260134,0,,,,"07/01/10 00:00:00",7267629,5069492,,0,-107763,
2407,"NORTH BRANFORD",0,"Retirement Plan For Employees of The Town of North Branford - Police",0,0,0,0,1,0,0,,0,30,0,504343,504343,0,,,,"07/01/10 00:00:00",8519219,6805368,,0,-50151,
2408,"NORTH BRANFORD",0,"Retirement Plan For Employees of North Branford - Firefighters",1,0,0,0,0,1,0,"ambulance",1,129,0,165207,165207,0,,,,"07/01/10 00:00:00",1786800,999228,,0,-24830,
2409,"AVON",0,"Retirement Plan For Police Officers of Town of Avon",0,1,0,0,1,0,1,,0,35,0,894260,894260,0,,,,"07/01/09 00:00:00",18279008,8771018,,0,-7807,
2410,"AVON",0,"Retirement Plan For Public Works Employees of Town of Avon",0,1,0,0,0,0,0,"Public Works",1,19,0,322597,322597,0,,,,"07/01/09 00:00:00",5878996,2519123,,0,-714,
2411,"AVON",0,"Retirement Plan For Non-Organized Employees of Town of Avon",0,1,0,0,0,0,0,"Non-organized",1,60,0,731670,731670,0,,,,"07/01/09 00:00:00",14919613,8403336,,0,-13751,
2412,"AVON",0,"Retirement Plan For Board of Education of Town of Avon",0,0,0,0,0,0,1,,0,148,0,283245,283000,0,,,,"07/01/09 00:00:00",4728413,3687949,,0,-40582,
2413,"AVON",0,"Retirement Plan For Dispatchers of Town of Avon",0,1,0,0,0,0,0,"Dispatchers",1,4,0,18335,18335,0,,,,"07/01/09 00:00:00",745179,564378,,0,-4676,
2414,"EAST HAMPTON",0,"East Hampton Employees' Retirement Plan",0,0,1,0,0,0,0,,0,339,0,787261,847761,0,,,,"07/01/10 00:00:00",22936498,19798223,,0,-1311162,
2415,"BETHEL",0,"Town of Bethel Police Retirement  Plan",0,0,0,0,1,0,0,,0,43,0,556765,600090,0,,,,"07/01/11 00:00:00",9503391,6328556,,0,461857,
