Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
2110,"TRUMBULL",0,"Town of Trumbull Retirement Plan",0,0,0,1,0,0,0,,0,824,0,4035000,2025000,0,,,,"07/01/08 00:00:00",57704539,19572031,,0,27822926,
2111,"TRUMBULL",0,"Town of Trumbull Police Benefit Retirement Plan",0,0,0,0,1,0,0,,0,110,0,2438000,1250000,0,,,,"07/01/08 00:00:00",46416172,33154094,,0,19066410,
2113,"WEST HARTFORD",0,"Town of West Hartford Pension Fund",0,0,1,0,0,0,0,,0,1935,0,7481000,7480000,0,,,,"07/01/08 00:00:00",244095000,178201000,,0,-1537000,
2114,"SALISBURY",0,"Town of Salisbury Pension Plan",0,1,1,0,0,0,0,,0,11,0,108753,108753,0,,,,"01/01/09 00:00:00",1216715,1000863,,0,-165,
2115,"STAFFORD",0,"Town of Stafford Pension Plan",0,0,0,1,0,0,0,,0,79,0,379736,379736,0,,,,"01/01/09 00:00:00",5002505,3263129,,0,-1847,
2116,"STAFFORD",0,"Town of Stafford Water Pollution Control Authority",0,0,0,0,0,0,0,"WPCA",1,6,0,17385,17385,0,,,,"01/01/09 00:00:00",550563,346728,,0,-5993,
2117,"STAFFORD",0,"Town of Stafford Board of Education",0,0,0,0,0,0,1,,0,177,0,420374,420374,0,,,,"01/01/09 00:00:00",5615095,3820711,,0,-23084,
2118,"ORANGE",0,"Retirement Plan For Police Officers of Town of Orange",0,1,0,0,1,0,0,,0,50,0,304721,304721,0,,,,"01/01/10 00:00:00",18207883,14246755,,0,0,
2119,"ORANGE",0,"Town of Orange Employee Pension And Retirement Income Plan",0,1,1,0,0,0,0,,0,94,0,0,0,0,,,,"01/01/10 00:00:00",9827482,9007751,,0,0,
2120,"NORTH BRANFORD",0,"Retirement Plan For Employees of The Town of North Branford - Municipal Employees",0,1,0,1,0,0,1,,1,94,0,217447,217447,0,,,,"07/01/10 00:00:00",6960366,5254609,,0,-110871,
2121,"NORTH BRANFORD",0,"Retirement Plan For Employees of The Town of North Branford - Police",0,0,0,0,1,0,0,,0,30,0,518259,518259,0,,,,"07/01/10 00:00:00",7847297,6422046,,0,-52684,
2122,"NORTH BRANFORD",0,"Retirement Plan For Employees of North Branford - Firefighters",1,0,0,0,0,1,0,,0,125,0,149755,149755,0,,,,"07/01/10 00:00:00",1688334,955890,,0,-26042,
2123,"NAUGATUCK",0,"The Borough of Naugatuck Employee Pension Plan",0,0,1,0,0,0,0,,0,824,0,1881600,1705195,0,,,,"07/01/09 00:00:00",82313400,80737900,,0,-26416032,"***"
2124,"NAUGATUCK",0,"The Borough of Naugatuck Fire Plan",0,0,0,0,0,1,0,,0,73,0,691200,646626,0,,,,"07/01/09 00:00:00",25276000,25810600,,0,-8294618,"***"
2125,"NORFOLK",0,"Town of Norfolk Pension Plan",0,0,1,0,0,0,0,,0,37,0,139358,139358,0,,,,"07/01/08 00:00:00",1202010,976619,,0,20145,
2126,"SHERMAN",0,"Town of Sherman Pension Plan",0,1,1,0,0,0,0,,0,32,0,29256,22500,0,,,,"07/01/07 00:00:00",762005,743423,,0,30832,
2127,"LEDYARD",0,"Town of Ledyard Pension Plan",0,0,1,0,0,0,0,,0,235,0,960792,1000000,0,,,,"07/01/09 00:00:00",18361798,11385895,,0,824245,
2128,"WINDHAM",0,"Town of Windham Retirement Income Plan-Fire",0,0,0,0,0,1,0,,0,57,0,368082,368082,0,,,,"07/01/09 00:00:00",9682542,7151615,,0,-118413,
2129,"WINDHAM",0,"Town of Windham Retirement Income Plan-Police",0,0,0,0,1,0,0,,0,70,0,624215,624215,0,,,,"07/01/09 00:00:00",13739936,10490417,,0,-109257,
2130,"WINDHAM",0,"Town of Windham Retirement Income Plan-Municipal",0,0,0,1,0,0,0,,0,168,0,382548,423201,0,,,,"01/01/10 00:00:00",7832271,8471091,,0,-156167,
2131,"WINDHAM",0,"Town of Windham Retirement Income Plan-Board of Education",0,0,0,0,0,0,1,,0,226,0,288880,288880,0,,,,"07/01/08 00:00:00",6046151,6273747,,0,-20152,
2132,"COLCHESTER",0,"Town of Colchester Police Pension Plan",0,0,0,0,1,0,0,,0,10,0,77704,80798,0,,,,"07/01/09 00:00:00",535745,229699,,0,-27430,
2133,"BETHEL",0,"Town of Bethel Police Retirement  Plan",0,0,0,0,1,0,0,,0,42,0,579929,415392,0,,,,"07/01/10 00:00:00",8826293,5398747,,0,472133,
2134,"BETHEL",0,"Town of Bethel Town Retirement  Plan",0,0,1,0,0,0,0,,0,241,0,2089781,1593424,0,,,,"07/01/10 00:00:00",25321090,14418477,,0,1977023,
2135,"BLOOMFIELD",0,"The Town of Bloomfield Retirement Income Plan",0,1,1,0,0,0,0,,0,351,0,1468017,1468017,0,,,,"01/01/10 00:00:00",43859268,31559273,,0,-628,
2136,"BLOOMFIELD",0,"The Town of Bloomfield Police Retirement Income Plan",0,1,0,0,1,0,0,,0,86,0,1188459,1188459,0,,,,"01/01/10 00:00:00",31146427,21020009,,0,0,
2137,"BROOKFIELD",0,"Town of Brookfield Pension Plan",0,0,1,0,0,0,0,,0,244,0,1736719,495547,0,,,,"01/01/09 00:00:00",29300663,21311002,,0,2691409,
2138,"CANTON",0,"Town of Canton Employee Retirement Plan",0,1,0,1,1,0,1,"Visiting Nurses Association",1,141,0,644860,644860,0,,,,"01/01/10 00:00:00",18738636,12351707,,0,503766,
2139,"CANTON",0,"Town of Canton Volunteer Firefighters and Ambulance Retirement Plan",1,1,0,0,0,1,0,"Ambulance",1,35,0,20369,20369,0,,,,"01/01/10 00:00:00",425701,233592,,0,56433,
2140,"CHESHIRE",0,"Town of Cheshire Pension Plan",0,0,1,0,0,0,0,,0,506,0,618414,618414,0,,,,"07/01/08 00:00:00",33391499,37610994,,0,571005,
2141,"CHESHIRE",0,"Town of Cheshire Pension Plan For Police Personnel",0,0,0,0,1,0,0,,0,74,0,252025,252025,0,,,,"07/01/08 00:00:00",25487057,26101814,,0,792,
2142,"CHESHIRE",0,"Town of Chesire Volunteer Fire Plan",1,0,0,0,0,1,0,,0,125,0,121109,121109,0,,,,"07/01/08 00:00:00",1432140,629104,,0,112880,
2143,"CHESTER",0,"Town of Chester Employee Retirement Plan",0,0,1,0,0,0,0,,0,25,0,59980,60500,0,,,,"01/01/09 00:00:00",1325459,747033,,0,64978,
