Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
214,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,1,0,0,0,0,,0,64,0,1005393,700000,0,,,,"07/01/12 00:00:00",6946328,697912,,0,667623,
215,"BRIDGEPORT",0,"Public Safety Plan A",0,1,0,0,1,1,0,,0,853,0,11554504,10500000,0,,,,"07/01/12 00:00:00",336963000,147699000,,0,-59652984,"***"
216,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,0,0,0,1,0,0,,0,529,0,7792559,5895224,0,,,,"07/01/12 00:00:00",165561000,129726000,,0,-991885,
217,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,1,0,0,0,1,0,,0,79,0,0,0,0,,,,"07/01/12 00:00:00",41988000,74312000,"All active members of the plan transferred by the City to MERS as of 4/1/12",0,-478265,
218,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,"Janitors and Engineers hired before 1985",1,39,1,892501,936328,0,,,,"07/01/12 00:00:00",7386000,3000,,0,1447837,
219,"ANSONIA",0,"City Employees' Retirement Plan",0,1,1,0,0,0,0,,0,64,0,405047,0,0,,,,,,,"No active employees",1,1608588,
220,"ANSONIA",0,"Police Retirement Plan",0,1,0,0,1,0,0,,0,24,0,333542,506526,0,,,,"07/01/12 00:00:00",4866000,1111000,"No active employees",0,1680997,
221,"BETHLEHEM",0,"Bethlehem LOSAP",1,0,0,0,0,1,0,"Ambulance",1,101,0,88787,88787,0,,,,"07/01/13 00:00:00",730155,509258,,0,0,
222,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,0,0,0,1,0,0,,0,89,0,889632,922000,0,,,,"07/01/11 00:00:00",24236343,16516711,,0,-303892,
223,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,0,1,0,0,0,0,,0,111,0,236384,219597,0,,,,"07/01/12 00:00:00",4055735,2978470,,0,-590,
224,"BROOKLYN",0,"Fire Department Service Award Program For Town of Brooklyn",1,0,0,0,0,1,0,,0,87,0,71666,75544,0,,,,"01/01/12 00:00:00",1056258,83628,,0,320985,
