Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB45 ValDate,GASB45 AAL,GASB45 AssetValue,Comments,Alternate Method,Plan NOPEBO,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB
169,"HAMPTON",0,"Hampton Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,59222,14060,0,,,,"06/30/13 00:00:00",1028489,0,,1,547973,,0,1,0,0,
170,"BRIDGEPORT",0,"City of Bridgeport OPEB Plan",0,1,0,0,0,0,0,,0,7426,1,47743386,25803694,0,,,,"07/01/12 00:00:00",723711649,0,,0,144507188,,0,1,0,0,
171,"LEBANON",0,"Lebanon Board of Education OPEB Plan",0,0,0,0,0,1,1,,0,,1,323900,99600,0,,,,"07/01/12 00:00:00",3815000,0,,0,1405500,,0,1,0,0,
172,"ANDOVER",0,"Town of Andover OPEB Plan",0,1,0,0,0,0,0,,0,,1,56000,22000,0,,,,"07/01/10 00:00:00",553000,0,,0,153000,,0,1,0,0,
173,"ANSONIA",0,"City of Ansonia OPEB Plan",0,1,0,0,0,0,0,,0,523,1,2788000,1205000,0,,,,"07/01/11 00:00:00",31003000,0,,0,7452014,,0,1,1,0,
174,"ASHFORD",0,"Town of Ashford Post Retirement Healthcare Plan",0,0,0,0,0,1,1,,0,,1,33796,28894,0,,,,"07/01/11 00:00:00",116856,0,,0,0,,0,1,0,0,
175,"BEACON FALLS",0,"Town of Beacon Falls OPEB Plan",0,1,0,0,0,0,0,,0,,1,28085,15922,0,,,,"07/01/13 00:00:00",1195490,0,,0,45113,,0,1,0,0,
176,"BOLTON",0,"Town of Bolton Board of Education OPEB Plan",0,0,0,0,0,1,0,,0,,1,231594,98577,0,,,,"07/01/11 00:00:00",2356135,0,,0,1094843,,0,1,0,0,
177,"BOZRAH",0,"Bozrah Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,128617,9807,0,,,,"06/30/13 00:00:00",1294662,0,,1,227113,,0,1,0,0,
178,"BRANFORD",0,"Town of Branford Retirement Health Plan",0,1,0,0,0,0,0,,0,711,0,1651000,1584500,0,,,,"07/01/12 00:00:00",20977792,5856346,,0,-562100,,1,1,0,0,
