MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.0936160000000000e+08,5.0747300000000000e+06,1.0677000000000000e+06,7.7100000000000000e+05,1.7964000000000000e+06,2.2418309000000000e+08,9.0900000000000000e+05,2.2327409000000000e+08,2.7860360000000000e+07,8.7309000000000000e+05,2.6987270000000000e+07,7.2786450000000000e+06,4.9961000000000000e+05,6.7790350000000000e+06,2.5932209500000000e+08,2.5704039500000000e+08,6.1116600000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5230005200000000e+08,7.5151420000000000e+07,1.9702800000000000e+07,3.3000000000000000e+04,1.5401400000000000e+07,7.6270813200000000e+08,6.6903200000000000e+06,7.5601781200000000e+08,9.7779855000000000e+07,9.5100000000000000e+05,9.6828855000000000e+07,5.4371920000000000e+07,6.4110520000000000e+06,4.7960868000000000e+07,9.1485990700000000e+08,9.0080753500000000e+08,1.1946000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2475510000000000e+08,1.3347346000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.0566000000000000e+06,2.5874041600000000e+08,1.1078300000000000e+06,2.5763258600000000e+08,3.1189350000000000e+07,9.4486000000000000e+05,3.0244490000000000e+07,1.1176730000000000e+07,1.8835400000000000e+06,9.2931900000000000e+06,3.0110649600000000e+08,2.9717026600000000e+08,1.1581370000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0173098900000000e+09,2.6530570000000000e+08,2.3907100000000000e+07,3.2259000000000000e+05,3.6421010000000000e+07,2.3479476600000000e+09,4.0899500000000000e+06,2.3438577100000000e+09,1.7933848000000000e+08,7.9268000000000000e+05,1.7854580000000000e+08,1.1605945000000000e+08,2.6653020000000000e+07,8.9406430000000000e+07,2.6433455900000000e+09,2.6118099400000000e+09,4.6813700000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.5080540000000000e+08,1.0932720000000000e+07,4.5263000000000000e+06,0.0000000000000000e+00,2.1733800000000000e+06,3.0484214000000000e+08,1.0551300000000000e+06,3.0378701000000000e+08,3.2758720000000000e+07,4.1311000000000000e+05,3.2345610000000000e+07,1.5813650000000000e+07,4.6456100000000000e+06,1.1168040000000000e+07,3.5341451000000000e+08,3.4730066000000000e+08,3.6404340000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.4096298000000000e+08,1.4590480000000000e+07,3.2249900000000000e+07,2.9553000000000000e+05,0.0000000000000000e+00,3.9941620000000000e+08,4.1464180000000000e+06,3.9526978200000000e+08,4.5258850000000000e+07,3.3727000000000000e+05,4.4921580000000000e+07,2.8776657000000000e+07,4.6351080000000000e+06,2.4141549000000000e+07,4.7345170700000000e+08,4.6433291100000000e+08,1.1317310000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4120721050000000e+09,2.6183668700000000e+08,1.2454386000000000e+08,2.9994000000000000e+06,1.0560000000000000e+05,1.8358461650000000e+09,6.7436870000000000e+06,1.8291024780000000e+09,2.0277998000000000e+08,1.0698310000000000e+07,1.9208167000000000e+08,2.6902874700000000e+08,7.6992150000000000e+07,1.9203659700000000e+08,2.3076548920000000e+09,2.2132207450000000e+09,3.4288513000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5479869000000000e+08,2.5359890000000000e+07,4.8230900000000000e+06,0.0000000000000000e+00,2.8138000000000000e+05,4.8884168000000000e+08,1.5861500000000000e+06,4.8725553000000000e+08,4.8431120000000000e+07,2.3387000000000000e+05,4.8197250000000000e+07,2.1637121000000000e+07,3.2264710000000000e+06,1.8410650000000000e+07,5.5890992100000000e+08,5.5386343000000000e+08,3.5786300000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.3211190800000000e+09,1.9362806000000000e+08,7.9568930000000000e+07,0.0000000000000000e+00,2.2470080000000000e+07,1.6581752500000000e+09,4.2476400000000000e+06,1.6539276100000000e+09,1.4463366000000000e+08,4.2031000000000000e+05,1.4421335000000000e+08,1.6789629000000000e+08,2.2514170000000000e+07,1.4538212000000000e+08,1.9707052000000000e+09,1.9435230800000000e+09,4.1389100000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9940690000000000e+08,2.3690300000000000e+07,2.5315000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.3407261000000000e+08,2.5677900000000000e+06,3.3150482000000000e+08,3.4357801000000000e+07,1.0744000000000000e+05,3.4250361000000000e+07,9.2804030000000000e+06,9.5928300000000000e+05,8.3211200000000000e+06,3.7771081400000000e+08,3.7407630100000000e+08,8.4439100000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.0135265720000000e+09,2.5813425300000000e+08,2.4244309200000000e+08,0.0000000000000000e+00,1.2629251600000000e+08,1.6483382330000000e+09,3.4323620000000000e+07,1.6140146130000000e+09,1.5656831000000000e+08,6.5214000000000000e+06,1.5004691000000000e+08,3.7428732800000000e+08,1.1999049500000000e+08,2.5429683300000000e+08,2.1791938710000000e+09,2.0183583560000000e+09,7.9418000000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.4938880000000000e+08,1.5319330000000000e+07,8.2698000000000000e+06,0.0000000000000000e+00,2.4799000000000000e+06,3.8422929000000000e+08,1.9766400000000000e+06,3.8225265000000000e+08,4.1247695000000000e+07,9.8156000000000000e+05,4.0266135000000000e+07,1.2863685000000000e+07,3.1052300000000000e+06,9.7584550000000000e+06,4.3834067000000000e+08,4.3227724000000000e+08,8.7714600000000000e+06
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.4009671000000000e+08,1.0401790000000000e+07,2.3054930000000000e+07,0.0000000000000000e+00,9.7175000000000000e+05,1.8256975000000000e+08,8.1468000000000000e+05,1.8175507000000000e+08,2.4696680000000000e+07,1.9820000000000000e+05,2.4498480000000000e+07,2.8822130000000000e+07,1.2673490000000000e+07,1.6148640000000000e+07,2.3608856000000000e+08,2.2240219000000000e+08,8.0445700000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.6066933900000000e+09,3.6009291000000000e+08,1.1296323000000000e+08,3.2127000000000000e+06,4.9916520000000000e+07,3.1500030000000000e+09,7.3824000000000000e+06,3.1426206000000000e+09,2.3709546100000000e+08,1.5908690000000000e+06,2.3550459200000000e+08,1.7927324100000000e+08,1.9525197000000000e+07,1.5974804400000000e+08,3.5663717020000000e+09,3.5378732360000000e+09,1.7124250000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.1040317260000000e+09,8.8574465200000000e+08,3.5701542600000000e+08,3.7589060000000000e+07,2.9579738500000000e+08,4.7642199680000000e+09,2.6545340000000000e+07,4.7376746280000000e+09,4.9521049300000000e+08,9.1940000000000000e+06,4.8601649300000000e+08,8.9445567800000000e+08,9.2113353000000000e+07,8.0234232500000000e+08,6.1538861390000000e+09,6.0260334460000000e+09,8.4041719000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.2007515200000000e+08,2.8722000000000000e+06,6.7310000000000000e+05,4.0340000000000000e+05,0.0000000000000000e+00,3.4578205200000000e+08,7.7000000000000000e+05,3.4501205200000000e+08,1.7907210000000000e+07,6.9040000000000000e+04,1.7838170000000000e+07,5.6274790000000000e+06,4.2390000000000000e+05,5.2035790000000000e+06,3.6931674100000000e+08,3.6805380100000000e+08,2.1758200000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.3647697610000000e+09,4.9687526000000000e+08,2.1739515000000000e+08,2.2943200000000000e+06,1.3919654200000000e+08,3.2530655030000000e+09,3.0327197000000000e+07,3.2227383060000000e+09,3.8617318000000000e+08,2.9027000000000000e+06,3.8327048000000000e+08,5.6436055300000000e+08,2.4705275700000000e+08,3.1730779600000000e+08,4.2035992360000000e+09,3.9233165820000000e+09,3.2534470000000000e+07
