Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
1061,"HARTFORD",0,"City MERF",0,0,0,1,0,0,0,0,,0,5410,0,,,,1442387000,1040757000,7.4999999999999997e-02,7.4999999999999997e-02,1.0440000000000001e-01,37650000,37650000,144122000,"2015-07-01 00:00:00",1
1062,"HARTFORD",0,"RAF/PBF/FRF pre 5/1/1947 PLAN",0,1,0,0,0,0,0,0,,1,58,1,"Money weight of return and Employee Covered Payroll not applicable (no assets in the plan and only retirees are covered).",,,3640000,0,3.7999999999999999e-02,3.5799999999999998e-02,,525000,525000,,"2016-07-01 00:00:00",1
1064,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,1,0,0,0,1,0,0,,0,133,0,,,,95671030,60766256,6.2500000000000000e-02,4.8599999999999997e-02,1.2110000000000000e-01,2099288,2002000,,"2017-06-30 00:00:00",0
1065,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,1,0,0,0,0,1,0,,0,77,0,,,,37719720,37073073,6.2500000000000000e-02,6.2500000000000000e-02,9.8500000000000004e-02,239304,302100,,"2017-06-30 00:00:00",0
1066,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,0,"Janitors and Engineers hired prior to 1985",1,30,1,,,,8238640,3433,3.5799999999999998e-02,3.5799999999999998e-02,,769368,731496,,"2017-06-30 00:00:00",0
1067,"WINCHESTER",0,"Town of Winchester Employees' Retirement Plan",0,1,0,1,0,0,0,0,,0,100,0,"Investment rate of return raised from 4.0% in prior years to 7.75% for latest actuarial valuation as of 1/1/2016.",,,11981626,8104426,7.7499999999999999e-02,7.7499999999999999e-02,1.0650000000000000e-01,520449,801260,2281285,"2016-01-01 00:00:00",1
1068,"MORRIS",0,"Town of Morris Pension Plan",0,0,0,1,0,0,0,0,,0,13,0,,,,1570959,1042191,6.7500000000000004e-02,6.7500000000000004e-02,9.9199999999999997e-02,52626,69000,388213,"2017-07-01 00:00:00",0
1069,"MORRIS",0,"Volunteer Fire Plan",1,0,0,0,0,0,1,0,,0,49,0,,,,174434,115551,6.7500000000000004e-02,6.7500000000000004e-02,5.5199999999999999e-02,4354,8500,,"2017-07-01 00:00:00",0
1070,"STAMFORD",0,"Classified Employees Retirement Trust Fund",0,0,0,1,0,0,0,0,,0,1473,0,,,,260932076,210354348,7.4999999999999997e-02,7.4999999999999997e-02,1.4620000000000000e-01,5923000,5923000,40776678,"2016-07-01 00:00:00",0
1071,"STAMFORD",0,"Police Pension Trust Fund",0,0,0,0,0,1,0,0,,0,596,0,,,,257357276,202493336,7.4999999999999997e-02,7.4999999999999997e-02,1.0810000000000000e-01,7903000,7903000,22320912,"2016-07-01 00:00:00",0
