MUNICIPALITY,Median Home Values - 2017 Estimate,Margin of Error
"GLASTONBURY",344100.0000,8523.0000
"GOSHEN",350800.0000,18321.0000
"GRANBY",296800.0000,13401.0000
"GREENWICH",1217500.0000,42295.0000
"GRISWOLD",192900.0000,22985.0000
"GROTON",237500.0000,9270.0000
"GROTON (City of)",,
"GUILFORD",389900.0000,12283.0000
"HADDAM",305400.0000,22900.0000
"HAMDEN",225700.0000,4311.0000
"HAMPTON",226500.0000,10724.0000
"HARTFORD",162300.0000,3972.0000
"HARTLAND",264200.0000,9654.0000
"HARWINTON",287900.0000,13840.0000
"HEBRON",302900.0000,13284.0000
"KENT",363700.0000,34141.0000
"KILLINGLY",184000.0000,6698.0000
"KILLINGWORTH",369200.0000,18447.0000
"LEBANON",254900.0000,15567.0000
"LEDYARD",236500.0000,7974.0000
"LISBON",227100.0000,15356.0000
"LITCHFIELD",306200.0000,18485.0000
"LYME",513900.0000,71985.0000
"MADISON",432900.0000,15950.0000
"MANCHESTER",182100.0000,4034.0000
"MANSFIELD",233100.0000,10052.0000
"MARLBOROUGH",314600.0000,27384.0000
"MERIDEN",173100.0000,2993.0000
"MIDDLEBURY",355400.0000,16096.0000
"MIDDLEFIELD",297500.0000,20416.0000
"MIDDLETOWN",228500.0000,6823.0000
"MILFORD",303200.0000,8493.0000
"MONROE",363400.0000,13066.0000
"MONTVILLE",192000.0000,7841.0000
"MORRIS",339000.0000,16779.0000
"NAUGATUCK",179900.0000,6025.0000
"NEW BRITAIN",156800.0000,2883.0000
"NEW CANAAN",1439600.0000,105075.0000
"NEW FAIRFIELD",356600.0000,12142.0000
"NEW HARTFORD",305400.0000,22083.0000
"NEW HAVEN",189400.0000,6463.0000
"NEW LONDON",177100.0000,7776.0000
"NEW MILFORD",289100.0000,7704.0000
"NEWINGTON",229900.0000,4835.0000
"NEWTOWN",403400.0000,12640.0000
"NORFOLK",326400.0000,37381.0000
"NORTH BRANFORD",281800.0000,10883.0000
"NORTH CANAAN",194800.0000,17863.0000
"NORTH HAVEN",299000.0000,8993.0000
"NORTH STONINGTON",278100.0000,15261.0000
"NORWALK",421900.0000,9811.0000
"NORWICH",168200.0000,4747.0000
"OLD LYME",398900.0000,16630.0000
"OLD SAYBROOK",373200.0000,19202.0000
"ORANGE",385100.0000,8698.0000
"OXFORD",354500.0000,10912.0000
"PLAINFIELD",171300.0000,5001.0000
"PLAINVILLE",205400.0000,11259.0000
"PLYMOUTH",193400.0000,6549.0000
"POMFRET",268300.0000,19787.0000
"PORTLAND",244800.0000,10196.0000
"PRESTON",242800.0000,18425.0000
"PROSPECT",307400.0000,16660.0000
"PUTNAM",183000.0000,9676.0000
"REDDING",597500.0000,20732.0000
"RIDGEFIELD",671700.0000,19740.0000
"ROCKY HILL",264100.0000,9070.0000
"ROXBURY",595900.0000,57425.0000
"SALEM",270400.0000,12019.0000
"SALISBURY",418400.0000,76829.0000
"SCOTLAND",242400.0000,19247.0000
"SEYMOUR",243400.0000,11546.0000
"SHARON",408500.0000,52746.0000
"SHELTON",341500.0000,4854.0000
"SHERMAN",455800.0000,29075.0000
"SIMSBURY",327800.0000,6407.0000
"SOMERS",308500.0000,13773.0000
"SOUTH WINDSOR",281100.0000,6826.0000
"SOUTHBURY",325000.0000,12002.0000
"SOUTHINGTON",271900.0000,6504.0000
"SPRAGUE",217100.0000,20503.0000
"STAFFORD",189600.0000,9139.0000
"STAMFORD",516000.0000,13764.0000
"STERLING",207000.0000,19354.0000
"STONINGTON",315800.0000,17161.0000
"STRATFORD",250700.0000,5267.0000
"SUFFIELD",293300.0000,11586.0000
"THOMASTON",199400.0000,14030.0000
"THOMPSON",204000.0000,19381.0000
"TOLLAND",286600.0000,16201.0000
"TORRINGTON",160200.0000,3699.0000
"TRUMBULL",394600.0000,6526.0000
"UNION",292100.0000,21940.0000
"VERNON",207600.0000,7245.0000
"VOLUNTOWN",227400.0000,16798.0000
"WALLINGFORD",266100.0000,6018.0000
"WARREN",368500.0000,20918.0000
"WASHINGTON",465900.0000,43828.0000
"WATERBURY",128600.0000,3652.0000
"WATERFORD",253400.0000,8450.0000
"WATERTOWN",243000.0000,9116.0000
"WEST HARTFORD",326000.0000,5660.0000
"WEST HAVEN",193300.0000,4693.0000
"WESTBROOK",378900.0000,34961.0000
"WESTON",878600.0000,33187.0000
"WESTPORT",1152100.0000,55214.0000
"WETHERSFIELD",250700.0000,6812.0000
"WILLINGTON",219600.0000,18014.0000
"WILTON",815500.0000,25094.0000
"WINCHESTER",164600.0000,10109.0000
"WINDHAM",156500.0000,7387.0000
"WINDSOR",216500.0000,5129.0000
"WINDSOR LOCKS",190400.0000,4599.0000
"WOLCOTT",251900.0000,11135.0000
"WOODBRIDGE",478600.0000,17455.0000
"WOODBURY",350800.0000,18912.0000
"WOODSTOCK",247500.0000,14279.0000
