MUNICIPALITY,Median Home Values - 2017 Estimate,Margin of Error
"ANDOVER",277100.0000,13773.0000
"ANSONIA",208700.0000,10772.0000
"ASHFORD",240000.0000,18843.0000
"AVON",378000.0000,10696.0000
"BARKHAMSTED",258500.0000,17070.0000
"BEACON FALLS",235100.0000,22089.0000
"BERLIN",281100.0000,6704.0000
"BETHANY",359100.0000,20141.0000
"BETHEL",333900.0000,8357.0000
"BETHLEHEM",353300.0000,22329.0000
"BLOOMFIELD",211300.0000,8379.0000
"BOLTON",288200.0000,12574.0000
"BOZRAH",225900.0000,15868.0000
"BRANFORD",298200.0000,11322.0000
"BRIDGEPORT",170300.0000,2894.0000
"BRIDGEWATER",495000.0000,36478.0000
"BRISTOL",190500.0000,5015.0000
"BROOKFIELD",370000.0000,13842.0000
"BROOKLYN",223400.0000,12873.0000
"BURLINGTON",316200.0000,19312.0000
"CANAAN",334100.0000,40770.0000
"CANTERBURY",220000.0000,14917.0000
"CANTON",300700.0000,19857.0000
"CHAPLIN",195300.0000,12910.0000
"CHESHIRE",329000.0000,8910.0000
"CHESTER",358400.0000,28084.0000
"CLINTON",288000.0000,8437.0000
"COLCHESTER",254000.0000,9779.0000
"COLEBROOK",262100.0000,18509.0000
"COLUMBIA",243300.0000,10353.0000
"CORNWALL",439600.0000,47166.0000
"COVENTRY",243500.0000,16774.0000
"CROMWELL",245000.0000,10426.0000
"DANBURY",289700.0000,5668.0000
"DARIEN",1398600.0000,88462.0000
"DEEP RIVER",274800.0000,10145.0000
"DERBY",194600.0000,17688.0000
"DURHAM",337800.0000,17629.0000
"EAST GRANBY",288000.0000,12490.0000
"EAST HADDAM",268800.0000,13168.0000
"EAST HAMPTON",261400.0000,10818.0000
"EAST HARTFORD",159800.0000,2889.0000
"EAST HAVEN",206900.0000,6738.0000
"EAST LYME",300200.0000,8829.0000
"EAST WINDSOR",204300.0000,14279.0000
"EASTFORD",253100.0000,12668.0000
"EASTON",629200.0000,23440.0000
"ELLINGTON",249700.0000,17268.0000
"ENFIELD",185000.0000,2463.0000
"ESSEX",360600.0000,19330.0000
"FAIRFIELD",597900.0000,13186.0000
"FARMINGTON",327900.0000,10998.0000
"FRANKLIN",238000.0000,13006.0000
