Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB45 ValDate,GASB45 AAL,GASB45 AssetValue,Comments,Alternate Method,Plan NOPEBO,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB
8,"GREENWICH",0,"Retiree Medical and Life Plan ( RMLI Plan)",0,1,0,0,0,0,,0,3799,0,9800000,19319603,0,,,,"07/01/07 00:00:00",103000000,0,,0,-9519603,,0,1,1,0,
9,"BRISTOL",0,"Retiree Health Plan",0,1,0,0,0,0,,0,1975,1,8200000,2771000,0,,,,"07/01/07 00:00:00",72000000,0,,0,5429000,,0,1,1,0,
10,"DANBURY",0,"General Government Employees",0,0,1,0,0,0,,0,902,0,7039000,3945000,0,,,,"07/01/06 00:00:00",73448000,0,"Report mentioned a single DB plan but listed as two separted amounts. List separate per Bill Plummer",0,3094000,,0,1,1,0,
11,"DANBURY",0,"Board of Education Employees",0,0,0,0,0,1,,0,1015,0,1770000,492000,0,,,,"07/01/06 00:00:00",20366000,0,"Report mentioned a single DB plan but listed as two separted amounts. List separate per Bill Plummer",0,1278000,,0,1,1,0,
12,"EAST HARTFORD",0,"Retiree Benefit Trust Fund (RBTF)",0,1,0,0,0,0,,0,2861,0,10360000,4079000,0,,,,"01/01/07 00:00:00",128765000,0,,0,6281000,,0,1,1,1,
13,"GROTON",0,"Groton Retired Employees Healthcare Plan",0,1,0,0,0,0,,0,426,0,2506000,2689235,0,,,,"07/01/06 00:00:00",27900000,0,,0,-183235,,0,1,0,0,
14,"HAMDEN",0,"Town of Hamden OPEB Plan",0,1,0,0,0,0,,0,2093,0,32365361,5718502,0,,,,"06/30/08 00:00:00",366234442,0,,0,26646859,,0,1,1,0,
15,"HARTFORD",0,"City of Hartford OPEB Plan",0,1,0,0,0,0,,0,10064,0,31600000,15425000,0,,,,"07/01/07 00:00:00",373386000,0,,0,16175000,,0,1,1,0,
16,"MERIDEN",0,"Meriden Postemployment Healthcare Plan",0,1,0,0,0,0,,0,2648,0,16701796,5150662,0,,,,"07/01/06 00:00:00",231478641,3175002,,0,11551134,,0,1,0,0,
17,"MIDDLETOWN",0,"The City of Middletown Plan",0,1,0,0,0,0,,0,1702,1,13710000,5133000,0,,,,"06/30/08 00:00:00",150100000,0,,0,8577000,,0,1,0,0,
18,"NEW BRITAIN",0,"The City of New Britain OPEB Plan",0,1,0,0,0,0,,0,2187,1,3724000,3629000,0,,,,"07/01/06 00:00:00",42853000,0,,0,95000,,0,1,0,0,
19,"NORWALK",0,"City of Norwalk OPEB Plan",0,1,0,0,0,0,,0,3186,0,15573000,11467370,0,,,,"07/01/07 00:00:00",187893000,0,,0,4105630,,0,1,1,0,
20,"NORWICH",0,"The City of Norwich, Retiree Health Plan",0,1,0,0,0,0,,0,1702,0,5352000,5339000,0,,,,"07/01/07 00:00:00",46595000,0,,0,13000,,0,1,1,0,
21,"WESTPORT",0,"Town of Westport OBEB Plan",0,1,0,0,0,0,,0,452,0,5264000,1662000,0,,,,"07/01/07 00:00:00",50000000,0,,0,3602000,,0,1,1,0,
22,"WALLINGFORD",0,"Wallingford OPEB Plan",0,1,0,0,0,0,,0,1566,0,3178000,1992000,0,,,,"07/01/06 00:00:00",37961000,0,,0,1186000,,0,1,0,0,
23,"WATERBURY",0,"City of Waterbury OPEB Plan",0,1,0,0,0,0,,0,6912,1,64188000,28011000,0,,,,"07/01/06 00:00:00",803860000,0,,0,36177000,,0,1,1,0,
24,"WEST HARTFORD",0,"Town of West Hartford OPEB Plan",0,0,1,1,1,0,,1,3081,0,6274000,5476000,0,,,,"07/01/07 00:00:00",85496000,0,,0,798000,,0,1,0,0,
25,"BRIDGEPORT",0,"City of Bridgeport OPEB Plan",0,1,0,0,0,0,"Board of Ed",0,7830,1,47314000,29605000,0,,,,"07/01/07 00:00:00",874662000,0,,0,17709000,,0,1,0,0,
26,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Town",0,0,1,0,0,0,,0,541,0,4707000,1938000,0,,,,"07/01/07 00:00:00",55451000,0,,0,2769000,,0,1,1,0,
27,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Police & Fire",0,0,0,1,1,0,,0,400,0,4770000,1761000,0,,,,"07/01/07 00:00:00",55688000,0,,0,3009000,,1,1,1,0,
28,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Board of Education",0,0,0,0,0,1,,0,1460,0,1643000,1183000,0,,,,"07/01/07 00:00:00",29443000,0,,0,460000,,0,1,0,0,
29,"MANCHESTER",0,"Town of Manchester - OPEB Plan",0,0,1,1,1,0,"Board of ED",1,3023,1,10425000,7574000,0,,,,"07/01/07 00:00:00",126000000,0,,0,2851000,,0,1,1,0,
30,"MILFORD",0,"Board of Education Retiree Medical Benefit -City of Milford OPEB",0,0,0,0,0,1,"Teachers, Paraprofessionals",1,1867,0,11042000,3224000,0,,,,"07/01/06 00:00:00",107159000,0,,0,7818000,,0,1,1,0,
31,"MILFORD",0,"City of Milford Retiree Medical OPEB Plan-",0,1,0,0,0,0,,0,1073,0,12433000,3855000,0,,,,"07/01/06 00:00:00",114337000,0,,0,8578000,,0,1,1,0,
32,"NEW HAVEN",0,"City of New Haven OPEB Plan",0,0,0,0,0,0,,0,,1,42126000,14350000,0,,,,"06/30/07 00:00:00",430522000,0,,0,27776000,,0,1,1,0,
33,"SIMSBURY",0,"Town of Simsbury OPEB Plan",0,1,0,0,0,0,,0,919,0,2067900,2193500,0,,,,"07/01/07 00:00:00",24000000,0,,0,-258690,,1,1,1,0,
34,"STAMFORD",0,"City of Stamford OPEB Plan",0,1,0,0,0,0,,0,4960,0,16006000,9200000,0,,,,"07/01/06 00:00:00",200894000,0,,0,6806000,,0,1,1,0,
