Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2005 Population,Moody's_Bond_Ratings_July_2005,area lmt,ACGLFY05,EGL,TANF05 Recipients,empl,ACMR,enrollmt,RPA Identifier
"ANDOVER","BP",2.0050000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",4015389.0000,1608034.0000,5691525.0000,-227625.0000,2378966.0000,5356471.0000,8003762.0000,6414601.0000,241225.0000,8381319.0000,308170.0000,308170.0000,757796.0000,757796.0000,-827183.0000,-23206.0000,-827183.0000,0.0000,4679499.9251,1861391.0000,6540890.9251,85299.0000,348026.0000,433325.0000,348026.0000,,,5308427.0000,5220481.0000,9.8343275701069266e-01,5439716.0000,5298532.0000,9.7404570385659839e-01,3.2090000000000000e+03,"A3",1.5450000000000001e+01,167942662.0000,338067466.0000,1.0000000000000000e+01,4.1860465116279069e-02,3.1300000000000001e+01,6.6750999999999999e+02,"Capital Region COG"
"ANSONIA","BP",2.0050000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",22603535.0000,33125091.0000,55741807.0000,-2675977.0000,22499276.0000,23455230.0000,48601938.0000,26573587.0000,8427803.0000,48862080.0000,1076009.0000,1076009.0000,0.0000,0.0000,815867.0000,-180364.0000,815867.0000,0.0000,,39760000.0000,39760000.0000,1416328.0000,140654.0000,5474897.0000,4058569.0000,4579492.0000,,23700325.0000,23066305.0000,9.7324846811172416e-01,25251447.0000,23547713.0000,9.3252925268005438e-01,1.8744000000000000e+04,"A3",6.0300000000000002e+00,779778130.0000,1468210137.0488,4.8100000000000000e+02,6.0867777092329836e-02,3.0270000000000000e+01,2.8289900000000002e+03,"Valley COG"
"ASHFORD","BP",2.0050000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",6426498.0000,6162724.0000,13050025.0000,606344.0000,3834093.0000,7093551.0000,11435504.0000,8417889.0000,417493.0000,11048897.0000,285483.0000,285483.0000,268028.0000,268028.0000,404062.0000,208921.0000,404062.0000,0.0000,4729200.5460,5967435.0000,10696635.5460,273331.0000,400000.0000,2158506.0000,1885175.0000,,,6974377.0000,6858667.0000,9.8340927082089191e-01,7255828.0000,6999996.0000,9.6474117082157962e-01,4.4160000000000000e+03,"A2",3.8800000000000004e+01,221587120.0000,357420207.8192,1.6000000000000000e+01,3.9161392405063292e-02,3.1000000000000000e+01,8.2536000000000001e+02,"Windham Region COG"
"AVON","JG",2.0050000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",85496836.0000,9182945.0000,94679781.0000,3869600.0000,2950842.0000,49213013.0000,55020103.0000,33762307.0000,4822048.0000,53705866.0000,16303.0000,16303.0000,1568617.0000,1568617.0000,-238077.0000,-200658.0000,-238077.0000,0.0000,,24860000.0000,24860000.0000,908877.0000,100000.0000,4566100.0000,3657223.0000,,417471.0000,48900411.0000,48850856.0000,9.9898661383439091e-01,49043257.0000,48965274.0000,9.9840991392557799e-01,1.7209000000000000e+04,"Aaa",2.3120000000000001e+01,2062871075.0000,2970536021.4286,2.2000000000000000e+01,3.1137184115523464e-02,2.3460000000000001e+01,3.3147600000000002e+03,"Capital Region COG"
"BARKHAMSTED","JG",2.0050000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",2984029.0000,2922141.0000,5906170.0000,483123.0000,1632532.0000,7417262.0000,9266114.0000,6873943.0000,274050.0000,8702843.0000,0.0000,0.0000,181254.0000,181254.0000,382017.0000,403732.0000,382017.0000,0.0000,2384817.7123,840000.0000,3224817.7123,12485.0000,250000.0000,1666987.0000,1654502.0000,,,7414798.0000,7284004.0000,9.8236040954858106e-01,7689326.0000,7378956.0000,9.5963625420485488e-01,3.7110000000000000e+03,"A2",3.6219999999999999e+01,282123632.0000,405928702.8571,8.0000000000000000e+00,4.1608876560332873e-02,2.6100000000000001e+01,6.3768000000000006e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","BP",2.0050000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",5963820.0000,3389684.0000,9721401.0000,-1355605.0000,3834030.0000,10145767.0000,14538333.0000,10205012.0000,351443.0000,14478449.0000,72398.0000,72398.0000,0.0000,0.0000,132282.0000,-150145.0000,132282.0000,0.0000,14246068.3065,3746531.0000,17992599.3065,0.0000,0.0000,1772230.0000,1772230.0000,,,9879478.0000,9588733.0000,9.7057081355917796e-01,10786420.0000,9842561.0000,9.1249561949191671e-01,5.5960000000000000e+03,"A3",9.7699999999999996e+00,298248232.0000,623924698.3357,3.0000000000000000e+01,4.6526249607041811e-02,3.3000000000000000e+01,1.0438700000000001e+03,"COG of Central Naugatuck Valley"
"BERLIN","BP",2.0050000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",32706871.0000,17007912.0000,49864715.0000,2221668.0000,7519103.0000,44265223.0000,56399617.0000,32170658.0000,2479579.0000,54267876.0000,52115.0000,52115.0000,806560.0000,806560.0000,1377296.0000,-512265.0000,1377296.0000,0.0000,,9545000.0000,9545000.0000,0.0000,650000.0000,6287646.0000,6287646.0000,13097560.0000,4123012.0000,43947848.0000,43580111.0000,9.9163242304833676e-01,44858909.0000,43959498.0000,9.7995022571770529e-01,1.9590000000000000e+04,"Aa3",2.6449999999999999e+01,1594568987.0000,2739970750.8497,4.4000000000000000e+01,4.3323996265172734e-02,2.7430000000000000e+01,3.4256300000000001e+03,"Central CT RPA"
"BETHANY","BP",2.0050000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17632968.0000,2826590.0000,20459558.0000,225418.0000,2223522.0000,12743891.0000,15848542.0000,11227747.0000,675671.0000,15228435.0000,0.0000,0.0000,421494.0000,421494.0000,198613.0000,-174762.0000,198613.0000,0.0000,8810463.1142,5340000.0000,14150463.1142,0.0000,0.0000,2087043.0000,2087043.0000,,,12737870.0000,12598661.0000,9.8907124974583660e-01,12983680.0000,12706324.0000,9.7863810568344256e-01,5.4730000000000000e+03,"A1",2.0960000000000001e+01,492835685.0000,706083835.7143,5.0000000000000000e+00,3.6987670776407862e-02,2.5660000000000000e+01,1.0842600000000000e+03,"South Central Regional COG"
"BETHEL","JG",2.0050000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",40757470.0000,10297570.0000,52202822.0000,2550526.0000,9515534.0000,40092643.0000,51337555.0000,32467895.0000,3297880.0000,50062478.0000,0.0000,0.0000,610500.0000,610500.0000,664577.0000,-46774.0000,664577.0000,0.0000,,28983272.0000,28983272.0000,729114.0000,0.0000,6330445.0000,5601331.0000,9540112.0000,,39755646.0000,39174873.0000,9.8539143345828162e-01,40718619.0000,39711923.0000,9.7527676466630664e-01,1.8760000000000000e+04,"Aa3",1.6789999999999999e+01,1565952490.0000,2875465606.0000,1.2000000000000000e+01,3.5969196093163035e-02,2.5480000000000000e+01,3.2665100000000002e+03,"Housatonic Council of Elected Ofcls"
"BETHLEHEM","JG",2.0050000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",2856497.0000,1366110.0000,4222607.0000,242631.0000,1355848.0000,6510687.0000,8300713.0000,6316674.0000,85050.0000,8266713.0000,28708.0000,28708.0000,251657.0000,251657.0000,-188949.0000,73042.0000,-188949.0000,0.0000,2890171.0844,360000.0000,3250171.0844,0.0000,203000.0000,410562.0000,410562.0000,,,6507078.0000,6389134.0000,9.8187450649892316e-01,6737235.0000,6464722.0000,9.5955121054854109e-01,3.5960000000000000e+03,,1.9359999999999999e+01,340524341.0000,487090255.7143,3.0000000000000000e+00,3.8771399798590130e-02,1.9100000000000001e+01,6.0876999999999998e+02,"COG of Central Naugatuck Valley"
