Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
1886,"ANSONIA",0,"Police Retirement Plan",0,1,0,0,1,0,0,,0,25,0,434928,876000,0,,,,"07/01/07 00:00:00",8063000,6047000,"Appears to be a closed plan",0,2198161,
1887,"ANSONIA",0,"City Employees' Retirement Plan",0,1,1,0,0,0,0,,0,63,0,161321,0,0,,,,"07/01/08 00:00:00",,,,1,410417,
1888,"DURHAM",0,"Retirement Plan For Employees of The Town of Durham",0,0,1,0,0,0,0,,0,39,0,59835,33877,0,,,,"07/01/08 00:00:00",689840,396202,,0,12644,
1889,"BRIDGEPORT",0,"Public Safety Plan A",0,1,0,0,1,1,0,,0,966,0,9621019,8219906,0,,,,"07/01/08 00:00:00",355017000,251075000,,0,-78546158,"***"
1890,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,0,0,0,1,0,0,,0,515,0,3544117,3396479,0,,,,"07/01/08 00:00:00",113453000,104661000,,0,-3770141,
1891,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,0,0,0,0,1,0,,0,348,0,2505264,2434658,0,,,,"07/01/08 00:00:00",69277000,62016000,,0,-1938900,
1892,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,"Janitors and Engineers hired prior to 1985",1,48,1,877018,1031635,0,,,,"07/01/09 00:00:00",9478000,3000,,0,2008082,
1893,"PUTNAM",0,"Town of Putnam Pension Plan",0,0,1,0,0,0,0,,0,216,0,84931,84931,0,,,,"07/01/07 00:00:00",,,"Pension Funding Status Data not provided.",0,0,
1894,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,0,1,0,0,0,0,,0,102,0,195049,192295,0,,,,"07/01/08 00:00:00",2780205,2477434,,0,-19572,
1895,"BROOKLYN",0,"Fire Department Service Award Program For Town of Brooklyn",1,0,0,0,0,1,0,,0,88,0,68581,55000,0,,,,"01/01/08 00:00:00",1085810,132666,,0,335739,
1896,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan",0,0,1,0,0,0,0,,0,22,0,99440,100000,0,,,,"06/30/07 00:00:00",1646251,1463239,,0,163274,
1897,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan- Volunteer Fire Company",1,0,0,0,0,1,0,,0,,0,62008,80000,0,,,,"01/01/07 00:00:00",1163454,705161,,0,741,
1898,"NEW HARTFORD",0,"Town of New Hartford Pension Plan",0,0,1,0,0,0,0,,0,85,0,149846,161834,0,,,,"07/01/07 00:00:00",2399436,1481389,,0,145199,
1899,"WEST HAVEN",0,"City of West Haven Police Pension Fund",0,0,0,0,1,0,0,,0,242,0,1157342,611822,0,,,,"01/01/08 00:00:00",112464527,118784141,,0,-65462461,"***"
1900,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,0,0,0,1,0,0,,0,82,0,773105,806769,0,,,,"07/01/07 00:00:00",18061498,14044381,,0,-188706,
1901,"WARREN",0,"Town of Warren Pension Plan",0,0,1,0,0,0,0,,0,11,0,19673,30000,0,,,,"07/01/08 00:00:00",427824,293641,,0,-114997,
1902,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,1,0,0,0,0,,0,73,0,254732,150000,0,,,,"07/01/08 00:00:00",2062275,2013793,,0,-198097,
1903,"BURLINGTON",0,"Town of Burlington Employees Pension Plan",0,0,1,0,0,0,0,,0,27,0,207200,144638,0,,,,"07/01/08 00:00:00",1950467,828526,,0,202057,
1904,"BURLINGTON",0,"Town of Burlington Constables Plan",0,0,0,0,1,0,0,,0,1,0,36422,26458,0,,,,"07/01/08 00:00:00",490038,398935,,0,9955,
1905,"CLINTON",0,"Board of Education Noncertified Personnel Pension Plan",0,0,0,0,0,0,1,,0,88,0,260878,300000,0,,,,"07/01/07 00:00:00",3991909,2615341,,0,-88387,
1906,"CLINTON",0,"Police Employees' Retirement Plan",0,0,0,0,1,0,0,,0,38,0,516402,459017,0,,,,"07/01/08 00:00:00",11971020,8216786,,0,265543,
1907,"DEEP RIVER",0,"Town of Deep River Employee's Retirement Plan",0,0,1,0,0,0,0,,0,32,0,246683,200743,0,,,,"07/01/07 00:00:00",1260386,768390,,0,989038,
1908,"DEEP RIVER",0,"Firefighters' Merit Plan",1,0,0,0,0,1,0,,0,43,0,15068,45447,0,,,,"07/01/07 00:00:00",401096,304762,,0,-50227,
1909,"DERBY",0,"City of Derby Public Employee Retirement System",0,0,1,0,0,0,0,,0,154,0,489300,489300,0,,,,"07/01/07 00:00:00",9359566,8281124,,0,441656,
1910,"EAST WINDSOR",0,"Town of East Windsor Pension Plan",0,0,1,0,0,0,0,,0,212,0,1154130,937957,0,,,,"07/01/08 00:00:00",13997324,10201533,,0,1866484,
1911,"EASTON",0,"Town of Easton Retirement Plans I and II",0,0,0,1,0,0,1,,0,188,0,362172,254000,0,,,,"07/01/08 00:00:00",12430130,11594133,,0,-197775,
1912,"FAIRFIELD",0,"Town of Fairfield Town Employees Retirement Plan",0,0,0,1,0,0,1,,0,1173,0,0,0,0,,,,"07/01/08 00:00:00",149744000,167983000,,0,-1285000,
1913,"FAIRFIELD",0,"Town of Fairfield Police and Fire Retirement Plan",0,0,0,0,1,1,0,,0,394,0,0,0,0,,,,"07/01/08 00:00:00",143052000,177123000,,0,-2766000,
1914,"GOSHEN",0,"Town of Goshen Pension Plan",0,1,1,0,0,0,0,,0,7,1,34967,14468,0,,,,"07/01/08 00:00:00",146954,24978,,0,211073,
1915,"GUILFORD",0,"Town of Guilford Employees Pension Plan",0,0,0,1,0,1,0,,1,136,0,536992,507963,0,,,,"07/01/08 00:00:00",12977368,11621328,,0,524943,
1916,"GUILFORD",0,"Town of Guilford Police Retirement Fund",0,0,0,0,1,0,0,,0,71,0,449821,575269,0,,,,"07/01/08 00:00:00",14823830,10398065,,0,-625969,
1917,"GUILFORD",0,"Town of Guilford Public School Employees (Non-Certified) Pension Plan",0,0,0,0,0,0,1,,0,220,0,494148,160100,0,,,,"07/01/08 00:00:00",9532740,9655908,,0,1565969,
1918,"HARWINTON",0,"Town of Harwinton Pension Trust",0,0,1,0,0,0,0,,0,19,0,200933,200765,0,,,,"07/01/08 00:00:00",1382125,1229001,"Auditor indicates that the actuarial valuation for 6/30/09 had not been received upon completion of the audit.",0,69981,
1929,"SHERMAN",0,"Town of Sherman Pension Plan",0,0,1,0,0,0,0,,0,32,0,29256,25000,0,,,,"07/01/07 00:00:00",762005,743423,,0,24076,
1930,"BRISTOL",0,"City of Bristol Retirement System",0,0,0,1,0,0,1,,1,1217,0,0,0,0,,,,"07/01/08 00:00:00",143268000,207698000,,0,-1856000,
