Municipality,numbered,Median Home Values - 2016 Estimate,Population_Range,Margin of Error
"NEW CANAAN",9.1000000000000000e+01,1373100.0000,"10,000 to 30,000",122251.0000
"DARIEN",3.5000000000000000e+01,1248200.0000,"10,000 to 30,000",69247.0000
"GREENWICH",5.7000000000000000e+01,1205600.0000,"30,000 to 70,000",40637.0000
"WESTPORT",1.5900000000000000e+02,1087700.0000,"10,000 to 30,000",53428.0000
"WESTON",1.5800000000000000e+02,857700.0000,"0 to 10,000",32830.0000
"WILTON",1.6200000000000000e+02,812100.0000,"10,000 to 30,000",28321.0000
"RIDGEFIELD",1.1900000000000000e+02,673900.0000,"10,000 to 30,000",21110.0000
"ROXBURY",1.2100000000000000e+02,638400.0000,"0 to 10,000",37279.0000
"EASTON",4.7000000000000000e+01,629200.0000,"0 to 10,000",24652.0000
"REDDING",1.1800000000000000e+02,603300.0000,"0 to 10,000",22737.0000
"FAIRFIELD",5.1000000000000000e+01,589500.0000,"30,000 to 70,000",11676.0000
"BRIDGEWATER",1.6000000000000000e+01,505200.0000,"0 to 10,000",52291.0000
"STAMFORD",1.3600000000000000e+02,504200.0000,"70,000 & Up",14242.0000
"LYME",7.6000000000000000e+01,497300.0000,"0 to 10,000",78307.0000
"WOODBRIDGE",1.6800000000000000e+02,484300.0000,"0 to 10,000",21531.0000
"SHERMAN",1.2800000000000000e+02,472000.0000,"0 to 10,000",33863.0000
"WASHINGTON",1.5100000000000000e+02,449500.0000,"0 to 10,000",49096.0000
"MADISON",7.7000000000000000e+01,440600.0000,"10,000 to 30,000",16238.0000
"SALISBURY",1.2300000000000000e+02,433800.0000,"0 to 10,000",82755.0000
"CORNWALL",3.1000000000000000e+01,420100.0000,"0 to 10,000",46284.0000
"NORWALK",1.0400000000000000e+02,416800.0000,"70,000 & Up",10179.0000
"OLD LYME",1.0600000000000000e+02,408100.0000,"0 to 10,000",22255.0000
"NEWTOWN",9.8000000000000000e+01,402200.0000,"10,000 to 30,000",12464.0000
"TRUMBULL",1.4500000000000000e+02,392800.0000,"30,000 to 70,000",7448.0000
"GUILFORD",6.1000000000000000e+01,385500.0000,"10,000 to 30,000",11057.0000
"SHARON",1.2600000000000000e+02,385500.0000,"0 to 10,000",45310.0000
"ORANGE",1.0800000000000000e+02,382300.0000,"10,000 to 30,000",7436.0000
"MONROE",8.6000000000000000e+01,374500.0000,"10,000 to 30,000",13018.0000
"AVON",4.0000000000000000e+00,374300.0000,"10,000 to 30,000",14993.0000
"WESTBROOK",1.5700000000000000e+02,374000.0000,"0 to 10,000",34380.0000
"OLD SAYBROOK",1.0700000000000000e+02,373600.0000,"0 to 10,000",14246.0000
