Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
439,"BRIDGEPORT",0,"Public Safety Plan A",0,1,0,0,0,1,1,0,,0,799,0,,,"***",294737010,119631213,8.0000000000000002e-02,8.0000000000000002e-02,1.4260000000000000e-01,12624000,11600000,,"2014-06-30 00:00:00",1
440,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,1,0,0,0,1,0,0,,0,133,0,,,,85254763,64924654,5.5000000000000000e-02,4.9200000000000001e-02,1.5110000000000001e-01,1852000,0,,"2014-06-30 00:00:00",1
441,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,1,0,0,0,0,1,0,,0,78,0,,,,45551431,39429306,5.5000000000000000e-02,5.1299999999999998e-02,1.6819999999999999e-01,519000,0,,"2014-06-30 00:00:00",1
442,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,0,"Janitors/Engineers hired prior to 1985",1,35,0,,,,8861652,3433,8.0000000000000002e-02,4.2900000000000001e-02,,873000,890000,,"2014-06-30 00:00:00",0
443,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,1,0,0,0,1,0,0,,0,88,0,,,,27009990,21763547,7.0000000000000007e-02,7.0000000000000007e-02,1.1250000000000000e-01,903163,920000,3462045,"2013-07-01 00:00:00",1
444,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,0,0,1,0,0,0,0,,0,111,0,,,,4948383,3899533,7.4999999999999997e-02,7.4999999999999997e-02,1.6700000000000001e-01,310080,251168,2197494,"2013-07-01 00:00:00",0
445,"BROOKLYN",0,"Fire Department Service Award Program For Town of Brooklyn",1,0,0,0,0,0,1,0,,0,87,0,,,,1103643,45351,5.5000000000000000e-02,3.7499999999999999e-02,9.9999999999999995e-07,75544,75544,,"2013-07-01 00:00:00",1
446,"BURLINGTON",0,"Town of Burlington Employees Pension Plan",0,0,0,1,0,0,0,0,,0,26,0,,,,2184205,1711714,7.0000000000000007e-02,7.0000000000000007e-02,1.6760000000000000e-01,170235,251269,1234846,"2013-07-01 00:00:00",0
447,"BURLINGTON",0,"Town of Burlington Constables Plan",0,0,0,0,0,1,0,0,,0,3,0,,,,625795,638817,7.0000000000000007e-02,7.0000000000000007e-02,1.6760000000000000e-01,24310,32075,178078,"2013-07-01 00:00:00",0
448,"DERBY",0,"City of Derby Public Employee Retirement System",0,0,0,1,0,0,0,0,,0,186,0,,,,15757213,13140738,7.4999999999999997e-02,7.4999999999999997e-02,1.6020000000000001e-01,687000,572000,4593192,"2013-07-01 00:00:00",0
