Entity,Plan Name,Record Num,Type of Plan,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
"BRIDGEPORT","Public Safety Plan A",640,0,0,1,0,0,0,1,1,0,,0,740,0,,,"***",351341616,97991000,7.0000000000000007e-02,7.0000000000000007e-02,7.1999999999999998e-03,11408000,11408000,,"2015-06-30 00:00:00",1
"BRIDGEPORT","Police Retirement Plan B - post 6/3/81 employees",641,0,0,1,0,0,0,1,0,0,,0,136,0,,,,103489274,61251485,6.2500000000000000e-02,4.5800000000000000e-02,2.4600000000000000e-02,1333000,0,,"2015-06-30 00:00:00",1
"BRIDGEPORT","Firefighters' Retirement Plan B - post 12/31/83 employees",642,0,0,1,0,0,0,0,1,0,,0,78,0,,,,47570840,38195645,6.2500000000000000e-02,5.3300000000000000e-02,6.7999999999999996e-03,515000,0,,"2015-06-30 00:00:00",1
"BRIDGEPORT","Janitors And Engineers Retirement Fund",643,0,0,1,0,0,0,0,0,0,"Janitors, Engineers",1,35,1,,,,8692592,3433,,3.7999999999999999e-02,,836000,861000,,"2014-07-01 00:00:00",1
"ANSONIA","Police Retirement Plan",644,0,0,1,0,0,0,1,0,0,,0,23,0,,,,4470007,1157478,8.0000000000000002e-02,8.0000000000000002e-02,,315777,400000,0,"2013-07-01 00:00:00",0
"ANSONIA","City Employees' Retirement Plan",645,0,0,1,0,0,1,0,0,0,,0,61,0,,,,3463164,1554745,7.4999999999999997e-02,7.4999999999999997e-02,,326623,866274,1447525,"2013-07-01 00:00:00",0
"BERLIN","Town of Berlin Defined Benefit Plan",646,0,0,1,0,1,0,0,0,0,,0,55,0,,,,5763703,1222240,5.9999999999999998e-02,5.9999999999999998e-02,2.1700000000000001e-02,1001122,1406809,1882367,"2014-07-01 00:00:00",1
"BRANFORD","Branford Police Employees Retirement Plan",647,0,0,1,0,0,0,1,0,0,,0,88,0,"DC Plan established Jan. 2012 for police.",,,28431052,21602660,7.0000000000000007e-02,7.0000000000000007e-02,3.2000000000000002e-03,897106,898000,3462045,"2013-07-01 00:00:00",1
"BRANFORD","Branford Volunteer Fire Plan",648,0,1,0,0,0,0,0,1,0,,0,220,0,,,,1148060,518665,7.0000000000000007e-02,7.0000000000000007e-02,-4.0000000000000002e-04,66924,62000,,"2015-01-01 00:00:00",1
"BROOKLYN","Retirement Plan For Town of Brooklyn",649,0,0,0,0,1,0,0,0,0,,0,112,0,,,,5294262,4048768,7.4999999999999997e-02,7.2499999999999995e-02,3.6200000000000003e-02,310080,256246,2022560,"2014-07-01 00:00:00",0
