Municipality,Mill Rate FY 2017-18,Mill Rate - Real & Personal Property - FY 2017-18,Mill Rate - Motor Vehicle - FY 2017-18,Comments,MFS Unit Comments
"WATERFORD",2.7030000000000001e+01,,,,
"WATERTOWN",3.1879999999999999e+01,,,,
"WEST HARTFORD",,4.1039999999999999e+01,3.2000000000000000e+01,"This is a temporary Mill Rate - MV Bills will not be issued until state budget adoption and final Mill rate set.",
"WEST HAVEN",,3.5259999999999998e+01,3.7000000000000000e+01,"Penalty Waiver Granted due to State Budget delay",
"WESTBROOK",2.4370000000000001e+01,,,,
"WESTON",2.8910000000000000e+01,,,,
"WESTPORT",1.6859999999999999e+01,,,,
"WETHERSFIELD",,3.9770000000000003e+01,,"MR for RE and PP is temporary until state busget set.  MV rate TBD when state busget set.  Amended M1 will be submitted.",
"WILLINGTON",3.0090000000000000e+01,,,,
"WILTON",2.7768500000000000e+01,,,,
"WINCHESTER",3.3539999999999999e+01,,,,
"WINDHAM",3.6649999999999999e+01,,,"Penalty Waiver Granted due to State Budget delay",
"WINDSOR",,,,"Penalty Waiver Granted due to State Budget delay",
"WINDSOR LOCKS",2.6660000000000000e+01,,,,
"WOLCOTT",3.1270000000000000e+01,,,,
"WOODBRIDGE",,3.9439999999999998e+01,3.2000000000000000e+01,,
"WOODBURY",2.7160000000000000e+01,,,,
"WOODSTOCK",2.4300000000000001e+01,,,,
"ANDOVER",3.2500000000000000e+01,,,,
"ANSONIA",3.7320000000000000e+01,,,"Penalty Waiver Req.",
"ASHFORD",,,,"Penalty Waiver Granted due to State Budget delay",
"AVON",3.0590000000000000e+01,,,,
"BARKHAMSTED",2.9370000000000001e+01,,,,
"BEACON FALLS",,3.5899999999999999e+01,3.2000000000000000e+01,,
"BERLIN",3.1609999999999999e+01,,,,
"BETHANY",,3.6899999999999999e+01,3.2000000000000000e+01,,
"BETHEL",,3.2880000000000003e+01,3.2000000000000000e+01,,
"BETHLEHEM",2.5379999999999999e+01,,,,
"BLOOMFIELD",,3.7560000000000002e+01,3.2000000000000000e+01,,
"BOLTON",,3.9740000000000002e+01,3.9000000000000000e+01,"Penalty Waiver Req.",
"BOZRAH",2.8500000000000000e+01,,,,
"BRANFORD",2.8469999999999999e+01,,,,
"BRIDGEPORT",,5.4369999999999997e+01,3.7000000000000000e+01,,
"BRIDGEWATER",1.7199999999999999e+01,,,,
"BRISTOL",,3.6030000000000001e+01,3.2000000000000000e+01,,
"BROOKFIELD",2.7289999999999999e+01,,,,
"BROOKLYN",2.7090000000000000e+01,,,,
"BURLINGTON",3.2000000000000000e+01,,,,
"CANAAN",2.4949999999999999e+01,,,,
"CANTERBURY",,,,"Penalty Waiver Granted due to State Budget delay",
"CANTON",3.0489999999999998e+01,,,,
"CHAPLIN",,3.5049999999999997e+01,3.2000000000000000e+01,"Penalty Waiver Granted due to State Budget delay.  ","2017-18 Budget Database Form used for mill rates"
"CHESHIRE",3.1940000000000001e+01,,,,
"CHESTER",2.6359999999999999e+01,,,,
"CLINTON",2.9910000000000000e+01,,,,
"COLCHESTER",3.2369999999999997e+01,,,"On Hold until State Budget is adopted - Will submit revised M-1 in October 2017",
"COLEBROOK",3.0899999999999999e+01,,,,
"COLUMBIA",2.8879999999999999e+01,,,,
"CORNWALL",1.6120000000000001e+01,,,,
"COVENTRY",3.2000000000000000e+01,,,"Temporary Mill Rate. Collecting for only first installment.  Amended M-1 will be submitted when final mill rate set.",
"CROMWELL",3.1680000000000000e+01,,,,
"DANBURY",2.8949999999999999e+01,,,,
"DARIEN",1.6160000000000000e+01,,,,
"DEEP RIVER",2.8920000000000002e+01,,,,
"DERBY",,3.9369999999999997e+01,3.9000000000000000e+01,"On Hold until State Budget is adopted - Will submit revised M-1 in October 2017",
"DURHAM",,3.9500000000000000e+01,3.2000000000000000e+01,,
"EAST GRANBY",,3.2399999999999999e+01,3.2000000000000000e+01,,
"EAST HADDAM",2.9579999999999998e+01,,,,
"EAST HAMPTON",3.1320000000000000e+01,,,,
"EAST HARTFORD",,4.7049999999999997e+01,3.2000000000000000e+01,,
"EAST HAVEN",3.1550000000000001e+01,,,,
"EAST LYME",2.6160000000000000e+01,,,,
"EAST WINDSOR",,3.2770000000000003e+01,3.2000000000000000e+01,,
"EASTFORD",2.6109999999999999e+01,,,,
"EASTON",,3.3380000000000003e+01,3.2000000000000000e+01,,
"ELLINGTON",3.1699999999999999e+01,,,,
"ENFIELD",3.1430000000000000e+01,,,,
"ESSEX",2.1960000000000001e+01,,,,
"FAIRFIELD",2.5850000000000001e+01,,,,
"FARMINGTON",2.6680000000000000e+01,,,,
"FRANKLIN",,,,"Penalty Waiver Granted due to State Budget delay",
"GLASTONBURY",,3.7450000000000003e+01,3.2000000000000000e+01,,
"GOSHEN",1.9600000000000001e+01,,,,
"GRANBY",,3.7939999999999998e+01,3.2000000000000000e+01,,
"GREENWICH",1.1369000000000000e+01,,,,
"GRISWOLD",2.7609999999999999e+01,,,"Penalty Waiver Req.",
"GROTON",2.3629999999999999e+01,,,,
"GROTON (City of)",5.2199999999999998e+00,,,,
"GUILFORD",2.9359999999999999e+01,,,,
"HADDAM",3.1690000000000001e+01,,,,
"HAMDEN",,4.5259999999999998e+01,3.7000000000000000e+01,"On Hold until State Budget is adopted - Will submit revised M-1 in October 2017",
"HAMPTON",2.8500000000000000e+01,,,,
