Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB45 ValDate,GASB45 AAL,GASB45 AssetValue,Comments,Alternate Method,Plan NOPEBO,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB
333,"NEW LONDON",0,"City of New London OPEB Plan",0,1,0,0,0,0,0,,0,,0,2466842,1158104,0,,,,"2012-07-01 00:00:00",29792794,103726,,0,7106263,,1,1,0,0,
334,"NEWINGTON",0,"Town of Newington OPEB Plan",0,1,0,0,0,0,0,,0,,0,1795000,1916000,0,,,,"2013-07-01 00:00:00",20863000,3398000,,0,125000,,1,1,1,0,
335,"ANDOVER",0,"Town of Andover OPEB Plan",0,1,0,0,0,0,0,,0,,1,57000,21000,0,,,,"2013-07-01 00:00:00",634000,0,,0,187000,,0,1,0,0,
336,"ANSONIA",0,"City of Ansonia OPEB Plan",0,1,0,0,0,0,0,,0,459,1,2963000,1168000,0,,,,"2013-07-01 00:00:00",33468000,0,,0,9247014,,0,1,1,0,
337,"ASHFORD",0,"Town of Ashford Post Retirement Healthcare Plan",0,0,0,0,0,1,0,,0,,1,33796,28696,0,,,,"2011-07-01 00:00:00",116856,0,,0,0,,0,1,0,0,
338,"BEACON FALLS",0,"Town of Beacon Falls OPEB Plan",0,1,0,0,0,0,0,,0,,1,87925,74701,0,,,,"2013-07-01 00:00:00",1195490,0,,0,57584,,0,1,0,0,
339,"BERLIN",0,"Town of Berlin Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,478,1,546000,239000,0,,,,"2012-07-01 00:00:00",5682000,0,,0,916411,,0,1,0,0,
340,"BOLTON",0,"Town of Bolton OPEB Plan",0,1,0,0,0,0,0,,0,,1,219500,70700,0,,,,"2013-07-01 00:00:00",2774700,0,,0,1226545,,0,1,0,0,
341,"BOZRAH",0,"Bozrah Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,131189,7619,0,,,,"2013-06-30 00:00:00",1294662,0,,1,349215,,0,1,0,0,
342,"BRANFORD",0,"Town of Branford Retirement Health Plan",0,1,0,0,0,0,0,,0,711,0,1790500,1964000,0,,,,"2012-07-01 00:00:00",20977792,5856346,,0,-733500,,1,1,0,0,
343,"BRIDGEPORT",0,"City of Bridgeport OPEB Plan",0,1,0,0,0,0,0,,0,7426,1,51062573,28451770,0,,,,"2012-07-01 00:00:00",723711649,0,,0,169984050,,0,1,0,0,
