Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB45 ValDate,GASB45 AAL,GASB45 AssetValue,Comments,Alternate Method,Plan NOPEBO,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB
498,"BRIDGEPORT",0,"City of Bridgeport OPEB Plan",0,1,0,0,0,0,0,,0,7426,1,70570886,33345101,0,,,,"2014-07-01 00:00:00",1003337378,0,,0,208938006,,0,1,0,0,
499,"ANDOVER",0,"Town of Andover OPEB Plan",0,1,0,0,0,0,0,,0,,1,60000,28000,0,,,,"2013-07-01 00:00:00",634000,0,,0,216000,,0,1,0,0,
500,"ANSONIA",0,"City of Ansonia OPEB Plan",0,1,0,0,0,0,0,,0,459,1,2539420,802330,0,,,,"2013-07-01 00:00:00",33468000,0,,0,10969309,,0,1,1,0,
501,"BEACON FALLS",0,"Town of Beacon Falls OPEB Plan",0,1,0,0,0,0,0,,0,,1,88286,84006,0,,,,"2013-07-01 00:00:00",1195490,0,,0,60902,,0,1,0,0,
502,"BERLIN",0,"Town of Berlin Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,447,1,579000,269000,0,,,,"2014-07-01 00:00:00",5468687,0,,0,1221116,,0,1,0,0,
503,"BOLTON",0,"Town of Bolton OPEB Plan",0,1,0,0,0,0,0,,0,,1,222000,79000,0,,,,"2013-07-01 00:00:00",2774700,0,,0,1350390,,0,1,0,0,
504,"BOZRAH",0,"Bozrah Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,133813,7962,0,,,,"2013-06-30 00:00:00",1294662,0,,1,472808,,0,1,0,0,
505,"BRANFORD",0,"Town of Branford Retirement Health Plan",0,1,0,0,0,0,0,,0,715,0,1835900,1808700,0,,,,"2014-07-01 00:00:00",22798733,9510785,,0,-702400,,1,1,0,0,
506,"BROOKLYN",0,"Brooklyn Public Schools OPEB Plan",0,0,0,0,0,1,0,,0,,1,221700,11000,0,,,,"2013-07-01 00:00:00",2374700,0,,0,1694422,,0,1,0,0,
507,"BURLINGTON",0,"Town of Burlington Post-Retirement Medical Insurance Program",0,1,0,0,0,0,0,,0,30,1,69839,18821,0,,,,"2014-07-01 00:00:00",191639,0,,0,109754,,0,1,0,0,
508,"CANAAN",0,"Town of Canaan OPEB Plan",0,0,0,0,0,0,0,"Highway Dept. Employees",1,,1,8592,1655,0,,,,"2014-07-01 00:00:00",101187,0,"Plan was amended in 2014 to cease coverage at such time as eligible retirees become eligible for Medicare.",0,262393,,0,1,0,0,
509,"CHAPLIN",0,"Chaplin Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,88722,18389,0,,,,"2013-06-30 00:00:00",945472,0,,1,406627,,0,1,0,0,
510,"CLINTON",0,"Town of Clinton Post-Retirement Medical Program - Bd. of Ed",0,0,0,0,0,1,1,,0,317,1,702599,237753,0,,,,"2013-07-01 00:00:00",8150872,0,,0,2280774,,0,1,0,0,
511,"CLINTON",0,"Town of Clinton Post-Retirement Medical Program - Town Employees",0,0,1,0,0,0,0,,0,115,1,179500,92000,0,,,,"2014-07-01 00:00:00",2254800,0,,0,442000,,0,1,1,0,
512,"COLEBROOK",0,"Town of Colebrook Volunteer Fire Dept. Tax Abatement Program",1,0,0,0,1,0,0,,0,,1,17215,0,0,,,,"2013-06-30 00:00:00",150389,0,,0,150389,,0,0,0,1,"Real Estate/Motor Vehicle Tax Abatement"
513,"COLUMBIA",0,"Town of Columbia Post-Retirement Medical Insurance Program",0,1,0,0,0,0,0,,0,118,1,60900,22800,0,,,,"2012-07-01 00:00:00",615600,0,,0,237400,,0,1,0,0,
514,"DERBY",0,"City of Derby OPEB Plan",0,1,0,0,0,0,0,,0,383,1,2932000,642507,0,,,,"2014-07-01 00:00:00",25953329,0,,0,13507998,,0,1,1,0,
515,"DURHAM",0,"Town of Durham Medical Benefit Plan",0,1,0,0,0,0,0,,0,31,1,7200,0,0,,,,"2014-07-01 00:00:00",56000,0,,0,47058,,0,1,0,0,
516,"EAST HADDAM",0,"Town of East Haddam Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,182,1,74994,67575,0,,,,"2014-07-01 00:00:00",834457,0,,0,103841,,0,1,0,0,
517,"EAST HAVEN",0,"Town of East Haven Town Post Retirement Healthcare Plan",0,0,1,0,0,1,0,,0,,1,3655355,2014590,0,,,,"2013-07-01 00:00:00",61801009,0,,0,13563277,,0,1,1,0,
518,"EAST HAVEN",0,"Town of East Haven Board of Education Post Retirement Healthcare Plan",0,0,0,0,0,0,1,,0,,1,3699922,2300897,0,,,,"2013-07-01 00:00:00",39118602,0,,0,2693949,,0,1,0,0,
519,"EAST WINDSOR",0,"Town of East Windsor Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,,0,429044,370392,0,,,,"2014-07-01 00:00:00",3472085,455111,,0,614087,,1,1,0,0,
520,"EASTFORD",0,"Eastford Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,58100,0,0,,,,"2014-07-01 00:00:00",490000,0,,0,856621,,0,1,0,0,
521,"EASTON",0,"Town of Easton OPEB Plan",0,1,0,0,0,0,0,,0,184,1,242017,169579,0,,,,"2014-07-01 00:00:00",1850910,0,,0,1546033,,0,1,1,0,
522,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Town",0,0,1,0,0,0,0,,0,547,0,4633000,4777000,0,,,,"2014-07-01 00:00:00",57304000,10881000,,0,6959000,,1,1,1,0,
523,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Police & Fire",0,0,0,1,1,0,0,,0,473,0,4750000,4861000,0,,,,"2014-07-01 00:00:00",65258000,9898000,,0,8757000,,1,1,1,0,
524,"FAIRFIELD",0,"Town of Fairfield OPEB Plan-Board of Education",0,0,0,0,0,1,1,,0,1586,1,1634000,1043000,0,,,,"2014-07-01 00:00:00",29635000,0,,0,4955000,,0,1,0,0,
525,"AVON",0,"Town of Avon OPEB Plan",0,1,0,0,0,0,0,,0,624,0,3023000,2435000,0,,,,"2014-07-01 00:00:00",30661111,3391071,,0,4184868,,1,1,0,0,
526,"BETHANY",0,"Bethany Public Schools OPEB Plan",0,0,0,0,0,1,1,,0,61,1,116800,11200,0,,,,"2013-07-01 00:00:00",1108800,0,,1,1050153,,0,1,0,0,
527,"BETHEL",0,"Town of Bethel OPEB Plan-Town",0,0,1,0,0,0,0,,0,96,1,542163,161536,0,,,,"2013-07-01 00:00:00",7581613,0,,0,1677494,,0,1,1,0,
528,"BETHEL",0,"Town of Bethel OPEB Plan - Police",0,0,0,1,0,0,0,,0,39,1,525634,3699,0,,,,"2013-07-01 00:00:00",5291619,0,,0,2883195,,0,1,1,0,
529,"BETHEL",0,"Town of Bethel OPEB Plan-Board of Education",0,0,0,0,0,1,1,,0,313,1,565304,330468,0,,,,"2013-07-01 00:00:00",4125282,0,,0,681482,,0,1,0,0,
