SwitchboardID,ItemNumber,ItemText,Command,Argument
8,1,"View Property Tax Revenues as a % of Total",4,"Tax Rev as % of Total Rev - 2018"
8,2,"View Property Tax Levy per Capita Rankings",4,"Taxes: 2018 Adjusted Levy per Capita Ranking"
8,3,"View Tax Collection Rates by Municipality",4,"Taxes: 2018 Collection % Data Report"
8,4,"View Current Year Tax Collection % Rankings",4,"Tax Collection: 2018 Current Year Rates by Rank"
1,7,"View Grand List and Tax Exempt Property Data",1,"7"
8,5,"Go Back to Main SwitchBoard",1,"1"
6,6,"View Net OPEB Liability Rankings",4,"NOPEBL: 2018 Per Capita Rank"
6,4,"View Net Pension Liability Rankings",4,"NPL: 2018 Per Capita Rank"
8,0,"Property Tax Information Switchboard",0,
1,8,"View underlying data such as Tables, Queries, Report design",7,"Select and Minimize Switchboard"
1,5,"View Property Tax Information",1,"8"
1,6,"View Debt  from Bonds and Postemployment Benefits",1,"6"
1,0,"Main Switchboard",,"Default"
1,1,"View Individual Town Pages, Statewide Reports, Intergov Rev and School Spending",1,"2"
1,2,"View Bond Ratings, Housing,  Pension and OPEB  Reports",1,"3"
1,3,"View Population, Area, and Mill Rates Reports",1,"4"
1,4,"View Income and Unemployment Data",1,"5"
2,0,"Individual Towns, Statewide Data, Educaton Expenditures and IGR Switchboard",0,
2,1,"View Individual Town Pages:  Andover through Woodstock",4,"Fiscal Indicators 2014-2018 Individual Town Pages"
2,2,"View CT Totals",4,"Totals: 2014-2018 Main Report"
2,3,"View CT Averages",4,"2018 Municipal Averages"
2,4,"View Form of Government",4,"Form of Govt by Types - Main Report"
2,5,"View Education Expenditures per Pupil - 2016 to 2018",4,"NCE per Pupil: FY 2016-18 by Town"
2,6,"View Education Expenditures per Pupil Rankings",4,"NCE per Pupil: 2018 Ranking"
2,7,"View Intergovernmental Revenue as % of Total Revenue",4,"Intergovernmental Rev as % of Total Rev - 2018"
2,8,"Go Back to Main Switchboard",1,"1"
3,0,"Bond Ratings, Housing, Pensions and OPEB Switchboard",0,
3,1,"View Bond Ratings from Moody's, S&&P and Fitch",4,"Ratings for Municipalities and RSDs"
3,2,"View Moody's Bond Ratings by Rating Categories",4,"Moody's Bond by type - Main Report"
3,3,"View Median Home Values",4,"Median Value - Owner Occupied Housing - 2018 ACS"
3,4,"View Types of Pension Plans",4,"Pension Types - 2018 with gridlines"
3,6,"View Funding Status of OPEB Plans",4,"OPEB Status 2018"
3,7,"Go Back to Main Switchboard",1,"1"
4,0,"Population, Area, and Mill Rates  Switchboard",0,
4,1,"View Population as of July 1, 2018",4,"Population - July 2018 by Town"
4,2,"View July 1, 2018 Population Rankings",4,"Population - July 2018 Ranking"
4,3,"View Population Density",4,"Population: 2018 Density by Town"
4,4,"View Population Density Rankings",4,"Population: 2018 Density Ranking"
4,5,"View Land Area in Square Miles Report",4,"Area In Square Miles by county with Total - 2010 Census"
4,6,"View Latest Mill Rates",4,"GL Data: ACMR FYE 2019 and 2020"
4,7,"View Equalized Mill Rates by Rank",4,"GL Data: Equalized Mill Rates for 2018 - Rank"
4,8,"Go Back to Main Switchboard",1,"1"
5,0,"Income and Unemployment Switchboard",0,
5,1,"View Per Capita Income",4,"Per Capita Income by Town - 2018 ACS"
5,2,"View Per Capita Income Rankings",4,"Per Capita Income Sorted - 2018 ACS"
5,3,"View Median Household Income",4,"Median Household Income by Town - 2018 ACS"
5,4,"View Median Household Income Rankings",4,"Median Household Income Sort - 2018 ACS"
5,5,"View Unemployment Comparison -Oct. 2019 vs. Oct. 2018",4,"Unemployment Rates: Months of October 2019 and 2018"
5,6,"View Unemployment Rankings - Calendar Year 2018",4,"Unemployment Rates: 2018 Ranking"
5,7,"Go Back to Main Switchboard",1,"1"
6,0,"Debt Information Switchboard",0,
6,7,"Go Back to Main Switchboard",1,"1"
7,0,"Grand List and and Tax Exempt Property Switchboard",0,
7,1,"View Net Grand Lists",4,"GL Data: Net Grand List for 2018 and 2017 List Years"
7,2,"View Grand List Components",4,"GL Data: grlst2017 component report"
7,3,"View Equalized Net Grand Lists",4,"GL Data: ENGL for 2017 and 2016 List Years"
7,4,"View Equalized Net Grand List per Capita Rankings",4,"GL Data: ENGL per Capita by Rank for FYE 2018"
7,5,"View Revaluation Dates",4,"Revaluation Dates by Town - 2019 GL Year"
7,6,"View Tax Exempt Property by Municipality",4,"Tax Exempt Property - 2018 Grand List Assessed Valuation"
7,7,"Go Back to Main Switchboard",1,"1"
6,5,"View Bonded Debt to Grand List Ratios",4,"Debt to Grand Lists Ratios FYE2018"
6,2,"View Debt per Capita  Rankings",4,"Per Capita Debt Rank - BondsPensionsOPEB - FYE 2018"
6,3,"View Bonded Debt per Capita Rankings",4,"Bonded Debt: 2018 Per Capita Rank"
3,5,"View Funding Status of DB Pension Plans",4,"Pension DB Plan Report 2018 - for FI"
6,1,"View Debt per Capita by Town",4,"Per Capita Debt - Bonds and Pensions and OPEB - FYE 2018"
