Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,ADEC-GASB75,emplyr contrib made GASB75,GASB75 ValDate,GASB75 TOPEBL,GASB75 NetPosition,Investment Rate of Return GASB75,Discount Rate GASB75,Money Weight of Return GASB75,Entry Age Method GASB75,Covered Payroll GASB75,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB,Comments,Closed,Alternative Method,CurYr HealthCare TrendRate,Projected Healthcare TrendRate
1,"BRIDGEPORT",0,"City of Bridgeport OPEB Plan",0,1,0,0,0,0,0,,0,6887,1,83170106,27190667,"2016-07-01 00:00:00",942079091,100000,2.8500000000000001e-02,3.8699999999999998e-02,0.0000000000000000e+00,1,245409264,,1,1,0,0,,"Although an OPEB Trust was formed, the Trust has minimal net position as of 6/30/18.  Therefore, deemed Pay-As-You-Go",0,0,9.6000000000000002e-02,4.0000000000000001e-02
7,"NEW BRITAIN",0,"The City of New Britain OPEB Plan",0,1,0,0,0,0,0,,0,2344,0,4784000,5349000,"2016-07-01 00:00:00",57258000,6125000,6.5000000000000002e-02,6.5000000000000002e-02,5.3600000000000002e-02,1,129000000,,1,1,0,0,,,0,0,5.1999999999999998e-02,2.9999999999999999e-02
8,"HARTFORD",0,"Hartford OPEB Plan - City Employees",0,1,0,0,0,0,0,,0,2599,0,27025000,18156000,"2017-07-01 00:00:00",404184000,2381000,3.8699999999999998e-02,3.8699999999999998e-02,0.0000000000000000e+00,1,90726000,,1,1,1,0,,"see pg. 107 for healtcare trend rate",0,0,7.0000000000000007e-02,4.7500000000000001e-02
9,"HARTFORD",0,"Hartford OPEB Plan - Bd. of Ed Employees",0,0,0,0,0,1,1,,0,3241,0,1973000,1853000,"2017-07-01 00:00:00",40284000,18824000,7.4999999999999997e-02,7.4999999999999997e-02,3.6400000000000002e-02,1,197486000,,1,1,1,0,,"see pg. 108 for healtcare trend rate",0,0,7.0000000000000007e-02,4.7500000000000001e-02
10,"SOUTH WINDSOR",0,"Town of South Windsor OPEB Plan",0,1,0,0,0,0,0,,0,820,0,880974,915326,"2017-07-01 00:00:00",9246640,2382111,6.7500000000000004e-02,6.7500000000000004e-02,1.1500000000000000e-02,1,53602318,,1,1,0,0,,,0,0,5.4800000000000001e-02,4.4999999999999998e-02
11,"WINCHESTER",0,"Town of Winchester OPEB Plan",0,1,0,0,0,0,0,,0,142,1,,,"2018-06-30 00:00:00",3598010,0,,3.8699999999999998e-02,,1,,,0,1,0,0,,,0,0,6.7500000000000004e-02,3.7499999999999999e-02
12,"EAST HADDAM",0,"Town of East Haddam Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,146,1,,,"2018-06-30 00:00:00",1198402,0,,3.8699999999999998e-02,,1,12408419,,0,1,0,0,,,0,0,8.5000000000000006e-02,5.0000000000000003e-02
13,"EAST HAVEN",0,"Town of East Haven Town Post Retirement Healthcare Plan",0,1,0,0,0,0,0,,0,405,1,,,"2017-07-01 00:00:00",64486230,0,3.5799999999999998e-02,3.5799999999999998e-02,,1,,,0,1,1,0,,,0,0,7.0000000000000007e-02,4.4999999999999998e-02
14,"EAST HAVEN",0,"Town of East Haven Board of Education Post Retirement Healthcare Plan",0,0,0,0,0,1,1,,0,530,1,,,"2017-07-01 00:00:00",32050065,0,3.5799999999999998e-02,3.5799999999999998e-02,,1,,,0,1,0,0,,,0,0,7.0000000000000007e-02,4.4999999999999998e-02
15,"EAST WINDSOR",0,"Town of East Windsor Post-Retirement Medical Program",0,1,0,0,0,0,0,,0,187,0,337621,348860,"2016-07-01 00:00:00",4244593,1045922,6.5000000000000002e-02,6.5000000000000002e-02,8.5500000000000007e-02,0,10831000,,1,1,0,0,,,0,0,5.3400000000000003e-02,4.3999999999999997e-02
