Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
1280,"BRIDGEPORT",0,"Public Safety Plan A",0,1,0,0,0,1,1,0,,0,650,0,,,,298311407,63271230,6.7500000000000004e-02,6.7500000000000004e-02,9.4200000000000006e-02,15596475,15600000,,"2018-06-30 00:00:00",0
1281,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,1,0,0,0,1,0,0,,0,136,0,,,,78083167,63394911,6.2500000000000000e-02,6.2500000000000000e-02,9.0700000000000003e-02,1611277,1850000,,"2018-06-30 00:00:00",0
1282,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,1,0,0,0,0,1,0,,0,75,0,,,,36273892,37322926,6.2500000000000000e-02,6.2500000000000000e-02,6.4199999999999993e-02,56129,180000,,"2018-06-30 00:00:00",0
1283,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,0,"Janitors and Engineers hired before 1985",1,24,1,,,,6395852,3433,3.8699999999999998e-02,3.8699999999999998e-02,,750996,632714,,"2018-06-30 00:00:00",0
1284,"NEW BRITAIN",0,"New Britain Policemen's Pension Fund",0,1,0,0,0,1,0,0,,0,249,0,"We enter 3 DB plans for New Britain.  There will only be information in the database for the police and fire plans.",,,89923000,64261000,7.4999999999999997e-02,7.1700000000000000e-02,1.0000000000000001e-01,1913000,1419000,2894000,"2016-07-01 00:00:00",1
1285,"NEW BRITAIN",0,"New Britain Firemen's Pension Fund",0,1,0,0,0,0,1,0,,0,213,0,,,,106993000,77503000,7.4999999999999997e-02,6.8699999999999997e-02,8.0500000000000002e-02,2035000,1459000,3083000,"2016-07-01 00:00:00",1
1286,"HARTFORD",0,"City MERF",0,0,0,1,0,0,0,0,,0,5389,0,,,,1453091000,1043875000,7.4999999999999997e-02,7.4999999999999997e-02,5.9700000000000003e-02,44574000,44574000,141067000,"2017-07-01 00:00:00",1
1287,"HARTFORD",0,"RAF/PBF/FRF pre 5/1/1947 PLAN",0,1,0,1,0,0,0,0,,0,47,1,,,,1930000,0,3.8699999999999998e-02,3.8699999999999998e-02,0.0000000000000000e+00,452000,452000,,"2017-07-01 00:00:00",1
1288,"SOUTH WINDSOR",0,"South Windsor Town Plan",0,0,0,1,0,0,0,0,,0,179,0,,,,43109556,28680868,6.7500000000000004e-02,6.7500000000000004e-02,8.2699999999999996e-02,1956477,1956477,5948630,"2017-07-01 00:00:00",1
1289,"SOUTH WINDSOR",0,"South Windsor Board of Education Plan",0,0,0,0,0,0,0,1,,0,159,0,,,,16385700,14337679,6.7500000000000004e-02,6.7500000000000004e-02,8.3099999999999993e-02,603433,603433,3182800,"2017-07-01 00:00:00",1
1290,"WINCHESTER",0,"Town of Winchester Employees' Retirement Plan",0,1,0,1,0,0,0,0,,0,98,0,,,,12591775,8656021,7.2499999999999995e-02,7.2499999999999995e-02,6.9800000000000001e-02,532614,739680,1830753,"2017-01-01 00:00:00",1
1291,"EAST HADDAM",0,"East Haddam Volunteer Fire Plan",1,1,0,0,0,0,1,0,,0,53,0,,,,694361,640383,5.5000000000000000e-02,5.5000000000000000e-02,7.9000000000000001e-02,22767,59739,,"2017-07-01 00:00:00",1
1292,"EAST WINDSOR",0,"Town of East Windsor Pension Plan",0,0,0,1,0,0,0,0,,0,374,0,,,,32742756,26307166,6.5000000000000002e-02,6.5000000000000002e-02,9.6799999999999997e-02,1228568,1228568,7839918,"2017-07-01 00:00:00",0
1293,"EAST HARTFORD",0,"East Hartford Employees' Retirement Plan",0,0,0,1,0,0,0,0,,0,1310,0,,,,437933000,234044000,7.6499999999999999e-02,7.6499999999999999e-02,6.9900000000000004e-02,13707000,13707000,38498000,"2017-07-01 00:00:00",1
1294,"EASTON",0,"Town of Easton Retirement Plans I and II",0,1,0,0,1,0,0,1,,0,167,0,,,,21005362,18932780,7.0000000000000007e-02,7.0000000000000007e-02,8.1100000000000005e-02,496700,510000,3324386,"2017-07-01 00:00:00",1
1295,"FAIRFIELD",0,"Town of Fairfield Town Employees Retirement Plan",0,1,0,1,0,0,0,0,,0,1083,0,,,,236234000,201355000,7.0000000000000007e-02,7.0000000000000007e-02,8.5099999999999995e-02,4815000,4890000,29833000,"2017-07-01 00:00:00",1
1296,"FAIRFIELD",0,"Town of Fairfield Police and Fire Retirement Plan",0,1,0,0,0,1,1,0,,0,417,0,,,,209626000,185204000,7.0000000000000007e-02,7.0000000000000007e-02,8.5400000000000004e-02,4284000,4280000,16396000,"2017-07-01 00:00:00",1
1297,"HARWINTON",0,"Town of Harwinton Pension Trust",0,1,0,1,0,0,0,0,,0,19,0,,,,4131618,3686209,5.5000000000000000e-02,5.5000000000000000e-02,8.9099999999999999e-02,184960,125000,824448,"2017-07-01 00:00:00",0
1298,"GUILFORD",0,"Town of Guilford Employees Pension Plan",0,0,0,0,1,0,0,0,,0,140,0,,,,29561775,25124277,6.5000000000000002e-02,6.7500000000000004e-02,5.0700000000000002e-02,1123550,949847,5606594,"2017-07-01 00:00:00",1
1299,"GUILFORD",0,"Town of Guilford Police Retirement Fund",0,1,0,0,0,1,0,0,,0,73,0,,,,27399430,22668166,6.5000000000000002e-02,6.7500000000000004e-02,5.0700000000000002e-02,797029,670238,2344354,"2017-07-01 00:00:00",1
1300,"GUILFORD",0,"Town of Guilford Public School Employees (Non-Certified) Pension Plan",0,0,0,0,0,0,0,1,,0,194,0,,,,16923171,13524959,6.5000000000000002e-02,6.7540000000000003e-02,5.0700000000000002e-02,959690,1406714,4709202,"2017-07-01 00:00:00",1
1301,"GUILFORD",0,"Guilford Volunteer Fire Dept. Plan",1,0,0,0,0,0,1,0,,0,103,1,,,,2718285,0,,2.9999999999999999e-02,,,,,"2016-07-01 00:00:00",0
1302,"MADISON",0,"Retirement Plan For The Employees of The Town of Madison",0,0,0,1,0,0,0,0,,0,377,0,,,,25992878,18865295,7.0000000000000007e-02,7.0000000000000007e-02,7.4499999999999997e-02,1030611,1030611,7593574,"2017-07-01 00:00:00",1
1303,"MADISON",0,"Town of Madison Police Department Retirement Plan",0,0,0,0,0,1,0,0,,0,64,0,,,,18828096,13792852,7.0000000000000007e-02,7.0000000000000007e-02,7.4600000000000000e-02,586962,586962,1634080,"2017-07-01 00:00:00",1
1304,"MADISON",0,"Volunteer Fire Dept. Supplemental Retirement Program",1,0,0,0,0,0,1,0,,0,104,0,,,,1872167,1501886,6.7500000000000004e-02,6.7500000000000004e-02,4.9599999999999998e-02,85475,97342,,"2017-07-01 00:00:00",1
1305,"MANCHESTER",0,"Town of Manchester Retirement Plan",0,0,0,1,0,0,0,0,,0,1337,0,,,,227815000,169510000,7.1249999999999994e-02,7.1249999999999994e-02,7.2099999999999997e-02,6100000,6100000,33760000,"2017-07-01 00:00:00",1
1306,"GOSHEN",0,"Town of Goshen Pension Plan",0,1,0,1,0,0,0,0,,0,3,1,,,,73065,0,,3.5000000000000003e-02,,9362,9362,0,"2018-07-01 00:00:00",0
1307,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan",0,1,0,1,0,0,0,0,,0,20,0,,,,2599722,2164574,6.5000000000000002e-02,6.5000000000000002e-02,4.6100000000000002e-02,112425,112425,598381,"2017-07-01 00:00:00",1
1308,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan- Volunteer Fire Company",1,0,0,0,0,0,1,0,,0,95,0,,,,2094107,1214489,6.5000000000000002e-02,6.5000000000000002e-02,4.7899999999999998e-02,111334,111334,,"2017-07-01 00:00:00",1
1309,"HAMDEN",0,"Retirement Plan of The Town of Hamden",0,1,0,1,0,0,0,0,,0,1121,0,,,,457739253,164594990,7.0000000000000007e-02,7.0000000000000007e-02,7.7300000000000008e-02,21974384,12650000,26088216,"2018-07-01 00:00:00",1
1310,"AVON",0,"Retirement Plan for Town Employees",0,1,0,1,0,0,0,0,,0,96,0,,,,42089680,18526589,6.7500000000000004e-02,6.7500000000000004e-02,8.6199999999999999e-02,2965142,2974142,968415,"2017-07-01 00:00:00",1
1311,"AVON",0,"Retirement Plan For Board of Education of Town of Avon",0,1,0,0,0,0,0,1,,0,209,0,,,,13173250,10834313,6.7500000000000004e-02,6.7500000000000004e-02,8.6699999999999999e-02,622289,622289,4885541,"2017-07-01 00:00:00",1
1312,"BLOOMFIELD",0,"The Town of Bloomfield Retirement Income Plan",0,1,0,1,0,0,0,0,,0,406,0,"Plan closed per e-mail from Jim Wren to Bill Plummer on 3/31/17.",,,68223265,50917954,6.7500000000000004e-02,6.7500000000000004e-02,7.7800000000000008e-02,2930717,2930717,10402954,"2017-01-01 00:00:00",0
1313,"BLOOMFIELD",0,"The Town of Bloomfield Police Retirement Income Plan",0,1,0,0,0,1,0,0,,0,86,0,"Plan closed per e-mail from Jim Wren to Bill Plummer on 3/31/17.",,,45077530,27926917,6.7500000000000004e-02,6.7500000000000004e-02,7.9299999999999995e-02,2092998,2093000,1119348,"2017-01-01 00:00:00",0
1314,"BRISTOL",0,"City of Bristol Retirement System",0,0,0,1,0,0,0,0,,0,1816,0,"Per bottom of p. 61, effective 6/29/18 the City combined the City, Police and Fire Funds into one General Retirement System.",,,436636099,647171556,7.2999999999999995e-02,7.2999999999999995e-02,8.8100000000000012e-02,2617369,2617369,48452620,"2017-07-01 00:00:00",1
