MUNICIPALITY,Median Home Values - 2018 Estimate,Margin of Error
"MANCHESTER",184300.0000,4124.0000
"MANSFIELD",240000.0000,12450.0000
"MARLBOROUGH",314300.0000,21844.0000
"MERIDEN",172200.0000,2917.0000
"MIDDLEBURY",344800.0000,14160.0000
"MIDDLEFIELD",280400.0000,15849.0000
"MIDDLETOWN",227000.0000,6099.0000
"MILFORD",307300.0000,6222.0000
"MONROE",362400.0000,14101.0000
"MONTVILLE",195100.0000,8814.0000
"MORRIS",324900.0000,17651.0000
"NAUGATUCK",182300.0000,6051.0000
"NEW BRITAIN",159300.0000,2551.0000
"NEW CANAAN",1420000.0000,82320.0000
"NEW FAIRFIELD",352200.0000,12212.0000
"NEW HARTFORD",295800.0000,18603.0000
"NEW HAVEN",196600.0000,5993.0000
"NEW LONDON",181300.0000,9106.0000
"NEW MILFORD",290700.0000,9007.0000
"NEWINGTON",232700.0000,5490.0000
"NEWTOWN",403800.0000,11824.0000
"NORFOLK",349300.0000,42284.0000
"NORTH BRANFORD",282300.0000,10649.0000
"NORTH CANAAN",188900.0000,15375.0000
"NORTH HAVEN",299500.0000,9940.0000
"NORTH STONINGTON",283500.0000,25555.0000
"NORWALK",427300.0000,8634.0000
"NORWICH",162900.0000,4312.0000
"OLD LYME",401000.0000,19524.0000
"OLD SAYBROOK",381900.0000,13530.0000
"ORANGE",389800.0000,9097.0000
"OXFORD",345400.0000,12695.0000
"PLAINFIELD",173700.0000,6365.0000
"PLAINVILLE",212300.0000,10830.0000
"PLYMOUTH",196500.0000,7824.0000
"POMFRET",269600.0000,14803.0000
"PORTLAND",245800.0000,11775.0000
"PRESTON",246900.0000,16632.0000
"PROSPECT",297000.0000,15562.0000
"PUTNAM",187800.0000,7864.0000
"REDDING",593000.0000,20112.0000
"RIDGEFIELD",655900.0000,20367.0000
"ROCKY HILL",263000.0000,7760.0000
"ROXBURY",629300.0000,51239.0000
"SALEM",274300.0000,14528.0000
"SALISBURY",472800.0000,83354.0000
"SCOTLAND",234700.0000,17811.0000
"SEYMOUR",246600.0000,12083.0000
"SHARON",389600.0000,42470.0000
"SHELTON",345200.0000,5311.0000
"SHERMAN",457100.0000,28646.0000
"SIMSBURY",329500.0000,7317.0000
"SOMERS",317100.0000,14412.0000
"SOUTH WINDSOR",282200.0000,6755.0000
"SOUTHBURY",326400.0000,11335.0000
"SOUTHINGTON",275700.0000,6102.0000
"SPRAGUE",219400.0000,24939.0000
"STAFFORD",197000.0000,9610.0000
"STAMFORD",526700.0000,12213.0000
"STERLING",198500.0000,15034.0000
"STONINGTON",316200.0000,16293.0000
"STRATFORD",255600.0000,5155.0000
"SUFFIELD",296600.0000,10900.0000
"THOMASTON",205000.0000,16381.0000
"THOMPSON",203900.0000,15036.0000
"TOLLAND",298100.0000,16979.0000
"TORRINGTON",155700.0000,3607.0000
"TRUMBULL",396900.0000,7443.0000
"UNION",278900.0000,18919.0000
"VERNON",203800.0000,7324.0000
"VOLUNTOWN",227900.0000,16496.0000
"WALLINGFORD",270000.0000,5720.0000
"WARREN",377900.0000,20006.0000
"WASHINGTON",421300.0000,57758.0000
"WATERBURY",128800.0000,3068.0000
"WATERFORD",253600.0000,9875.0000
"WATERTOWN",244600.0000,9228.0000
"WEST HARTFORD",329000.0000,5859.0000
"WEST HAVEN",194400.0000,4692.0000
"WESTBROOK",365800.0000,24603.0000
"WESTON",878400.0000,32007.0000
"WESTPORT",1167500.0000,48496.0000
"WETHERSFIELD",249300.0000,6836.0000
"WILLINGTON",223700.0000,22838.0000
"WILTON",798700.0000,25476.0000
"WINCHESTER",164100.0000,8260.0000
"WINDHAM",155900.0000,6414.0000
"WINDSOR",220300.0000,5879.0000
"WINDSOR LOCKS",191300.0000,4532.0000
"WOLCOTT",249600.0000,10290.0000
"WOODBRIDGE",471400.0000,16177.0000
"WOODBURY",353500.0000,20180.0000
"WOODSTOCK",256800.0000,14750.0000
