MUNICIPALITY,Median Home Values - 2018 Estimate,Margin of Error
"ANDOVER",273300.0000,14364.0000
"ANSONIA",211100.0000,12288.0000
"ASHFORD",235400.0000,22779.0000
"AVON",385100.0000,15747.0000
"BARKHAMSTED",258500.0000,17015.0000
"BEACON FALLS",253300.0000,20844.0000
"BERLIN",284300.0000,7058.0000
"BETHANY",352700.0000,22683.0000
"BETHEL",338800.0000,6794.0000
"BETHLEHEM",329600.0000,20359.0000
"BLOOMFIELD",216800.0000,7169.0000
"BOLTON",287100.0000,13711.0000
"BOZRAH",229500.0000,18954.0000
"BRANFORD",293900.0000,11398.0000
"BRIDGEPORT",173100.0000,3420.0000
"BRIDGEWATER",480300.0000,29221.0000
"BRISTOL",195900.0000,4807.0000
"BROOKFIELD",373800.0000,15302.0000
"BROOKLYN",227800.0000,11673.0000
"BURLINGTON",333200.0000,18663.0000
"CANAAN",319800.0000,40702.0000
"CANTERBURY",221000.0000,15237.0000
"CANTON",311800.0000,19506.0000
"CHAPLIN",202000.0000,15811.0000
"CHESHIRE",332600.0000,9128.0000
"CHESTER",346800.0000,19128.0000
"CLINTON",287700.0000,8363.0000
"COLCHESTER",253300.0000,11385.0000
"COLEBROOK",242700.0000,26763.0000
"COLUMBIA",258400.0000,17895.0000
"CORNWALL",425400.0000,49607.0000
"COVENTRY",241600.0000,17372.0000
"CROMWELL",245600.0000,12783.0000
"DANBURY",296600.0000,7722.0000
"DARIEN",1461100.0000,92202.0000
"DEEP RIVER",271200.0000,12589.0000
"DERBY",201500.0000,14636.0000
"DURHAM",331300.0000,22084.0000
"EAST GRANBY",278500.0000,12228.0000
"EAST HADDAM",278700.0000,13883.0000
"EAST HAMPTON",268100.0000,10202.0000
"EAST HARTFORD",162000.0000,2427.0000
"EAST HAVEN",212900.0000,6417.0000
"EAST LYME",313900.0000,11553.0000
"EAST WINDSOR",214600.0000,12565.0000
"EASTFORD",254100.0000,11285.0000
"EASTON",641900.0000,25633.0000
"ELLINGTON",266600.0000,14905.0000
"ENFIELD",185700.0000,2317.0000
"ESSEX",371300.0000,30891.0000
"FAIRFIELD",603100.0000,12212.0000
"FARMINGTON",330400.0000,9468.0000
"FRANKLIN",246100.0000,11603.0000
"GLASTONBURY",348600.0000,7611.0000
"GOSHEN",346500.0000,25420.0000
"GRANBY",296600.0000,13135.0000
"GREENWICH",1278000.0000,76511.0000
"GRISWOLD",185000.0000,17951.0000
"GROTON",237000.0000,8799.0000
"GROTON (City of)",,
"GUILFORD",393700.0000,11616.0000
"HADDAM",310400.0000,24205.0000
"HAMDEN",226400.0000,4983.0000
"HAMPTON",226500.0000,13491.0000
"HARTFORD",162800.0000,3291.0000
"HARTLAND",266600.0000,10728.0000
"HARWINTON",294400.0000,12946.0000
"HEBRON",294900.0000,16721.0000
"KENT",367600.0000,35416.0000
"KILLINGLY",187000.0000,8155.0000
"KILLINGWORTH",365400.0000,17327.0000
"LEBANON",245600.0000,16054.0000
"LEDYARD",231800.0000,8185.0000
"LISBON",224900.0000,11279.0000
"LITCHFIELD",301300.0000,16316.0000
"LYME",555000.0000,64943.0000
"MADISON",423300.0000,17960.0000
