Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,Teachers,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB45 ValDate,GASB45 AAL,GASB45 AssetValue,Comments,Alternate Method,Plan NOPEBO,footnotes,Trust or Equivalent,Healthcare,Insurance,Other OPEB,DesriptionOtherOPEB
876,"PRESTON",0,"Town of Preston OPEB Plan - Public Schools",0,0,0,0,0,1,0,,0,49,1,158000,12300,0,,,,"2014-07-01 00:00:00",2355000,0,,0,783300,,0,1,0,0,
877,"STRATFORD",0,"Stratford OBEP Plan",0,1,0,0,0,0,0,,0,2140,0,21050753,8496506,0,,,,"2016-07-01 00:00:00",250657000,3784000,,0,80741308,,1,1,1,0,
878,"SEYMOUR",0,"Town of Seymour Medical Benefit Plan",0,1,0,0,0,0,0,,0,382,1,3001124,1312236,0,,,,"2015-07-01 00:00:00",36935842,0,,0,13145434,,0,1,1,0,
879,"SIMSBURY",0,"Town of Simsbury OPEB Plan",0,1,0,0,0,0,0,,0,915,0,1073307,1310930,0,,,,"2015-07-01 00:00:00",18371550,12285779,,0,-5099130,,1,1,1,0,
880,"SALEM",0,"Town of Salem Public Schools OPEB Program",0,0,0,0,0,1,0,,0,,1,199263,13754,0,,,,"2016-06-30 00:00:00",1811113,0,,1,1314253,,0,1,0,0,
881,"PLYMOUTH",0,"Town of Plymouth OPEB Plan",0,1,0,0,0,0,0,,0,367,1,1618115,1033246,0,,,,"2014-07-01 00:00:00",21188903,0,,0,4178523,,0,1,0,0,
882,"BROOKLYN",0,"Brooklyn Public Schools OPEB Plan",0,0,0,0,0,1,0,,0,,1,161563,18000,0,,,,"2016-07-01 00:00:00",1723405,0,,0,1992887,,0,1,0,0,
883,"ANDOVER",0,"Town of Andover OPEB Plan",0,0,0,0,0,1,1,,0,,1,64000,22000,0,,,,"2016-07-01 00:00:00",533936,0,,0,283000,,0,1,0,0,
884,"SOUTH WINDSOR",0,"Town of South Windsor OPEB Plan",0,1,0,0,0,0,0,,0,914,0,880974,880974,0,,,,"2015-07-01 00:00:00",9573000,1448000,,0,-45077,,1,1,0,0,
885,"WATERTOWN",0,"Town of Watertown OPEB Plan",0,1,0,0,0,0,0,,0,,1,3234809,1906242,0,,,,"2016-07-01 00:00:00",56047433,1409,,0,19670927,,1,1,1,0,
886,"WEST HAVEN",0,"City of West Haven OPEB Plan",0,1,0,0,0,0,0,,0,1479,1,,7056148,0,,,,"2015-07-01 00:00:00",164262272,0,"EARLY IMPLEMENTATION",0,,,0,1,1,0,
887,"WEST HAVEN",0,"City of West Haven Allingtown Fire District Plan",0,0,0,0,1,0,0,,0,71,1,,703461,0,,,,"2015-07-01 00:00:00",25525553,0,"EARLY IMPLEMENTATION",0,,,0,1,1,0,
888,"WESTON",0,"Town of Weston OPEB Plan",0,1,0,0,0,0,0,,0,542,0,775000,557609,0,,,,"2015-07-01 00:00:00",10916000,6964000,,0,1159564,,1,1,1,0,
