Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,MERS Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,Comments,Plan NPO,footnotes,Total Pension Liability-GASB6768,Plan Fiduciary Net Position-GASB6768,Investment Rate of Return-GASB6768,Discount Rate-GASB6768,Money-Weighted Rate of Return-GASB6768,Emplyr Required ADC-GASB67,Emplyr Contribution-GASB67,Covered Employee Payroll-GASB6768,Valuation Date--GASB6768,Entry Age Method
851,"HARTFORD",0,"City MERF",0,0,0,1,0,0,0,0,,0,5509,0,,,,1389617000,999613000,7.7499999999999999e-02,7.7499999999999999e-02,8.6000000000000000e-03,43891000,43891000,151305000,"2015-07-01 00:00:00",1
852,"HARTFORD",0,"RAF/PBF/FRF pre 5/1/1947 PLAN",0,1,0,1,0,0,0,0,,0,87,1,,,,4851000,0,3.7999999999999999e-02,2.5999999999999999e-02,,659000,659000,,"2014-07-01 00:00:00",0
853,"WEST HAVEN",0,"City of West Haven Police Pension Fund",0,1,0,0,0,1,0,0,,0,242,0,,,,137450796,108976135,7.3749999999999996e-02,7.3749999999999996e-02,-1.8700000000000001e-02,1848528,1850000,7160460,"2014-01-01 00:00:00",1
854,"WEST HAVEN",0,"City of West Haven Allingtown Fire District Plan",0,1,0,0,0,0,1,0,,0,49,0,,,,28283670,5735212,6.7500000000000004e-02,6.7500000000000004e-02,1.2900000000000000e-02,1597526,1559866,1678136,"2015-07-01 00:00:00",1
855,"ANSONIA",0,"City Employees' Retirement Plan",0,1,0,1,0,0,0,0,,0,61,0,,,,4731927,1687486,7.4999999999999997e-02,7.4999999999999997e-02,,327571,356918,1316677,"2015-07-01 00:00:00",0
856,"ANSONIA",0,"Police Retirement Plan",0,1,0,0,0,1,0,0,,0,23,0,,,,4589521,970826,8.0000000000000002e-02,8.0000000000000002e-02,,315777,315777,,"2015-07-01 00:00:00",0
857,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,0,1,0,0,0,0,,0,47,0,,,,6055118,366175,5.0000000000000003e-02,5.0000000000000003e-02,2.4600000000000000e-02,918862,700537,1585622,"2015-07-01 00:00:00",1
858,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,1,0,0,0,1,0,0,,0,84,0,,,,29788646,21379414,7.0000000000000007e-02,7.0000000000000007e-02,6.6000000000000000e-03,897106,910500,3576246,"2015-07-01 00:00:00",1
859,"BRANFORD",0,"Branford Volunteer Fire Plan",1,0,0,0,0,0,1,0,,0,220,0,,,,1203868,826379,7.0000000000000007e-02,7.0000000000000007e-02,4.4000000000000003e-03,86184,348000,,"2015-07-01 00:00:00",1
860,"BRIDGEPORT",0,"Public Safety Plan A",0,1,0,0,0,1,1,0,,0,711,0,,,"***",327252219,76643488,7.0000000000000007e-02,7.0000000000000007e-02,-5.5199999999999999e-02,15488000,15488000,,"2016-06-30 00:00:00",0
861,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,1,0,0,0,1,0,0,,0,134,0,,,,120239065,56525923,6.2500000000000000e-02,3.5700000000000003e-02,7.3000000000000001e-03,2002000,0,,"2016-06-30 00:00:00",0
862,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,1,0,0,0,0,1,0,,0,78,0,,,,45528031,35702782,6.2500000000000000e-02,4.9599999999999998e-02,-7.7000000000000002e-03,310000,0,,"2016-06-30 00:00:00",0
863,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,0,"Janitors/Engineers",1,30,1,,,,9365998,3433,,2.8500000000000001e-02,,818000,796000,,"2016-06-30 00:00:00",0
864,"HARWINTON",0,"Town of Harwinton Pension Trust",0,1,0,1,0,0,0,0,,0,21,0,,,,3082456,2890537,7.4999999999999997e-02,7.4999999999999997e-02,-1.6000000000000000e-02,106829,200000,961374,"2015-07-01 00:00:00",0
865,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan",0,0,0,1,0,0,0,0,,0,22,0,"ADC not provided therefore I excluded employer contribution made.",,,2648163,2090568,7.0000000000000007e-02,7.0000000000000007e-02,-3.7000000000000002e-03,,,652649,"2013-07-01 00:00:00",1
866,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan- Volunteer Fire Company",1,0,0,0,0,0,1,0,,0,96,0,"ADC not provided therefore I excluded employer contribution made.",,,1848021,1009321,7.0000000000000007e-02,7.0000000000000007e-02,-7.3000000000000001e-03,,,,"2013-07-01 00:00:00",1
867,"MADISON",0,"Town of Madison Police Department Retirement Plan",0,0,0,0,0,1,0,0,,0,71,0,,,,18227172,12548163,7.2499999999999995e-02,7.2499999999999995e-02,-2.5999999999999999e-03,514887,526000,1996009,"2015-07-01 00:00:00",1
868,"MADISON",0,"Retirement Plan For The Employees of The Town of Madison",0,0,0,1,0,0,0,0,,0,350,0,,,,23004078,16587639,7.2499999999999995e-02,7.2499999999999995e-02,-3.0000000000000001e-03,890486,890486,7969860,"2015-07-01 00:00:00",1
