"Town","Gross Residential Grand List","Gross Commercial Grand List","Gross Industrial Grand List","Total Gross Grand List","Year"
"Trumbull","1798672777","197037892","158667942",2497411018,"SFY 1996-1997"
"Union","39524180","1879040","0",50316570,"SFY 1996-1997"
"Vernon","691223060","246296460","17228180",1127720350,"SFY 1996-1997"
"Voluntown","70001810","4345480","0",91273623,"SFY 1996-1997"
"Wallingford","1259581600","362219000","220934100",2252603779,"SFY 1996-1997"
"Warren","94530874","2791971","0",109248075,"SFY 1996-1997"
"Washington","423484580","20999260","52920",481674900,"SFY 1996-1997"
"Waterbury","636866486","338550736","104332572",1588087985,"SFY 1996-1997"
"Waterford","624615040","150438750","23804180",3579464100,"SFY 1996-1997"
"Watertown","802850194","99366620","69394840",1213266293,"SFY 1996-1997"
"Westbrook","348423221","67613286","16247910",495827176,"SFY 1996-1997"
"West Hartford","2844204330","487436450","83786280",3839418070,"SFY 1996-1997"
"West Haven","1141000410","270303180","100000180",1770519061,"SFY 1996-1997"
"Weston","1120780170","9360400","0",1209588476,"SFY 1996-1997"
"Westport","2068660178","605556418","617550",3045272589,"SFY 1996-1997"
"Wethersfield","1305838100","269681300","26298700",1785809167,"SFY 1996-1997"
"Willington","206704395","27076460","9619270",292800401,"SFY 1996-1997"
"Wilton","1523478670","176050810","0",1935662020,"SFY 1996-1997"
"Winchester","299313925","35407240","14571080",431671986,"SFY 1996-1997"
"Windham","305221290","97801840","18830030",537292470,"SFY 1996-1997"
"Windsor","1153265540","239019970","209124090",2009708277,"SFY 1996-1997"
"Windsor Locks","441460005","112936960","192772820",1011893178,"SFY 1996-1997"
"Wolcott","460019450","39347530","21958680",642680594,"SFY 1996-1997"
"Woodbridge","601865410","36307560","11829720",723992800,"SFY 1996-1997"
"Woodbury","526690810","54894190","4039440",668028900,"SFY 1996-1997"
"Woodstock","228050572","14034690","9513560",308409240,"SFY 1996-1997"
"Andover","100214660","3029660","999510",128818552,"SFY 1997-1998"
"Ansonia","411374126","59473930","12840740",581885139,"SFY 1997-1998"
"Ashford","115600880","7216880","460930",149608980,"SFY 1997-1998"
"Avon","1069806790","211546300","20990810",1471072490,"SFY 1997-1998"
"Barkhamsted","164760400","12101090","3040330",231547639,"SFY 1997-1998"
"Beacon Falls","144994520","8889460","18569510",215509075,"SFY 1997-1998"
"Berlin","685198440","145041910","67565660",1157165585,"SFY 1997-1998"
"Bethany","253855550","18591200","3111530",311114470,"SFY 1997-1998"
"Bethel","819451360","103454105","141146500",1233700545,"SFY 1997-1998"
"Bethlehem","213069006","6404880","0",241299256,"SFY 1997-1998"
"Bloomfield","726929910","291284976","152969270",1417352085,"SFY 1997-1998"
"Bolton","233961423","12380470","3702580",282555220,"SFY 1997-1998"
"Bozrah","69904248","10959190","7669130",125949034,"SFY 1997-1998"
"Branford","1332278030","275671570","68651880",1950950988,"SFY 1997-1998"
"Bridgeport","1217030217","476887701","139682156",2464389763,"SFY 1997-1998"
"Bridgewater","161638830","2075930","1083220",181120352,"SFY 1997-1998"
"Bristol","1735295520","322865790","193325150",2714038610,"SFY 1997-1998"
"Brookfield","715994810","115701610","35816330",1048388700,"SFY 1997-1998"
"Brooklyn","199326890","24546370","1763130",276200765,"SFY 1997-1998"
"Burlington","444991820","11539640","2523570",550316319,"SFY 1997-1998"
"Canaan","47382193","3384536","352034",74479457,"SFY 1997-1998"
"Canterbury","156328190","6042470","1168360",194247385,"SFY 1997-1998"
"Canton","486859230","65143650","3206850",631463213,"SFY 1997-1998"
"Chaplin","91039530","8350240","0",122558023,"SFY 1997-1998"
"Cheshire","1139101030","131307870","127488410",1677104144,"SFY 1997-1998"
"Chester","194185390","42686240","12753120",295269450,"SFY 1997-1998"
"Clinton","525311100","76833240","24337790",743173148,"SFY 1997-1998"
"Colchester","430903505","53254350","7221290",602950300,"SFY 1997-1998"
"Colebrook","103636855","1526010","0",115442751,"SFY 1997-1998"
"Columbia","212768830","13601770","0",263028740,"SFY 1997-1998"
"Cornwall","151845380","7604580","0",177039400,"SFY 1997-1998"
"Coventry","390181910","12776820","1630510",487737100,"SFY 1997-1998"
"Cromwell","499848710","105102749","29651230",756878719,"SFY 1997-1998"
"Danbury","2541566430","1125431300","231141600",4630249220,"SFY 1997-1998"
"Darien","2353434624","259269660","0",2865797686,"SFY 1997-1998"
"Deep River","181761868","18282110","6990550",252809068,"SFY 1997-1998"
"Derby","305726520","55739080","17695845",461273821,"SFY 1997-1998"
"Durham","274844710","13678020","13158730",360321655,"SFY 1997-1998"
"Eastford","45644850","3130720","1201900",65831592,"SFY 1997-1998"
"East Granby","229961330","18413110","50783570",385434567,"SFY 1997-1998"
"East Haddam","317230663","21514940","4012570",399325743,"SFY 1997-1998"
"East Hampton","463349280","32462100","6277600",592524776,"SFY 1997-1998"
"East Hartford","995566590","297028740","263546200",2091869140,"SFY 1997-1998"
"East Haven","709067432","119199711","23621660",983952088,"SFY 1997-1998"
"East Lyme","650945860","76840330","5981850",856762521,"SFY 1997-1998"
"Easton","573657980","26663550","39210",686501090,"SFY 1997-1998"
"East Windsor","234663600","94442850","63453790",509044395,"SFY 1997-1998"
"Ellington","408001926","50440652","4590880",563406281,"SFY 1997-1998"
"Enfield","1025789720","222959438","158480425",1760409014,"SFY 1997-1998"
"Essex","443605090","77221800","28249270",636038381,"SFY 1997-1998"
"Fairfield","3294155230","440222210","57105900",4292811083,"SFY 1997-1998"
"Farmington","1078492560","348385990","63354910",1791043530,"SFY 1997-1998"
"Franklin","76206417","20311540","5639920",135120062,"SFY 1997-1998"
"Glastonbury","1297893680","232839220","19961710",1860700300,"SFY 1997-1998"
"Goshen","174989250","6824980","766940",205371332,"SFY 1997-1998"
"Granby","485551420","31805820","4545140",592168100,"SFY 1997-1998"
"Greenwich","7648028940","1177152840","23404480",9837254710,"SFY 1997-1998"
"Griswold","233391779","28919342","9422360",344258872,"SFY 1997-1998"
"Groton","825844180","247984990","329406010",1892566568,"SFY 1997-1998"
"Guilford","1049816320","79587594","16542945",1332742840,"SFY 1997-1998"
"Haddam","350322710","16764460","3147950",567166175,"SFY 1997-1998"
"Hamden","1591414661","417057650","63457890",2430622431,"SFY 1997-1998"
"Hampton","63442450","551630","68370",78668790,"SFY 1997-1998"
"Hartford","1517645110","2750981970","281639310",5845128205,"SFY 1997-1998"
"Hartland","82627240","132160","0",111930470,"SFY 1997-1998"
"Harwinton","311720780","9436560","1793620",384485130,"SFY 1997-1998"
"Hebron","291376800","13114630","427460",364259331,"SFY 1997-1998"
"Kent","222470220","26170380","1203550",276068028,"SFY 1997-1998"
"Killingly","296175385","66817935","53861300",577173618,"SFY 1997-1998"
"Killingworth","258568784","7699470","526440",316027743,"SFY 1997-1998"
"Lebanon","279021580","9775670","1219700",349390887,"SFY 1997-1998"
"Ledyard","410265730","34501810","11373460",585427118,"SFY 1997-1998"
"Lisbon","111755230","9115300","0",179262330,"SFY 1997-1998"
"Litchfield","531732332","70324895","11800525",695717206,"SFY 1997-1998"
"Lyme","241897390","2056190","0",282769350,"SFY 1997-1998"
"Madison","1207010540","105633040","6548010",1465162048,"SFY 1997-1998"
"Manchester","1549826910","547628670","176000170",2758556540,"SFY 1997-1998"
"Mansfield","348258430","72074345","862260",492761823,"SFY 1997-1998"
"Marlborough","218316180","13471010","2870950",272784422,"SFY 1997-1998"
"Meriden","1129802830","274411020","63341720",1883905570,"SFY 1997-1998"
"Middlebury","311299440","28564780","39589300",459730938,"SFY 1997-1998"
"Middlefield","159317160","11781930","11263760",221642641,"SFY 1997-1998"
"Middletown","1015928796","547430550","133147740",2268057611,"SFY 1997-1998"
"Milford","1787753280","457418500","183277360",3030593851,"SFY 1997-1998"
"Monroe","1036244480","78771180","27239100",1332551860,"SFY 1997-1998"
"Montville","420901791","48627870","34196920",776643006,"SFY 1997-1998"
"Morris","139222560","7939060","1865980",170584098,"SFY 1997-1998"
"Naugatuck","314663050","49082420","36069350",604215620,"SFY 1997-1998"
"New Britain","857004370","252551120","52306220",1507554600,"SFY 1997-1998"
"New Canaan","2549422130","176230800","1948730",2953482840,"SFY 1997-1998"
"New Fairfield","744693660","17967555","3015465",873016395,"SFY 1997-1998"
"New Hartford","329919910","14803545","20646950",429189100,"SFY 1997-1998"
"New Haven","1647780167","1265626195","180234160",3845247032,"SFY 1997-1998"
"Newington","989613877","245103120","100712080",1614896475,"SFY 1997-1998"
"New London","488885320","315441210","8223740",947180700,"SFY 1997-1998"
"New Milford","902519930","136835510","64541340",1470488590,"SFY 1997-1998"
"Newtown","1155186580","100064310","42616860",1508060359,"SFY 1997-1998"
"Norfolk","135440350","9304130","392590",170744940,"SFY 1997-1998"
"North Branford","448618800","51687720","28711620",639403922,"SFY 1997-1998"
"North Canaan","94304670","22963500","15340530",183447420,"SFY 1997-1998"
"North Haven","940401224","278195387","261413550",1952433728,"SFY 1997-1998"
"North Stonington","208286505","20771460","8760920",300998346,"SFY 1997-1998"
"Norwalk","1820069890","705974822","195912626",3505370091,"SFY 1997-1998"
"Norwich","844324898","302702295","59236540",1447435678,"SFY 1997-1998"
"Old Lyme","664929294","36617510","8509630",791475864,"SFY 1997-1998"
"Old Saybrook","849404382","145510940","31649715",1181553728,"SFY 1997-1998"
"Orange","754126485","221780400","53588130",1184692390,"SFY 1997-1998"
"Oxford","342895525","10257110","17241825",456813485,"SFY 1997-1998"
"Plainfield","298785070","57426860","35155950",505320400,"SFY 1997-1998"
"Plainville","484078043","130716560","62118680",854726263,"SFY 1997-1998"
"Plymouth","311003330","23589790","18334050",431559000,"SFY 1997-1998"
"Pomfret","116876713","14812660","3638330",173745003,"SFY 1997-1998"
"Portland","300110790","40057860","19442500",435397554,"SFY 1997-1998"
"Preston","153693779","7857690","1093770",204037585,"SFY 1997-1998"
"Prospect","274742247","18783200","9588310",367267869,"SFY 1997-1998"
"Putnam","206954067","59268575","30245758",376974082,"SFY 1997-1998"
"Redding","828446751","28362310","9657292",945706584,"SFY 1997-1998"
"Ridgefield","1843188807","130896600","135401899",2375460697,"SFY 1997-1998"
"Rocky Hill","684707230","296424940","62913590",1256931000,"SFY 1997-1998"
"Roxbury","237986300","1836440","1372050",264540430,"SFY 1997-1998"
"Salem","134830200","10527120","506730",181472910,"SFY 1997-1998"
"Salisbury","405197550","32994550","1772170",488237100,"SFY 1997-1998"
"Scotland","57568995","1614800","0",71318763,"SFY 1997-1998"
"Seymour","438354353","44117730","27460230",628508623,"SFY 1997-1998"
"Sharon","229487900","13003100","0",304530380,"SFY 1997-1998"
"Shelton","1380890140","255306690","113923650",2215215530,"SFY 1997-1998"
"Sherman","310810730","2407550","0",346320193,"SFY 1997-1998"
"Simsbury","1009902970","134586090","11113150",1372316395,"SFY 1997-1998"
"Somers","313963990","17309780","7476480",413455201,"SFY 1997-1998"
"Southbury","1068895950","286971327","3727150",1630853268,"SFY 1997-1998"
"Southington","1306505868","240986848","72005800",1941871308,"SFY 1997-1998"
"South Windsor","857598710","56037050","130150220",1285235927,"SFY 1997-1998"
"Sprague","74334264","7040600","10010300",132697941,"SFY 1997-1998"
"Stafford","331743310","40616240","20086910",498430097,"SFY 1997-1998"
"Stamford","4853733590","2305794830","167939130",8619788648,"SFY 1997-1998"
"Sterling","72317010","2941590","8423510",129315120,"SFY 1997-1998"
"Stonington","788484020","173094400","26725670",1148328330,"SFY 1997-1998"
"Stratford","1690926308","254770970","231017840",2700932921,"SFY 1997-1998"
"Suffield","572165650","37840110","31478580",743779770,"SFY 1997-1998"
"Thomaston","240730537","29862019","31050210",376440289,"SFY 1997-1998"
"Thompson","264433590","16842080","6159340",352336222,"SFY 1997-1998"
"Tolland","447550700","20401940","15048130",574936113,"SFY 1997-1998"
"Torrington","1122877930","218398486","49844140",1725392061,"SFY 1997-1998"
"Trumbull","1811897269","209009952","161459146",2549890319,"SFY 1997-1998"
"Union","40563840","1853360","0",51643692,"SFY 1997-1998"
"Vernon","696146400","247843700","17272190",1142464280,"SFY 1997-1998"
"Voluntown","72152360","4342640","0",92881010,"SFY 1997-1998"
"Wallingford","1282319600","376833300","223070200",2327105423,"SFY 1997-1998"
"Warren","95354495","2800871","0",110600282,"SFY 1997-1998"
"Washington","428759870","21662320","52920",488566380,"SFY 1997-1998"
"Waterbury","636744061","345085907","102792692",1630447071,"SFY 1997-1998"
"Waterford","668582480","193838720","28085870",3645446610,"SFY 1997-1998"
"Watertown","815829270","99201550","74317500",1243513815,"SFY 1997-1998"
"Westbrook","352759737","65540636","16298480",508355143,"SFY 1997-1998"
"West Hartford","2850416290","500336850","77086030",3863189335,"SFY 1997-1998"
"West Haven","1144512430","271580540","103682320",1798908372,"SFY 1997-1998"
"Weston","1143657160","9227730","0",1236929298,"SFY 1997-1998"
"Westport","2095880088","608865938","617550",3082827740,"SFY 1997-1998"
"Wethersfield","1317042200","269495600","26158400",1805199454,"SFY 1997-1998"
"Willington","209284215","34271920","19417100",311463933,"SFY 1997-1998"
"Wilton","1549000740","182105250","0",1973648475,"SFY 1997-1998"
"Winchester","301565675","35624490","15155240",437013087,"SFY 1997-1998"
"Windham","307207970","98480160","18676610",540835250,"SFY 1997-1998"
"Windsor","1156378510","239681820","215345690",2016659290,"SFY 1997-1998"
"Windsor Locks","443485685","111999830","158095940",942955238,"SFY 1997-1998"
"Wolcott","475279090","39816620","22302370",662081169,"SFY 1997-1998"
"Woodbridge","610271550","38405500","11928840",736462290,"SFY 1997-1998"
"Woodbury","537374290","56059500","4083510",681022496,"SFY 1997-1998"
"Woodstock","231459697","12094000","9763400",311414036,"SFY 1997-1998"
"Andover","104150690","3034090","999510",133219015,"SFY 1998-1999"
"Ansonia","412624934","59407325","13011001",588552109,"SFY 1998-1999"
"Ashford","117982820","7672770","460930",153404790,"SFY 1998-1999"
"Avon","1091964780","214825290","20358070",1498204860,"SFY 1998-1999"
"Barkhamsted","167077680","12511670","3039500",237358459,"SFY 1998-1999"
"Beacon Falls","149870570","8889460","18257360",220881704,"SFY 1998-1999"
"Berlin","687308315","144383620","67390360",1171134318,"SFY 1998-1999"
"Bethany","259239020","18552100","3111530",318568561,"SFY 1998-1999"
"Bethel","829080580","103476925","143326530",1248778375,"SFY 1998-1999"
"Bethlehem","215421396","6424340","0",244925449,"SFY 1998-1999"
"Bloomfield","731517730","290320306","153306370",1463183413,"SFY 1998-1999"
"Bolton","239828470","12302470","3732120",289162965,"SFY 1998-1999"
"Bozrah","70866570","11071440","7626110",125739292,"SFY 1998-1999"
"Branford","1339194010","280636180","70856390",1974371595,"SFY 1998-1999"
"Bridgeport","1218207064","472984402","137841170",2497261407,"SFY 1998-1999"
"Bridgewater","163414090","2058360","1083220",183671120,"SFY 1998-1999"
"Bristol","1747112880","323814480","198691420",2753595000,"SFY 1998-1999"
"Brookfield","728197760","116819990","37618690",1071624480,"SFY 1998-1999"
"Brooklyn","200611537","25172440","1763130",279582050,"SFY 1998-1999"
"Burlington","459751530","11724230","2763250",559167762,"SFY 1998-1999"
"Canaan","47776271","3391237","352034",74897545,"SFY 1998-1999"
"Canterbury","157694660","6192410","1368420",195987207,"SFY 1998-1999"
"Canton","493046920","65903680","2992310",641106180,"SFY 1998-1999"
"Chaplin","92041080","8338440","0",124185719,"SFY 1998-1999"
"Cheshire","1160834370","133328060","136189610",1701001220,"SFY 1998-1999"
"Chester","197400980","42565680","12843160",300198180,"SFY 1998-1999"
"Clinton","529620390","76917020","24470580",754546807,"SFY 1998-1999"
"Colchester","441565820","53308720","7856340",619666582,"SFY 1998-1999"
"Colebrook","104453875","1526980","0",116853180,"SFY 1998-1999"
"Columbia","216675090","13624730","0",266827360,"SFY 1998-1999"
"Cornwall","152565730","7659550","0",178022890,"SFY 1998-1999"
"Coventry","399123530","12851090","1630510",498195540,"SFY 1998-1999"
"Cromwell","508660070","109464205","30334170",770830322,"SFY 1998-1999"
"Danbury","2565426190","1130715900","231078900",4655618700,"SFY 1998-1999"
"Darien","2366579619","256646070","0",2895239256,"SFY 1998-1999"
"Deep River","184259018","18107110","7065590",259028578,"SFY 1998-1999"
"Derby","307355630","55655822","17977950",460922209,"SFY 1998-1999"
"Durham","283339250","15086000","13700520",373863225,"SFY 1998-1999"
"Eastford","46155690","3178840","1428700",67404679,"SFY 1998-1999"
"East Granby","235571170","18729070","52947320",399675137,"SFY 1998-1999"
"East Haddam","317301010","21440220","4193580",415543525,"SFY 1998-1999"
"East Hampton","470177700","31873100","6277600",598101602,"SFY 1998-1999"
"East Hartford","1015323870","276819880","264695470",2101321130,"SFY 1998-1999"
"East Haven","710182772","125260951","23742380",997104879,"SFY 1998-1999"
"East Lyme","663595140","76959820","5991580",869232091,"SFY 1998-1999"
"Easton","591411190","24187920","189860",699290310,"SFY 1998-1999"
"East Windsor","239217610","99460320","64943230",525152850,"SFY 1998-1999"
"Ellington","418489850","53516996","6130460",579235510,"SFY 1998-1999"
"Enfield","1034975690","221943770","159140590",1768708807,"SFY 1998-1999"
"Essex","447907770","77624030","28087640",641733128,"SFY 1998-1999"
"Fairfield","3334398550","439533970","51949700",4378934161,"SFY 1998-1999"
"Farmington","1099694630","374023460","63354910",1857294983,"SFY 1998-1999"
"Franklin","76772980","19831830","5639920",136466903,"SFY 1998-1999"
"Glastonbury","1336917760","236309070","19542830",1907323190,"SFY 1998-1999"
"Goshen","177522570","7678000","766940",209719544,"SFY 1998-1999"
"Granby","496007590","31850020","4616560",605033190,"SFY 1998-1999"
"Greenwich","7749474410","1162521260","24219980",9983277080,"SFY 1998-1999"
"Griswold","238487705","29819970","7712320",350497955,"SFY 1998-1999"
"Groton","836087000","248518590","347260524",1961556015,"SFY 1998-1999"
"Guilford","1076993376","83584334","16694815",1362680919,"SFY 1998-1999"
"Haddam","353651330","16854370","3147950",545775312,"SFY 1998-1999"
"Hamden","1603440772","407361580","63433200",2433505552,"SFY 1998-1999"
