MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2012 ESTIMATE
"ANDOVER",9.7762000000000000e+04
"ANSONIA",5.4720000000000000e+04
"ASHFORD",7.5242000000000000e+04
"AVON",1.1176800000000000e+05
"BARKHAMSTED",8.4861000000000000e+04
"BEACON FALLS",7.9207000000000000e+04
"BERLIN",8.5735000000000000e+04
"BETHANY",1.0956400000000000e+05
"BETHEL",8.8024000000000000e+04
"BETHLEHEM",8.0884000000000000e+04
"BLOOMFIELD",7.1579000000000000e+04
"BOLTON",8.7885000000000000e+04
"BOZRAH",8.3188000000000000e+04
"BRANFORD",7.0075000000000000e+04
"BRIDGEPORT",3.9822000000000000e+04
"BRIDGEWATER",8.3750000000000000e+04
"BRISTOL",5.8814000000000000e+04
"BROOKFIELD",1.1109600000000000e+05
"BROOKLYN",6.2857000000000000e+04
"BURLINGTON",1.0675600000000000e+05
"CANAAN",5.8021000000000000e+04
"CANTERBURY",6.6641000000000000e+04
"CANTON",8.6136000000000000e+04
"CHAPLIN",7.5333000000000000e+04
"CHESHIRE",1.1058700000000000e+05
"CHESTER",7.9345000000000000e+04
"CLINTON",6.8225000000000000e+04
"COLCHESTER",9.2522000000000000e+04
"COLEBROOK",7.1691000000000000e+04
"COLUMBIA",9.2973000000000000e+04
"CORNWALL",7.8021000000000000e+04
"COVENTRY",9.2308000000000000e+04
"CROMWELL",8.0134000000000000e+04
"DANBURY",6.6281000000000000e+04
"DARIEN",2.0072400000000000e+05
"DEEP RIVER",7.7625000000000000e+04
"DERBY",5.4561000000000000e+04
"DURHAM",1.0996900000000000e+05
"EAST GRANBY",7.3074000000000000e+04
"EAST HADDAM",9.1146000000000000e+04
"EAST HAMPTON",9.3083000000000000e+04
"EAST HARTFORD",4.8438000000000000e+04
"EAST HAVEN",6.3574000000000000e+04
"EAST LYME",8.1599000000000000e+04
"EAST WINDSOR",7.1310000000000000e+04
"EASTFORD",8.2885000000000000e+04
"EASTON",1.4243400000000000e+05
"ELLINGTON",8.4934000000000000e+04
"ENFIELD",6.8356000000000000e+04
"ESSEX",9.0242000000000000e+04
"FAIRFIELD",1.1992400000000000e+05
"FARMINGTON",8.8467000000000000e+04
"FRANKLIN",8.8333000000000000e+04
"GLASTONBURY",1.0687200000000000e+05
"GOSHEN",7.4333000000000000e+04
"GRANBY",9.7851000000000000e+04
"GREENWICH",1.2958800000000000e+05
"GRISWOLD",6.4574000000000000e+04
"GROTON",6.1966000000000000e+04
"GROTON (City of)",
"GUILFORD",9.5745000000000000e+04
"HADDAM",8.9184000000000000e+04
"HAMDEN",6.8462000000000000e+04
"HAMPTON",7.5278000000000000e+04
"HARTFORD",2.8931000000000000e+04
"HARTLAND",9.1875000000000000e+04
"HARWINTON",8.9429000000000000e+04
"HEBRON",1.1428600000000000e+05
"KENT",6.6641000000000000e+04
"KILLINGLY",5.5598000000000000e+04
