Record Num,Entity,Type of Plan,Plan Name,Volunteer,Closed Plan,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
2,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,0,0,0,1,0,0,,0,517,0,6314039,5474826,0,,,,"07/01/11 00:00:00",150984000,122295000,,0,-3044295,
3,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,0,0,0,0,1,0,,0,333,0,4300169,2939362,0,,,,"07/01/11 00:00:00",93605000,72667000,,0,-511382,
4,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,1,0,0,0,0,0,"Janitors and Engineers hired prior to 1985",1,40,1,894791,914418,0,,,,"07/01/10 00:00:00",8021000,3000,,0,1623193,
5,"ANSONIA",0,"Police Retirement Plan",0,0,0,0,1,0,0,,0,24,0,333542,450000,0,,,,"07/01/11 00:00:00",4866000,1111000,,0,1853981,
6,"ANSONIA",0,"City Employees' Retirement Plan",0,1,1,0,0,0,0,,0,64,0,381561,0,0,,,,"07/01/11 00:00:00",,,"GASB 27 requires the use of the entry age method when the aggregate actuarial method.  This substitute method was not used to measure tha unfunded AAL.",1,1252374,
7,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,1,0,0,0,0,,0,64,0,493732,350000,0,,,,"07/01/11 00:00:00",6202794,590790,"The pension plan has a db segment and a dc segment.",0,386577,
8,"BETHLEHEM",0,"Bethlehem LOSAP",1,0,0,0,0,1,0,"Ambulance Association",1,96,0,88427,88427,0,,,,"07/01/12 00:00:00",705359,439025,,0,0,
9,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,0,0,0,1,0,0,,0,89,0,1041413,960000,0,,,,"07/01/11 00:00:00",24236343,16516711,,0,-275481,
10,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,0,1,0,0,0,0,,0,105,0,213285,213285,0,,,,"07/01/10 00:00:00",3462025,2706859,,0,-17922,
11,"BROOKLYN",0,"Fire Department Service Award Program For Town of Brooklyn",1,0,0,0,0,1,0,,0,88,0,71666,71666,0,,,,"01/01/10 00:00:00",1063350,102030,,0,331032,
12,"BURLINGTON",0,"Town of Burlington Employees Pension Plan",0,0,1,0,0,0,0,,0,29,0,200616,208299,0,,,,"07/01/11 00:00:00",2498163,1650809,,0,191896,
13,"BURLINGTON",0,"Town of Burlington Constables Plan",0,0,0,0,1,0,0,,0,2,0,4717,4985,0,,,,"07/01/11 00:00:00",563295,551044,,0,2661,
