SwitchboardID,ItemNumber,ItemText,Command,Argument
1,0,"Main Switchboard",,"Default"
1,1,"View Individual Town Pages, Statewide Reports, Form of Govt. and School Data",1,"2"
1,2,"View Bond Ratings, Housing,  Pension and OPEB  Reports",1,"3"
1,3,"View Population and Area Reports",1,"4"
1,4,"View Income, Unemployment and TANF Data",1,"5"
1,5,"View Debt and Property Tax Reports",1,"6"
1,6,"View Grand List and Mill Rate Data",1,"7"
1,7,"View underlying data such as Tables, Queries, Report design",7,"Select and Minimize Switchboard"
1,8,"Exit the Database and Application",6,
2,0,"Individual Towns, Statewide Data, Form of Govt. and Educaton Expenditures Switchboard",0,
2,1,"View Individual Town Pages:  Andover through Woodstock",4,"Fiscal Indicators 2009-2013 Individual Town Pages"
2,2,"View CT Totals",4,"Totals: 2009-2013 Main Report"
2,3,"View CT Averages",4,"2013 Municipal Averages"
2,4,"View Form of Government",4,"Form of Govt by Types - Main Report"
2,5,"View Education Expenditures per Pupil - 2011 to 2013",4,"NCE per Pupil: FY 2011-13 by Town"
2,6,"View Education Expenditures per Pupil Rankings",4,"NCE per Pupil: 2013 Ranking"
2,7,"Go Back to Main Switchboard",1,"1"
3,0,"Bond Ratings, Housing, Pensions and OPEB Switchboard",0,
3,1,"View Bond Ratings from Moody's, S&&P and Fitch",4,"Ratings for Municipalities and RSDs"
3,2,"View Moody's Bond Ratings by Rating Categories",4,"Moody's Bond by type - Main Report"
3,3,"View Housing Data",4,"Housing Data 2013 Report with 2012 Comparative Totals Data"
3,4,"View Types of Pension Plans",4,"pension types - 2013 with gridlines"
3,5,"View Funding Status of DB Pension Plans",4,"Pension AAL Report 2013 - for FI"
3,6,"View Funding Status of OPEB Plans",4,"OPEB Status 2013"
3,7,"Go Back to Main Switchboard",1,"1"
4,0,"Population and Area  Switchboard",0,
4,1,"View Population as of July 1, 2013",4,"Population - July 2013 by Town"
4,2,"View July 1, 2013 Population Rankings",4,"Population - July 2013 Ranking"
4,3,"View Population Density",4,"Population: 2013 Density by Town"
4,4,"View Population Density Rankings",4,"Population: 2013 Density Ranking"
4,5,"View Land Area in Square Miles Report",4,"Area In Square Miles by county with Total - 2010 Census"
4,6,"Go Back to Main Switchboard",1,"1"
5,0,"Income, Unemployment, and TANF Switchboard",0,
5,1,"View Per Capita Income - 2013 ACS",4,"Per Capita Income by Town - 2013 ACS"
5,2,"View Per Capita Income Rankings - 2013 ACS",4,"Per Capita Income Sorted - 2013 ACS"
5,3,"View Median Household Income - 2013 ACS",4,"Median Household Income by Town - 2013 ACS"
5,4,"View Median Household Income Rankings - 2013 ACS",4,"Median Household Income Sort - 2013 ACS"
5,5,"View Unemployment Comparison -Nov. 2014 vs. Nov. 2013",4,"Unemployment Rates: Months of November 2014 and 2013"
5,6,"View Unemployment Rankings - Calendar Year 2013",4,"Unemployment Rates: 2013 Ranking"
5,7,"View TANF Recipients Rankings",4,"TANF Recipients 2014% Sort - 2014 and 2013 Data"
5,8,"Go Back to Main Switchboard",1,"1"
6,0,"Debt and  Property Tax Switchboard",0,
6,1,"View Debt per Capita",4,"Debt: 2013 Per Capita by Town"
6,2,"View Debt per Capita Rankings",4,"Debt: 2013 Per Capita Rank"
6,3,"View Debt to Grand List Ratios",4,"Debt to Grand Lists Ratios FYE2013"
6,4,"View Tax Collection Report",4,"Taxes: 2013 Collection % Data Report"
6,5,"View Current Year Tax Collection Rates by Rankings",4,"Tax Collection: 2013 Current Year Rates by Rank"
6,6,"View Tax Levy per Capita by Rank",4,"Taxes: 2013 Adjusted Levy per Capita Ranking"
6,7,"View Property Tax Revenue as a % Total Revenue by Rankings",4,"Tax Rev as % of Total Rev - 2013"
6,8,"Go Back to Main Switchboard",1,"1"
7,0,"Grand List and Mill Rate Switchboard",0,
7,1,"View Net Grand Lists - 2012 and 2011 Grand List Years",4,"GL Data: Net Grand List for 2012 and 2011 List Years"
7,2,"View Grand List Components",4,"GL Data: grlst2012 component report"
7,3,"View Equalized Net Grand Lists - 2011 and 2012 Grand List Years",4,"GL Data: ENGL for 2012 and 2011 List Years"
7,4,"View Equalized Net Grand List per Capita Rankings",4,"GL Data: ENGL per Capita by Rank for FYE 2013"
7,5,"View Revaluation Dates",4,"Revaluation Dates by Town - 2014 GL Year"
7,6,"View Equalized Mill Rates by Rank",4,"GL Data: Equalized Mill Rates for 2013 - Rank"
7,7,"View Latest Mill Rates",4,"GL Data: ACMR FYE 2014 and 2015"
7,8,"Go Back to Main Switchboard",1,"1"
