Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2004 Population,Moody's_Bond_Ratings_July_2004,area lmt,ACGLFY04,EGL,TANF04 Recipients,empl,ACMR,enrollmt,RPA Identifier
"ANDOVER","JG",2.0040000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",3808429.0000,2046927.0000,5919150.0000,380242.0000,2141961.0000,5372678.0000,7763357.0000,5687957.0000,248978.0000,7536333.0000,7373.0000,7373.0000,257603.0000,257603.0000,-23206.0000,-88590.0000,-23206.0000,0.0000,4334833.0000,1995555.0000,6330388.0000,39730.0000,795668.0000,1260508.0000,1220778.0000,,,5312184.0000,5245762.0000,9.8749629154411822e-01,5440867.0000,5319445.0000,9.7768333613006897e-01,3.1770000000000000e+03,"A3",1.5450000000000001e+01,165688246.0000,283350872.1928,1.3000000000000000e+01,3.5978835978835978e-02,3.1900000000000002e+01,6.4621000000000004e+02,"Capital Region COG"
"ANSONIA","BP",2.0040000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",21521520.0000,37032247.0000,58579503.0000,2112761.0000,20258357.0000,22819320.0000,45560041.0000,24183097.0000,9004023.0000,45924355.0000,0.0000,18675088.0000,0.0000,18491138.0000,-364314.0000,-397026.0000,-180364.0000,0.0000,,42890000.0000,42890000.0000,1574492.0000,499966.0000,4820755.0000,3246263.0000,4343807.0000,,22838515.0000,22151217.0000,9.6990618698282260e-01,24990126.0000,23079005.0000,9.2352495541639124e-01,1.8881000000000000e+04,"A3",6.0300000000000002e+00,779016240.0000,1127906908.5714,4.7200000000000000e+02,5.8575252213300393e-02,2.9400000000000002e+01,2.7993899999999999e+03,"Valley COG"
"ASHFORD","BP",2.0040000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",4779093.0000,5913662.0000,12584724.0000,543163.0000,3826456.0000,6396039.0000,10719851.0000,8159848.0000,378839.0000,10480122.0000,190242.0000,190242.0000,221050.0000,221050.0000,208921.0000,441442.0000,208921.0000,0.0000,5059623.0000,6225375.0000,11284998.0000,186705.0000,272068.0000,1754444.0000,1567739.0000,,,6283155.0000,6148495.0000,9.7856809198563466e-01,6555706.0000,6266721.0000,9.5591855400470982e-01,4.3490000000000000e+03,"A2",3.8800000000000004e+01,212380920.0000,303408104.2857,2.7000000000000000e+01,3.7560581583198707e-02,2.9000000000000000e+01,8.3092000000000007e+02,"Windham Region COG"
"AVON","BP",2.0040000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",81157443.0000,7929457.0000,90810181.0000,3297296.0000,2801229.0000,48012671.0000,53323960.0000,32008144.0000,4700887.0000,51606923.0000,277969.0000,289499.0000,2207194.0000,2207194.0000,-212188.0000,198078.0000,-200658.0000,0.0000,,28560000.0000,28560000.0000,862630.0000,925000.0000,4804177.0000,3941547.0000,,365613.0000,47681390.0000,47646309.0000,9.9926426222054354e-01,47885667.0000,47796897.0000,9.9814620938662080e-01,1.6992000000000000e+04,"Aaa",2.3120000000000001e+01,1677521460.0000,3131095074.3939,1.1000000000000000e+01,3.3760585946440831e-02,2.8300000000000001e+01,3.2627300000000000e+03,"Capital Region COG"
"BARKHAMSTED","JG",2.0040000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",2809389.0000,2613658.0000,5423047.0000,338411.0000,1657385.0000,7156805.0000,8989809.0000,6758030.0000,287700.0000,8524077.0000,0.0000,0.0000,62000.0000,62000.0000,403732.0000,-378035.0000,403732.0000,0.0000,2710756.0000,1050000.0000,3760756.0000,13620.0000,0.0000,1284970.0000,1271350.0000,,,7107353.0000,7007272.0000,9.8591866761085312e-01,7366513.0000,7083728.0000,9.6161209516632906e-01,3.6870000000000000e+03,"A2",3.6219999999999999e+01,221105660.0000,404927944.6203,1.1000000000000000e+01,5.1851851851851850e-02,3.2200000000000003e+01,6.0586000000000001e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","BP",2.0040000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",5913650.0000,5201679.0000,11077006.0000,665226.0000,3572020.0000,9244250.0000,13018826.0000,9691736.0000,364568.0000,13277277.0000,70817.0000,108306.0000,0.0000,0.0000,-187634.0000,421170.0000,-150145.0000,0.0000,15550756.0000,3864867.0000,19415623.0000,0.0000,170000.0000,1639948.0000,1639948.0000,,,8677431.0000,8362980.0000,9.6376220104775245e-01,9499746.0000,8580444.0000,9.0322878106425164e-01,5.5530000000000000e+03,"A3",9.7699999999999996e+00,303945950.0000,567255372.7015,1.9000000000000000e+01,4.8509828788839568e-02,2.8400000000000002e+01,1.0276200000000001e+03,"COG of Central Naugatuck Valley"
"BERLIN","JG",2.0040000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",32758768.0000,14731226.0000,47643047.0000,-443323.0000,7126816.0000,40291616.0000,50856897.0000,29758475.0000,2895953.0000,50509814.0000,21569.0000,21569.0000,880917.0000,880917.0000,-512265.0000,346635.0000,347083.0000,0.0000,,11525000.0000,11525000.0000,0.0000,500000.0000,4910350.0000,4910350.0000,13801789.0000,4143974.0000,39902471.0000,39573922.0000,9.9176619914090036e-01,40981583.0000,40338425.0000,9.8430616992027853e-01,1.9471000000000000e+04,"Aa3",2.6449999999999999e+01,1600008460.0000,2282252420.0000,3.8000000000000000e+01,4.1520523272348092e-02,2.5300000000000001e+01,3.4136900000000001e+03,"Central CT RPA"
"BETHANY","BP",2.0040000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17640804.0000,2593336.0000,20234140.0000,153195.0000,2001957.0000,11920199.0000,14864838.0000,10752327.0000,705148.0000,14593807.0000,0.0000,5035000.0000,560639.0000,5480793.0000,-289608.0000,367410.0000,-174762.0000,0.0000,3604184.0000,5553976.0000,9158160.0000,0.0000,0.0000,1888430.0000,1888430.0000,,,11832662.0000,11685681.0000,9.8757836571348023e-01,12074118.0000,11820960.0000,9.7903300265907622e-01,5.4170000000000000e+03,"A1",2.0960000000000001e+01,357741016.0000,740158457.9363,7.0000000000000000e+00,3.6535859269282815e-02,3.2930000000000000e+01,1.0888099999999999e+03,"South Central Regional COG"
"BETHEL","JG",2.0040000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",39033847.0000,4388938.0000,49652296.0000,1943148.0000,9503025.0000,38708898.0000,49716686.0000,31124722.0000,3066320.0000,48639540.0000,0.0000,0.0000,1123920.0000,1123920.0000,-46774.0000,766069.0000,-46774.0000,0.0000,,23981500.0000,23981500.0000,554085.0000,0.0000,5665868.0000,5111783.0000,9772954.0000,468340.0000,37768058.0000,37158834.0000,9.8386933212186867e-01,38855563.0000,37876314.0000,9.7479771429383222e-01,1.8742000000000000e+04,"Aa3",1.6789999999999999e+01,1559143810.0000,2227348300.0000,2.3000000000000000e+01,3.7349059253018818e-02,2.4550000000000001e+01,3.2661900000000001e+03,"Housatonic Council of Elected Ofcls"
"BETHLEHEM","JG",2.0040000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",2529490.0000,1450486.0000,3979976.0000,199134.0000,1241963.0000,6947737.0000,8478722.0000,6261525.0000,87500.0000,8208449.0000,0.0000,0.0000,197231.0000,197231.0000,73042.0000,-166068.0000,73042.0000,0.0000,3310539.0000,430000.0000,3740539.0000,0.0000,400000.0000,599511.0000,599511.0000,,,6845914.0000,6726556.0000,9.8256507458317477e-01,7167448.0000,6928314.0000,9.6663610255700494e-01,3.5980000000000000e+03,,1.9359999999999999e+01,238042019.0000,492563605.0997,2.0000000000000000e+00,3.6554832248372561e-02,2.8710000000000001e+01,6.1964999999999998e+02,"COG of Central Naugatuck Valley"
