Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
1455,"AVON",0,"Retirement Plan For Police Officers of Town of Avon",0,0,0,1,0,0,,0,35,0,531162,531162,0,,,,"01/01/07 00:00:00",16332911,9809097,,0,-7812,
1456,"AVON",0,"Retirement Plan For Public Works Employees of Town of Avon",0,0,0,0,0,0,,1,18,0,216922,216922,0,,,,"01/01/07 00:00:00",5196224,2572578,,0,-714,
1457,"AVON",0,"Retirement Plan For Non-Organized Employees of Town of Avon",0,0,0,0,0,0,,1,60,0,433205,433205,0,,,,"01/01/07 00:00:00",12266859,7830949,,0,-13759,
1458,"AVON",0,"Retirement Plan For Board of Education of Town of Avon",0,0,0,0,0,1,,0,133,0,144845,76088,0,,,,"01/01/07 00:00:00",3663003,3076069,,0,-64656,
1459,"AVON",0,"Retirement Plan For Dispatchers of Town of Avon",0,0,0,0,0,0,,1,4,0,20220,20220,0,,,,"01/01/07 00:00:00",677069,560893,,0,-4811,
1460,"BETHEL",0,"Town of Bethel Town Retirement  Plan",0,1,0,0,0,0,,0,238,0,1484138,1132355,0,,,,"07/01/07 00:00:00",22034510,12339560,,0,1146005,
1461,"BETHEL",0,"Town of Bethel Police Retirement  Plan",0,0,0,1,0,0,,0,41,0,446156,341526,0,,,,"07/01/07 00:00:00",7321518,4962253,,0,88151,
1462,"BETHLEHEM",0,,0,1,0,0,0,0,,0,7,0,,,0,,,,,,,"The Town has tansferred its legal obligation to provide specific pension benefits - insurance",0,,
1463,"BLOOMFIELD",0,"The Town of Bloomfield Retirement Income Plan",0,1,0,0,0,0,,0,343,0,1347202,1347202,0,,,,"01/01/06 00:00:00",34726077,25846274,,0,-660,
1464,"BLOOMFIELD",0,"The Town of Bloomfield Police Retirement Income Plan",0,0,0,1,0,0,,0,88,0,1112012,1112012,0,,,,"01/01/06 00:00:00",26679288,18421233,,0,0,
1465,"BRISTOL",0,"City of Bristol Retirement System",0,0,1,0,0,0,,1,1158,0,115000,115000,0,,,,"07/01/06 00:00:00",124411000,170138000,,0,-1943000,
1466,"BRISTOL",0,"City of Bristol Firefighter's Benefit Fund",0,0,0,0,1,0,,0,179,0,0,0,0,,,,"07/01/06 00:00:00",59274000,125251000,,0,-1976000,
1467,"BRISTOL",0,"City of Bristol Police Benefit Fund",0,0,0,1,0,0,,0,215,0,0,0,0,,,,"07/01/06 00:00:00",73840000,137399000,,0,-3310000,
1468,"BROOKFIELD",0,"Town of Brookfield Pension Plan",0,1,0,0,0,0,,0,243,0,794358,346881,0,,,,"01/01/06 00:00:00",21809032,22028908,,0,257354,
1469,"CANTON",0,"Town of Canton Employee Retirement Plan",0,0,1,0,0,1,,1,149,0,558491,521919,0,,,,"01/01/07 00:00:00",15106925,11604428,,0,635094,
1470,"CANTON",0,"Town of Canton Volunteer Firefighters and Ambulance Retirement Plan",1,0,0,0,1,0,,0,38,0,28489,32015,0,,,,"01/01/07 00:00:00",414625,296989,,0,70932,
1471,"CHESHIRE",0,"Town of Cheshire Pension Plan For Police Personnel",0,0,0,1,0,0,,0,73,0,151189,98000,0,,,,"07/01/06 00:00:00",21723719,22971307,,0,857,
1472,"CHESHIRE",0,"Town of Chesire Volunteer Fire Plan",1,0,0,0,1,0,,0,124,0,23395,31000,0,,,,"07/01/06 00:00:00",637371,539808,,0,15916,
1473,"CHESHIRE",0,"Town of Cheshire Pension Plan",0,1,0,0,0,0,,0,474,0,489516,544025,0,,,,"07/01/06 00:00:00",28493879,32697624,,0,617941,
1474,"CHESTER",0,"Town of Chester Employee Retirement Plan",0,1,0,0,0,0,,0,25,0,54765,48610,0,,,,"01/01/07 00:00:00",,,,1,69175,
1475,"CHESTER",0,"Town of Chester Volunteer Firefighter Retirement Plan",1,0,0,0,1,0,,0,48,0,18944,19000,0,,,,"07/01/05 00:00:00",,,,1,-4206,
1476,"GROTON (City of)",0,"City of Groton Retirement Plan",0,1,0,0,0,0,,0,311,0,2240700,2492043,0,,,,"07/01/06 00:00:00",45933426,37724093,,0,-827000,
