Municipality,numbered,Moody's
"SHARON",1.2600000000000000e+02,"A1"
"SHELTON",1.2700000000000000e+02,"Aa3"
"SHERMAN",1.2800000000000000e+02,"A1"
"SIMSBURY",1.2900000000000000e+02,"Aa1"
"SOMERS",1.3000000000000000e+02,"A1"
"SOUTH WINDSOR",1.3100000000000000e+02,"Aa3"
"SOUTHBURY",1.3200000000000000e+02,"Aa3"
"SOUTHINGTON",1.3300000000000000e+02,"A1"
"SPRAGUE",1.3400000000000000e+02,"A3"
"STAFFORD",1.3500000000000000e+02,"A3"
"STAMFORD",1.3600000000000000e+02,"Aaa"
"STERLING",1.3700000000000000e+02,"A3"
"STONINGTON",1.3800000000000000e+02,"Aa2"
"STRATFORD",1.3900000000000000e+02,"A1"
"SUFFIELD",1.4000000000000000e+02,"Aa3"
"THOMASTON",1.4100000000000000e+02,"A2"
"THOMPSON",1.4200000000000000e+02,"A3"
"TOLLAND",1.4300000000000000e+02,"A1"
"TORRINGTON",1.4400000000000000e+02,"A1"
"TRUMBULL",1.4500000000000000e+02,"Aa3"
"UNION",1.4600000000000000e+02,
"VERNON",1.4700000000000000e+02,"A1"
"VOLUNTOWN",1.4800000000000000e+02,
"WALLINGFORD",1.4900000000000000e+02,"Aa1"
"WARREN",1.5000000000000000e+02,
"WASHINGTON",1.5100000000000000e+02,"Aa3"
"WATERBURY",1.5200000000000000e+02,"Baa1"
"WATERFORD",1.5300000000000000e+02,"Aa3"
"WATERTOWN",1.5400000000000000e+02,"Aa3"
"WEST HARTFORD",1.5500000000000000e+02,"Aaa"
"WEST HAVEN",1.5600000000000000e+02,"Baa2"
"WESTBROOK",1.5700000000000000e+02,"A1"
"WESTON",1.5800000000000000e+02,"Aaa"
"WESTPORT",1.5900000000000000e+02,"Aaa"
"WETHERSFIELD",1.6000000000000000e+02,"Aa3"
"WILLINGTON",1.6100000000000000e+02,"A2"
"WILTON",1.6200000000000000e+02,"Aaa"
"WINCHESTER",1.6300000000000000e+02,"A2"
"WINDHAM",1.6400000000000000e+02,"A2"
"WINDSOR",1.6500000000000000e+02,"Aa2"
"WINDSOR LOCKS",1.6600000000000000e+02,"Aa2"
"WOLCOTT",1.6700000000000000e+02,"A3"
"WOODBRIDGE",1.6800000000000000e+02,"Aa1"
"WOODBURY",1.6900000000000000e+02,"Aa3"
"WOODSTOCK",1.7000000000000000e+02,"A2"
