Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
1219,"ANSONIA",0,"City Employees' Retirement Plan",0,1,0,0,0,0,,0,61,0,66665,0,0,,,,"07/01/05 00:00:00",,,,1,28741,
1220,"ANSONIA",0,"Police Retirement Plan",0,0,0,1,0,0,,0,66,0,417556,400000,0,,,,"07/01/05 00:00:00",8176000,4930000,,0,2042891,
1221,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,0,0,0,0,,0,78,0,241623,270208,0,,,,"07/01/05 00:00:00",2101760,1566619,,0,-659796,
1222,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,0,0,1,0,0,,0,83,0,762430,675000,0,,,,"07/01/05 00:00:00",15525603,11206696,,0,-21537,
1223,"BRIDGEPORT",0,"Public Safety Plan A",0,0,0,1,1,0,,0,1035,0,6472954,68094,0,,,,"07/01/05 00:00:00",353022000,281397000,"employed before 6/4/81 & 1/1/84 respectively",0,-91582019,"***"
1224,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,0,0,1,0,0,,0,481,0,3047362,2986877,0,,,,"07/01/05 00:00:00",84596000,76148000,,0,-1965231,
1225,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,0,0,0,1,0,"FIREFIGHTERS",0,298,0,1643807,1529837,0,,,,"07/01/05 00:00:00",50187000,46820000,,0,-2234549,
1226,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,0,0,0,0,0,"JANITORS & ENGINEERS",1,57,0,938872,1067027,0,,,,"07/01/04 00:00:00",10449000,3000,,0,2465872,
1227,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,1,0,0,0,0,,0,92,0,154189,154189,0,,,,"07/01/04 00:00:00",2142955,1795300,,0,-24329,
1228,"BURLINGTON",0,"Town of Burlington Employees Pension Plan",0,1,0,0,0,0,,0,28,0,151720,161890,0,,,,"06/30/06 00:00:00",,,,1,331796,
1229,"BURLINGTON",0,"Town of Burlington Constables Plan",0,1,0,0,0,0,,0,2,0,54333,57586,0,,,,"06/30/06 00:00:00",,,,1,-2585,
1233,"CLINTON",0,"Police Employees' Retirement Plan",0,0,0,1,0,0,,0,34,0,439851,572702,0,,,,"07/01/05 00:00:00",9513430,6061546,,0,192401,
1234,"CLINTON",0,"Board of Education Noncertified Personnel Pension Plan",0,0,0,0,0,1,,0,91,0,289551,300000,0,,,,"07/01/05 00:00:00",,,,1,-16227,
1235,"COLEBROOK",0,,0,0,0,0,0,0,,0,,0,,,0,,,,,,,,0,,
1236,"CORNWALL",0,,0,1,0,0,0,0,,0,,0,,,0,,,,,,,,0,,
1237,"DEEP RIVER",0,"Firefighters' Merit Plan",1,0,0,0,1,0,,0,44,0,28792,55465,0,,,,"07/01/05 00:00:00",378693,204385,,0,10797,
1238,"DEEP RIVER",0,"Town of Deep River Employee's Retirement Plan",0,1,0,0,0,0,,0,31,0,223320,205548,0,,,,"07/01/05 00:00:00",1478266,780909,,0,778916,
1239,"DERBY",0,"City of Derby Public Employee Retirement System",0,1,0,0,0,0,,0,139,0,361200,369500,0,,,,"07/01/03 00:00:00",7518625,7259660,,0,295780,
1240,"DURHAM",0,"Retirement Plan For Employees of The Town of Durham",0,1,0,0,0,0,,0,35,0,42998,51994,0,,,,"07/01/05 00:00:00",566085,285810,,0,16180,
1241,"EAST HAVEN",0,,0,0,0,0,0,0,,0,,0,,,0,,,,,,,,0,,
1242,"EAST WINDSOR",0,"Town of East Windsor Pension Plan",0,1,0,0,0,0,,0,191,0,970187,507376,0,,,,"07/01/04 00:00:00",10309996,6275788,,0,1356042,
1244,"EASTON",0,"Town of Easton Retirement Plans I and II",0,0,1,0,0,1,,0,171,0,350716,469000,0,,,,"07/01/06 00:00:00",10919909,10444404,,0,-147786,
1447,"CHESHIRE",0,"Town of Cheshire Pension Plan",0,1,0,0,0,0,,0,474,0,224571,224571,0,,,,"07/01/04 00:00:00",27384201,32093220,,0,690392,
1448,"CHESHIRE",0,"Town of Cheshire Pension Plan For Police Personnel",0,0,0,1,0,0,,0,73,0,0,0,0,,,,"07/01/04 00:00:00",20967059,22483540,,0,-53728,
1449,"CHESHIRE",0,"Town of Chesire Volunteer Fire Plan",1,0,0,0,1,0,,0,153,0,30423,30423,0,,,,"07/01/04 00:00:00",617384,531713,,0,23539,
1245,"FAIRFIELD",0,"Town of Fairfield Police and Fire Retirement Plan",0,0,0,1,1,0,,0,378,0,0,0,0,,,,"07/01/05 00:00:00",124794000,159739000,,0,-3103000,
1246,"FAIRFIELD",0,"Town of Fairfield Town Employees Retirement Plan",0,0,1,0,0,1,,0,1135,0,627000,0,0,,,,"07/01/05 00:00:00",127554000,149453000,,0,-1090000,
1247,"FRANKLIN",0,,0,0,0,0,0,0,,0,,0,,,0,,,,,,,,0,,
1248,"GUILFORD",0,"Town of Guilford Employees Pension Plan",0,1,0,0,0,0,,0,119,0,474086,260205,0,,,,"07/01/05 00:00:00",10175876,8532679,,0,435725,
1249,"GUILFORD",0,"Town of Guilford Police Retirement Fund",0,0,0,1,0,0,,0,67,0,407844,466995,0,,,,"07/01/05 00:00:00",11248849,7351072,,0,-375071,
1250,"GUILFORD",0,"Town of Guilford Public School Employees (Non-Certified) Pension Plan",0,0,0,0,0,1,,0,215,0,405740,142000,0,,,,"07/01/05 00:00:00",7746666,7583629,,0,660740,
1251,"HARWINTON",0,"Town of Harwinton Pension Trust",0,1,0,0,0,0,,0,21,0,151369,120000,0,,,,"07/01/05 00:00:00",,,,1,66065,
1252,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan",0,1,0,0,0,0,,0,19,0,212171,261591,0,,,,"07/01/05 00:00:00",1697114,935161,,0,176542,
1253,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan-VOLUNTEER FIRE COMPANY",1,0,0,0,1,0,"VOLUNTEER FIREMAN OR AMBULANCE PERSONNEL",1,59,0,18661,60000,0,,,,"01/01/05 00:00:00",1005082,550000,,0,444536,
1254,"MADISON",0,"Retirement Plan For The Employees of The Town of Madison",0,0,1,0,0,0,,0,223,0,620561,620561,0,,,,"07/01/05 00:00:00",9822328,8833514,,0,-316922,
1255,"MADISON",0,"Town of Madison Police Department Retirement Plan",0,0,0,1,0,0,,0,45,0,216631,283789,0,,,,"07/01/05 00:00:00",9442295,8977591,,0,-53499,
1256,"MADISON",0,"Volunteer Fire Dept. Supplemental Retirement Program",1,0,0,0,1,0,,0,94,0,65000,65000,0,,,,"07/01/05 00:00:00",903158,848719,,0,0,
1257,"MANCHESTER",0,"Town of Manchester Retirement Plan",0,0,1,1,0,0,,1,1322,0,3085000,3085000,0,,,,"07/01/05 00:00:00",137370000,110936000,,0,0,
1258,"MILFORD",0,"City of Milford Retirement System",0,1,0,0,0,0,,0,1366,0,974000,974000,0,,,,"07/01/05 00:00:00",,,,1,0,
1259,"NEW FAIRFIELD",0,"New Fairfield Town Retirement Income Plan",0,0,1,0,1,0,,0,80,0,251168,221000,0,,,,"01/01/06 00:00:00",3452382,3272972,,0,33458,
1260,"NEW FAIRFIELD",0,"New Fairfield Board of Education Retirement Income Plan",0,0,0,0,0,1,,0,128,0,178067,178067,0,,,,"07/01/05 00:00:00",,,,1,4861,
1261,"NEW HARTFORD",0,"Town of New Hartford Pension Plan",0,1,0,0,0,0,,0,84,0,142135,108718,0,,,,"07/01/05 00:00:00",2096676,1242002,,0,174559,
1262,"NEW HAVEN",0,"City Employees' Retirement Fund of New Haven",0,0,1,0,0,0,,1,2224,0,9254000,92540000,0,,,,"06/30/05 00:00:00",299754000,184242200,,0,1487481,
1263,"NEW HAVEN",0,"Pension Fund For New Haven Policemen And Firemen",0,0,0,1,1,0,,0,1811,0,12871000,12871000,0,,,,"06/30/05 00:00:00",423997500,262584200,,0,9935907,
1264,"NEW LONDON",0,"City of New London Noncontributory Pension Program",0,1,0,0,0,0,,0,75,0,1164000,731872,0,,,,"07/01/04 00:00:00",9998000,0,,0,3045669,
1265,"NEW LONDON",0,"City of New London Contributory Pension Program",0,1,0,0,0,0,,0,380,0,1309000,705089,0,,,,"07/01/04 00:00:00",40424000,36447000,,0,-2605038,
1266,"NEW MILFORD",0,"Town of New Milford Pension Plan",0,1,0,0,0,0,,0,633,0,1505366,1539101,0,,,,"07/01/05 00:00:00",26512575,26554577,,0,73807,
1267,"NEWINGTON",0,"Town of Newington Municipal Employees' Pension Plan",0,0,1,0,0,0,,0,350,0,539000,539000,0,,,,"07/01/05 00:00:00",24488000,18197000,,0,-8000,
1268,"NEWINGTON",0,"Town of Newington Police Officers' Pension Plan",0,0,0,1,0,0,,0,104,0,1167000,1167000,0,,,,"07/01/05 00:00:00",35085000,23773000,,0,-180000,
1269,"NEWINGTON",0,"Town of Newington Administrative Employees' Pension Plan",0,0,0,0,0,1,,1,45,0,189000,189000,0,,,,"07/01/05 00:00:00",8380000,6470000,,0,-5000,
1270,"NEWINGTON",0,"Town of Newington Volunteer Firefighters' Pension Plan",1,0,0,0,1,0,,0,110,0,88000,88000,0,,,,"07/01/05 00:00:00",1201000,690000,,0,0,
1271,"NORTH HAVEN",0,"Pension Plan For General Employees of The Town of North Haven",0,0,1,0,0,1,,1,395,0,884007,884007,0,,,,"07/01/05 00:00:00",39650681,38375737,,0,43369,
